Operator Number,Operator Name,Location,Leases
953620,2-C OIL & GAS,"Rising Star, TX 76471",
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",61
857420,3-B OIL,"Lovington, NM 88260",
953723,5-H OIL INC.,"Texarkana, TX 75503",
953780,5-N ENERGY,"Winnsboro, TX 75494",
988752,9K INVESTMENTS LLC,"Cisco, TX 76437",6
000192,A & B OIL & GAS,"Round Rock, TX 78681",
000187,A & D OIL,"Cisco, TX 76437",
000189,"A & D PETROLEUM COMPANY, INC.","College Sta, TX 77845",
000161,A-B PRODUCTION COMPANY,"Fort Worth, TX 76102",
000675,A. W. S. PETROLEUM COMPANY,"San Angelo, TX 76906",
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",
002560,"ABEREGG, L. T.","Abilene, TX 79604",
002600,"ABEREGG, R.D.","Carbon, TX 76435",
002611,"ABERNATHY AUTO, INC.","Abilene, TX 79604",
002635,ABILENE OIL & GAS CO.,"Abilene, TX 79604",
002753,ABILENE PETROLEUM LAND SER. CO.,"Abilene, TX 79601",
003590,ACME PRODUCTION CO. OF ABILENE,"Abilene, TX 79606",
000183,"ACR EXPLORATION, INC.","Fort Worth, TX 76112",
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",
008235,ADLER PETROLEUM COMPANY,"Irving, TX 75060",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008482,ADVANCE EXPLORATION,"Abilene, TX 79601",2
014994,ALLSTATE PETROLEUM OPER. INC.,"Cross Plains, TX 76443",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
018014,"AMERICAN FOSSIL ENERGY, INC.","Dallas, TX 75231",
019738,AMERICAN WEST,"Burkett, TX 76828",2
019765,AMERITECH OIL & GAS CORPORATION,"Dallas, TX 75248",
019779,AMES OIL,"Cross Plains, TX 76443",3
019793,"AMES, TOM","Rising Star, TX 76471",
020513,"AMT RESOURCES, INC.","Cisco, TX 76437",
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
020586,ANAMCO INCORPORATED,"Midland, TX 79708",
022922,ANDERSON PRODUCTION,"Cisco, TX 76437",39
021802,"ANDERSON, E. D.","Cisco, TX 76437",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
024390,"ANDREWS, LAVERNE","Cisco, TX 76437",
026200,"ANTHONY EXPLORATION, INC.","Abilene, TX 79604",
027897,"APPLE, NATHAN L.","Louisburg, KS 66053",
028882,ARCHER PETROLEUM,"Frisco, TX 75034",
030127,"ARIES OPERATING, INC.","Abilene, TX 79604",
