Operator Number,Operator Name,Location,Leases
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
000151,A A PRODUCTION INC.,"Midland, TX 79701",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003422,ACCORD GR ENERGY INC,"Rocksprings, TX 78880",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
019356,"AMERICAN RESOURCES, INC.","Houston, TX 77079",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
022435,ANDERSON ENERGY CORPORATION,"Arvada, CO 80004",
022547,"ANDERSON PETROLEUM, INC.","Denver, CO 80203",
025345,ANDRUS RESOURCES CORPORATION,"Houston, TX 77046",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027466,"APEXCO EXPLORATION & PROD., INC.","Saint Louis, MO 63105",
028700,"ARAPAHO PETROLEUM, INCORPORATED","Englewood, CO 80155",
036049,ATHANOR TEXAS INC.,"Houston, TX 77002",
044365,BAKER RESOURCES,"San Angelo, TX 76902",
044385,"BAKER RESOURCES, LLC","San Angelo, TX 76902",
048732,"BANYAN OPERATING, LLC","Austin, TX 78735",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
073306,BLACKSTONE ENERGY SERVICES LLC,"Christoval, TX 76935",50
076781,"BLUE RIDGE GROUP, INC.","Bowling Green, KY 42101",
082443,BONFIRE OPERATING LLC,"Cresson, TX 76035",16
084630,"BOYD, FOY MANAGEMENT CORP.","Midland, TX 79702",
088045,"BRADSHAW, RAY E.","Tyler, TX 75713",
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",13
100525,"BROWN, J. K. INC.","Denver, CO 80202",
041519,"BRP ENERGY, LLC","San Angelo, TX 76902",9
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
130455,"CAPPS, RANDALL","Midland, TX 79702",
132660,"CARMEL ENERGY, INC.","Houston, TX 77056",
141199,CENTRAL ENERGY PRODUCING COMPANY,"San Antonio, TX 78217",
141255,"CENTRAL TEXAS OPERATING, INC.","Breckenridge, TX 76424",1
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144572,"CHAPARRAL NATURAL RESOURCES,INC.","Austin, TX 78746",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
154764,CITY OIL CORPORATION,"Las Vegas, NV 89101",
166150,COG OPERATING LLC,"Midland, TX 79701",1312
169475,COMBUSTION PRODUCTS CORP.,"San Antonio, TX 78209",
169680,"COMETRA OIL AND GAS, INC.","Fort Worth, TX 76102",
170037,"COMSTOCK ENERGY, LLC","Wichita Falls, TX 76301",16
172230,CONOCO INC.,"Houston, TX 77252",
173740,CONTINENTAL OIL COMPANY,"Unknown, XX 99999",
178457,"CORKRAN ENERGY, LP","Ignacio, CO 81137",
195844,"CYCLONE EXPLORATION, INC.","Florence, CO 81226",
197416,"DAKOTA RESOURCES, INC. (I)","Midland, TX 79707",
213146,"DELONG, HORACE","Pleasanton, TX 78064",1
215335,"DENBURY MANAGEMENT, INC.","Dallas, TX 75252",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
216731,DEVON LOUISIANA CORPORATION,"Houston, TX 77002",
217024,"DIAMONDBACK OPERATING, LP","Tulsa, OK 74132",
221126,DIXIE OPERATING COMPANY,"Houston, TX 77290",
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",
223422,DORAN ENERGY CORPORATION,"San Antonio, TX 78230",
223425,"DORAN, W. H.","Corpus Chrsti, TX 78402",
223486,DORCHESTER GAS PRODUCING CO,"Houston, TX 77210",
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",
228393,"DRILMOR, INC.","Midland, TX 79701",
238207,"E.L.A., INC.","Abilene, TX 79603",
238521,"EEX E&P COMPANY, L.P.","Houston, TX 77060",
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253275,EP OPERATING COMPANY,"Dallas, TX 75201",
253404,"EPIC PERMIAN OPERATING, LLC","Midland, TX 79705",2228
256830,EXA OIL AND GAS LLC,"San Antonio, TX 78249",
257074,EXPORT PETROLEUM CORPORATION,"Fort Worth, TX 76147",1
257097,EXXON CORP.,"Houston, TX 77210",
257708,FAGIN PRODUCTION CORPORATION,"Dallas, TX 75231",
259780,"FAIRWAY LINKS ENERGY, INC.","Tulsa, OK 74114",
263924,"FDL OPERATING, LLC","Judson, TX 75660",
274230,FLOYD OPERATING COMPANY,"Houston, TX 77002",
277290,FORNEY & MCCOMBS,"Houston, TX 77056",
278837,"FORZA OPERATING, LLC","The Woodlands, TX 77380",9
286670,"FRIESS, HAROLD TURNEY","Sonora, TX 76950",
319525,GRACE PETROLEUM CORP.,"Tulsa, OK 74103",
319765,"GRACE PETROLEUM OPERATING, LLC","Llano, TX 78643",24
