Operator Number,Operator Name,Location,Leases
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
954998,"7711 CORPORATION, THE","Houston, TX 77002",
893640,890 DARBY LLC,"The Woodlands, TX 77381",
000695,"A-TEX OIL & GAS, INC.","Canyon Lake, TX 78133",
102452,"A. BAUER, LLC","Red Rock, TX 78662",1
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",
000163,AAA OPERATING COMPANY INC.,"Dallas, TX 75359",
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",10
003673,"ACTIVA RESOURCES, LTD.","San Antonio, TX 78205",
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",
008527,AERO ENERGY INC.,"Houston, TX 77002",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
011174,ALBRITTON ENERGY,"Dallas, TX 75225",
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
011495,"ALEXANDER LAND & DEV. CO., INC.","Giddings, TX 78942",
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",48
016547,AM-ROC ENERGY CORPORATION,"Giddings, TX 78942",
018015,AMERICAN DELTA CORPORATION,"Portland, TX 78374",
017999,"AMERICAN DISPOSAL SERVICES, INC.","Sealy, TX 77474",
017995,"AMERICAN DISPOSAL SERVICES,LTD","Marble Falls, TX 78654",
020415,AMMEX PETROLEUM CORPORATION,"Midland, TX 79702",
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020544,ANADARKO AUSTIN CHALK COMPANY,"Houston, TX 77251",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
020590,ANCHOR OIL COMPANY,"Gruver, TX 79040",2
020596,ANCHOR OPERATING CO.,"Houston, TX 77055",
022995,"ANDERSON,T.G. & BOWMAN,E.L.","Houston, TX 77079",
026810,AOP OPERATING CORPORATION,"Dallas, TX 75313",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029390,ARCTURUS OPERATING COMPANY,"Addison, TX 75001",
029710,ARGENT ENERGY (US) HOLDINGS INC.,"Sugar Land, TX 77479",
030808,"ARKOMA PROD CO OF TEXAS, INC.","Dallas, TX 75225",
033060,"ARPEL, INC.","Oklahoma City, OK 73102",
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",12
000610,"ASM OIL & GAS COMPANY, INC.","Dallas, TX 75367",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036103,ATKINSON ENERGY CORPORATION,"Giddings, TX 78942",
036573,ATLAS ENERGY CORP.,"Dallas, TX 75231",
037062,AUSTIN CHALK OPERATING COMPANY,"Giddings, TX 78942",
037205,AUSTIN OIL & MINERAL,"Manor, TX 78653",
039773,B & B DRILLING CO.,"Milano, TX 76556",
040175,"B. D. K. PRODUCTION CO., INC.","Victoria, TX 77902",
042685,"BAGLEY, ROY","Magnolia, TX 77354",
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
054836,"BASS PETROLEUM, INC","Austin, TX 78716",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058861,"BAYPORT OPERATING, INC.","Houston, TX 77253",
101444,"Baytex Energy USA, Inc.","Houston, TX 77084",531
058881,BBL OIL & GAS COMPANY,"Giddings, TX 78942",
040199,"BCL OPERATING, LLC","Houston, TX 77269",1
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
062678,BELCO OPERATING CORP.,"Dallas, TX 75231",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
065847,"BENSON MINERAL GROUP, INC.","Denver, CO 80202",
066993,BERENERGY CORPORATION,"Denver, CO 80217",
068314,BETA OIL CORPORATION,"San Antonio, TX 78232",7
040794,BHEC CORPORATION,"Giddings, TX 78942",
069160,"BIG ""6"" DRILLING COMPANY","Houston, TX 77063",
072728,BLACK OPERATING CO.,"League City, TX 77573",
073350,"BLACKWELL, BLACKIE","Flatonia, TX 78941",
075677,BLEDSOE PETRO CORPORATION,"Dallas, TX 75201",
075724,"BLESSING ENERGY, INC.","Giddings, TX 78942",2
076837,BLUEBONNET LAND & CATTLE CO.,"Graham, TX 76450",7
076845,"BLUESKY OIL & GAS, INC.","Houston, TX 77040",
078005,"BOCHE CO.,THE/O&G RESERVES, INC.","Houston, TX 77002",
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",
083923,"BOVIN, INC.","Midland, TX 79710",
084370,"BOWMAN, FRED INC.","Dallas, TX 75225",
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
089959,"BRAZOS RESOURCES, INC.","College Sta, TX 77840",
090781,"BRENT EXPLORATIONS, INC.","Giddings, TX 78942",
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",
103088,"BROWNING OIL COMPANY, INC.","Dallas, TX 75251",50
105190,"BUCHANAN, WAYMAN W.","San Antonio, TX 78212",
106449,"BULL OPERATING, LLC","Houston, TX 77010",2
108816,BURKE & FERGUSON,"Houston, TX 77080",
109325,"BURLEX PETROLEUM, INC.","Austin, TX 78704",
111017,BURNS PETROLEUM,"Wichita Falls, TX 76307",
111020,"BURNS, R. L. CORPORATION","Dallas, TX 75270",
111404,BURRO BLUFF CORPORATION,"Houston, TX 77024",
042191,"BXP OPERATING, LLC","Houston, TX 77079",1
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
120529,"C&E PRODUCTION, LLC","Bryan, TX 77808",
120117,"C&P RESOURCES OPERATING CO,LLC","Houston, TX 77056",
121232,"CABEZA OIL AND GAS, LLC","Austin, CO 81410",
122419,"CADDO ENERGY CO., INC.","Bastrop, TX 78602",
122585,CAG PETROLEUM CORP.,"Dallas, TX 75382",
122891,"CAGO, INC.","College Sta, TX 77845",2
123577,"CAL-WAY ENERGY, INC.","Corpus Chrsti, TX 78403",
125940,"CALOCO ENERGY, INC.","Dallas, TX 75218",
132660,"CARMEL ENERGY, INC.","Houston, TX 77056",
139920,"CATLETT, E. G.","Houston, TX 77002",
140604,CEDAR HILL PETROLEUM,"Center, TX 75935",
141230,CENTRAL PLAINS OIL&GAS CORP. (A),"Bryan, TX 77802",
142228,CHAFIN & HEDGES PETROLEUM CO.,"Dallas, TX 75240",
142229,CHAFIN & HEDGES PETROLEUM CO.INC,"Dallas, TX 75240",
142230,CHAFIN PETROLEUM CO.,"Dallas, TX 75270",
142330,CHALLENGER OIL,"San Antonio, TX 78209",
143578,"CHAMPLIN EXPLORATION, INC.","Enid, OK 73702",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144614,"CHAPMAN ENERGY, INC.","Dallas, TX 75231",
144989,CHAPMAN OIL,"Houston, TX 77002",
145860,CHAPMAN OIL CO.,"Oakwood, GA 30566",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
149421,"CHISOS, LTD.","Houston, TX 77098",31
150696,"CHOUTEAU ENTERPRISES, INC.","Purcell, OK 73080",
150790,CHRISTENSEN & MATTHEWS,"Houston, TX 77040",
152870,"CHRISTIE, JOHN P.","El Paso, TX 79912",
153393,"CIBOLO ENERGY OPERATING, INC.","Bulverde, TX 78163",
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
153471,"CIMARRON ENGINEERING, LLC","Kingsville, TX 78364",22
153474,CINCO NATURAL RESOURCES CORP.,"La Grange, TX 78945",
154090,CIRRUS PRODUCTION COMPANY,"Enid, OK 73702",
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
156735,"CLARK EXPL. & PROD., CO., INC.","Austin, TX 78746",
120648,"CML EXPLORATION, LLC","Austin, TX 78746",177
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
164464,"CODY ENERGY, INC.","Houston, TX 77077",
166060,"COFFMAN, THOMAS D.","Austin, TX 78767",
166061,"COFFMAN, THOMAS D. INC.","Austin, TX 78767",
167054,"COLE, FRANK W ENGINEERING","Dallas, TX 75254",
169230,COLUMBIA GAS DEVELOPMENT CORP.,"Houston, TX 77251",
169731,"COMMONWEALTH AQUISITIONS, INC.","Plano, TX 75023",
169746,COMMONWEALTH PRODUCTION COMPANY,"Dallas, TX 75248",
169763,"COMPAGNIE FINANCIERE SUISSE,N.V.","Dallas, TX 75251",
172230,CONOCO INC.,"Houston, TX 77252",
173740,CONTINENTAL OIL COMPANY,"Unknown, XX 99999",
178090,CORDELL ENERGY CORPORATION,"Quitman, TX 75783",
178100,CORDELL OIL COMPANY,"Kilgore, TX 75663",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182600,"COUNTY MANAGEMENT, INC.","Houston, TX 77055",
183232,COX & COX PRODUCTION CO.,"Donna, TX 78537",
183345,"COX & PERKINS EXPLORATION, INC.","Houston, TX 77057",
120785,CPC EXPLORATION INC.,"Houston, TX 77057",
186741,"CRAWFORD ENERGY, INC.","New York, NY 10022",
186835,CRAWFORD HUGHES OPERATING CO.,"The Woodlands, TX 77380",13
186950,"CRB OIL & GAS, INC.","San Antonio, TX 78209",
187005,"CREATIVE OIL & GAS OPERATING,LLC","Giddings, TX 78942",
188560,CREDO PETROLEUM CORPORATION,"Denver, CO 80202",
189989,"CRIMSON ENERGY COMPANY, LC","Fort Worth, TX 76102",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
190047,"CRM ENERGY, INC.","Oklahoma City, OK 73101",
190105,CROCKETT PRODUCTION COMPANY,"Houston, TX 77077",
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",
191548,"CROWN PRODUCTION CO., INC.","Dallas, TX 75240",
191554,"CROWNQUEST OPERATING, LLC","Midland, TX 79710",7
191820,"CT ADAMS JR., LLC","Schulenburg, TX 78956",1
191850,"CTR PETROLEUM, INC.","Corpus Chrsti, TX 78414",
195903,CYPRESS E & P CORPORATION,"Leander, TX 78646",
195853,"CZAR RESOURCES, INC.","Dallas, TX 75240",
196197,D.J. OILFIELD SALVAGE INC.,"West Point, TX 78963",
197624,DALE OPERATING COMPANY,"Dallas, TX 75201",
197630,DALECO RESOURCES,"Los Angeles, CA 90025",
197688,"DALLAS PETROLEUM GROUP, LLC","Dallas, TX 75379",60
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",
198190,DAMSON OIL CORP.,"Midland, TX 79702",
201208,DARTEX ENERGY CORPORATION,"Austin, TX 78746",
201970,DAVENPORT OIL COMPANY,"Luling, TX 78648",
208088,DAWSON PRODUCTION SERVICES,"College Sta, TX 77845",
209460,DEE-JAY EXPLORATION COMPANY,"Nichols Hill, OK 73116",
213090,DEL PETROLEUM CORPORATION,"Dallas, TX 75219",
211536,DELAWARE ECCO PETROLEUM INC.,"Rockwall, TX 75087",
212355,DELHI OIL CORP. & NRM,"Midland, TX 79702",
213275,"DELRAY OIL, INC.","San Antonio, TX 78209",21
214076,"DELTA SIX, INC.","Montgomery, TX 77356",
215333,"DENALI OIL & GAS MANAGEMENT, LLC","Houston, TX 77060",
216528,"DERRICK, JOHN M. INC.","Giddings, TX 78942",
216778,"DEVINE, C. R., INC.","Houston, TX 77292",
221502,DMAEBIL CORPORATION,"Grapevine, TX 76051",
221599,"DNR ENERGY COMPANY, LLC","Houston, TX 77005",
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",
223475,"DORCHESTER EXPLORATION, INC.","Houston, TX 77210",
227401,DOUGLAS PETROLEUM INC.,"Spring, TX 77379",
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",
229305,"DRIVER INVESTMENTS, INC.","New Boston, TX 75570",
229320,"DRIVER OIL & GAS, INC.","Giddings, TX 78942",
230767,"DUKE ENERGY FIELD SERVICES, INC.","Denver, CO 80217",
230719,"DUKE ENERGY FIELD SERVICES, LP","Denver, CO 80202",
235846,"DURANGO EXPLORATION, INC.","Houston, TX 77027",
236455,DURST OIL COMPANY,"Corpus Chrsti, TX 78477",
236450,"DURST, LEE A. JR.","Corpus Chrsti, TX 78475",
237926,"DYNAMIC PRODUCTION, INC.","Fort Worth, TX 76106",11
237956,"DYSON ENERGY OPERATING, LLC","Bryan, TX 77802",
238687,E & E PRODUCTION INC.,"Vernon, TX 76384",
238732,"EARTHSTONE OPERATING, LLC","The Woodlands, TX 77380",
239231,EASTEX ENERGY CORP.,"Austin, TX 78767",
239237,"EASTEX INJECTION, INC.","Houston, TX 77002",
241402,"ECLIPSE SERVICES, INC. *","La Grange, TX 78945",
241426,"EDCO ENERGY, INC.","Austin, TX 78738",
243653,"EDSEL, ROBERT M. INC.","Dallas, TX 75201",
250446,EL PASO PRODUCTION OIL & GAS CO.,"Houston, TX 77252",
246565,"ELAND ENERGY, INC.","Dallas, TX 75248",
247737,"ELFCO, INC.","College Sta, TX 77845",
247835,ELLIOTT OIL & GAS COMPANY,"The Woodlands, TX 77380",
247836,ELLIOTT OIL & GAS OPERATING CO.,"Magnolia, TX 77354",
250961,"EMERALD OPERATING COMPANY, INC.","Plano, TX 75075",
251713,"ENCINO EXPLORATION, INC.","George West, TX 78022",
251925,ENDREX EXPLORATION COMPANY,"Irving, TX 75016",
251944,"ENERGETICS, INC.","Greenwood VLG, CO 80111",
251882,ENERGY OIL & GAS CORPORATION,"Austin, TX 78746",
251980,"ENERGY RESERVES GROUP, INC.","Houston, TX 77067",
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
252124,ENEX RESOURCES CORPORATION,"Houston, TX 77002",
252756,"ENGROUP RESOURCES, L.P.","Houston, TX 77002",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253311,EQUIPMENT HOT LINE,"Houston, TX 77056",
253480,ERNEST OPERATING COMPANY,"Rockdale, TX 76567",81
254241,ESCOPETA OIL & GAS CORPORATION,"Austin, TX 78711",
254254,ESENJAY PETROLEUM CORP.,"Corpus Chrsti, TX 78471",
254253,ESENJAY-NUGGET,"Corpus Chrsti, TX 78477",
254450,ESTATE OIL & GAS CORP.,"Dallas, TX 75206",
256681,"EVOLUTION OPERATING CO., INC.","Houston, TX 77079",
256931,"EXCO RESOURCES, INC.","Dallas, TX 75251",
257010,EXPANDO OIL COMPANY,"Wichita Falls, TX 76307",
257068,EXPRESS OIL CO.,"Hallettsville, TX 77964",
257097,EXXON CORP.,"Houston, TX 77210",
257129,EXXONMOBIL PIPELINE COMPANY,"Spring, TX 77389",
257111,F.C.D. OIL CORPORATION,"Colorado SPGS, CO 80901",
257281,"F.I.G. ENERGY, LLC","Livingston, TX 77399",
257538,"F.M.C. OPERATING, INC.","Austin, TX 78750",
259871,"FALCON OIL & GAS COMPANY, INC.","Houston, TX 77002",
261645,FARGO ENERGY CORPORATION (A),"San Antonio, TX 78216",
263890,"FAYETTE COUNTY EXPLORATION, INC.","Houston, TX 77235",
265620,"FENN, BILL INC.","Giddings, TX 78942",
266618,"FGB ENERGY, INC.","Dallas, TX 75206",
268602,"FINLEY RESOURCES, INC.","Fort Worth, TX 76113",17
268963,FIRST MATAGORDA CORPORATION,"Oklahoma City, OK 73112",
271641,FLARE RESOURCES INC.,"Houston, TX 77002",
271678,"FLATONIA ENERGY, LLC","Dallas, TX 75201",
273881,"FLINT HILLS RESOURCES, LC","Wichita, KS 67220",
275629,"FORD, DON H. & ASSOC.","San Antonio, TX 78217",
276105,FORESTAR PETROLEUM CORPORATION,"Denver, CO 80202",
277290,FORNEY & MCCOMBS,"Houston, TX 77056",
278766,FORTUNE OPERATING COMPANY,"Willis, TX 77378",
283825,"FRANZ, KENNETH A.","Lockhart, TX 78644",
283830,"FRANZ, RALPH D. ENTERPRISES INC.","Hockley, TX 77447",
284420,"FRAZIER EXPLORATION PARTNERS,LLC","Houston, TX 77057",2
284885,FREDONIA RESOURCES INC.,"Longview, TX 75606",
288212,"FROSTBRIDGE ENERGY, LLC","Houston, TX 77008",
288391,"FROSTWOOD ENERGY, LLC","Houston, TX 77219",
289988,"FULTON COMPANY, THE","Houston, TX 77081",
291678,FUTURE PETROLEUM COMPANY LLC,"Houston, TX 77027",
291672,FUTURE PETROLEUM CORPORATION,"Houston, TX 77002",
292314,"G S I, INC.","Bryan, TX 77806",
291852,"G.T. OPERATING, INC.","Dallas, TX 75204",
