Operator Number,Operator Name,Location,Leases
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
001641,ABER OIL & GAS CO.,"Tyler, TX 75702",
003735,ADA BELLE OIL & GAS COMPANY,"Sourlake, TX 77659",
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",
010070,ALAMO PET. CO.,"Houston, TX 77042",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
013240,ALL AMERICAN PETROLEUM CORP.,"Dallas, TX 75206",
014573,ALLISON/HOBBS INC.,"Alba, TX 75410",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
027049,"AP OPERATING, INC.","Plano, TX 75074",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",12
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",36
039134,"AXIO NATURAL RESOURCES, INC","Tulsa, OK 74103",
039141,"AXIO PRODUCTION COMPANY, L.P.","Tulsa, OK 74103",
046290,BAKER LEASING,"Longview, TX 75615",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054376,BASIN ENERGY,"Hanford, CA 93230",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
068154,"BERRY,PHILIP B.OPERATING CO.INC.","Tyler, TX 75710",
068580,BHB OPERATING INC.,"Fort Worth, TX 76137",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",
075677,BLEDSOE PETRO CORPORATION,"Dallas, TX 75201",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
075375,"BLOUNT, C. L.","Dallas, TX 75238",
076772,BLUE STAR OPERATING COMPANY,"Kilgore, TX 75663",
081550,"BOMAR OIL & GAS, INC.","Dallas, TX 75206",
084411,"BOWMAN, WESLEY","Kopperl, TX 76652",
084600,"BOYD, DICK","Olney, TX 76374",
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",9
088620,"BRANDON ENERGY, INC.","Bullard, TX 75757",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
097323,BROOKS PETROLEUM COMPANY,"Tyler, TX 75703",
097326,BROOKS PIPE & SUPPLY CO.,"Kilgore, TX 75663",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
097479,BROUGHTON OPERATING CORP.,"Pittsburgh, PA 15219",
101390,BROWN OIL & GAS CO.,"Mexia, TX 76667",18
098195,"BROWN, C. L., III","Corsicana, TX 75151",
099955,"BROWN, GEO. R PARTNERSHIP,LP,THE","Houston, TX 77002",28
099980,"BROWN, GEORGE R. PARTNERSHIP,THE","Houston, TX 77002",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
104287,"BRYANT & CARR, INC.","Tyler, TX 75702",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108650,"BURGUNDY OIL & GAS, INC.","Midland, TX 79701",19
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
115750,BUTTES RESOURCES COMPANY,"Houston, TX 77056",
121085,"C. W. RESOURCES, INC.","Longview, TX 75604",9
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
123594,"CALAME OIL COMPANY, INC.","Arlington, TX 76015",
123599,"CALAME, DONALD","Wortham, TX 76693",
123596,"CALATEX EXPLORATION, INC.","Dallas, TX 75379",
129004,"CAMTERRA RESOURCES, INC.","Marshall, TX 75671",1
131985,CARLETON CAPITAL LLC,"Pratt, KS 67124",
135180,"CARR RESOURCES, INC.","Tyler, TX 75702",4
137330,CARTER RESOURCES,"Kilgore, TX 75663",
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",
120027,CCI GULF COAST UPSTREAM LLC,"Teague, TX 75860",
140750,CEI PRODUCTION COMPANY,"Dallas, TX 75225",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
