Operator Number,Operator Name,Location,Leases
953627,20TH CENTURY PIPE & EQUIP.CO.INC,"Midland, TX 79702",
953786,"5H OIL CO., LLC","Dallas, TX 75225",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
003578,ACK OIL CORP.,"Odessa, TX 79761",
003581,"ACKERLY SERVICE COMPANY, INC.","Big Spring, TX 79721",
003589,"ACME ENERGY SERVICES, INC.","Midland, TX 79701",
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008390,ADOBE OIL CO.,"Unknown, XX 99999",
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",
008491,"ADVENTURE EXPL PARTNERS II, LLC","Midland, TX 79701",
008493,"ADVENTURE EXPLORATION PTRS, LLC","Midland, TX 79702",
008483,"ADVENTURE OPERATING COMPANY, LLC","Midland, TX 79702",
008536,AETHON I LP,"Dallas, TX 75206",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
013296,ALLEDER INC.,"Midland, TX 79702",9
015098,"ALON USA, LP","Big Spring, TX 79720",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015741,"ALTO MINERALS, INC.","Midland, TX 79708",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016542,ALVIN'S WELL SERVICE CO.,"Ira, TX 79527",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
020408,"AMMONITE ENERGY TEXAS, INC.","Midland, TX 79710",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020511,"AMRON PETROLEUM, INC.","Midland, TX 79708",
020522,"AMTEX ENERGY, INC.","Fort Worth, TX 76147",11
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
025384,ANEGADA RESOURCES,"Kerrville, TX 78029",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
028618,"AQUA TERRA PERMIAN, LLC","Houston, TX 77056",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030791,"ARKLAND PRODUCING CO., INC.","Midland, TX 79701",
033520,"ARROWHEAD PETROLEUM, INC.","Lubbock, TX 79452",
034150,ASHBROOK OIL CO.,"Big Spring, TX 79721",
