Operator Number,Operator Name,Location,Leases
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",
008492,ADVANTEK WASTE MGMT SERVICES LLC,"Houston, TX 77042",
000834,"AEON OPERATING, INC.","Fate, TX 75132",
009566,AKG OPERATING COMPANY,"Austin, TX 78701",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
012365,ALEXANDER PRODUCTION COMPANY,"San Antonio, TX 78205",
012443,ALFORD PETROLEUM CORP.,"The Woodlands, TX 77380",
014471,"ALLIED OPERATING TEXAS, LLC","Kilgore, TX 75663",
015098,"ALON USA, LP","Big Spring, TX 79720",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030801,"ARLEDGE, TERRY","Rockdale, TX 76567",
000610,"ASM OIL & GAS COMPANY, INC.","Dallas, TX 75367",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036103,ATKINSON ENERGY CORPORATION,"Giddings, TX 78942",
040787,"B J RESOURCES, L.L.C.","Athens, TX 75751",
044425,"BAKER, BRENT OIL & GAS, INC.","Oklahoma City, OK 73149",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
058910,BBL OPERATING COMPANY LLC,"Colleyville, TX 76034",13
058908,"BBX OPERATING, L.L.C.","Austin, TX 78738",
064098,"BENCHMARK EXPLORATION, INC","Houston, TX 77063",
076772,BLUE STAR OPERATING COMPANY,"Kilgore, TX 75663",
088561,BRALEX OPERATING LLC,"Dallas, TX 75367",2
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
089988,"BRAZOS VALLEY OPERATING, LLC","Austin, TX 78738",
096670,BRONCO ENERGY,"Opelousas, LA 70570",
103003,"BROWNING, LANDON","Brenham, TX 77833",
100330,"Buffalo XXII Operating, LLC","The Woodlands, TX 77380",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
111030,BURNS PRODUCTION CORPORATION,"Midland, TX 79701",
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
120529,"C&E PRODUCTION, LLC","Bryan, TX 77808",
120531,C&J ENERGY SERVICES,"Houston, TX 77042",
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
135180,"CARR RESOURCES, INC.","Tyler, TX 75702",4
139579,CASHCO ENERGY CORP.,"Victoria, TX 77901",
139582,CASHCO OIL COMPANY,"Houston, TX 77024",
139420,"CASHCO, L.L.C.","Houston, TX 77024",
140588,"CAYUGA EXPLORATION, INC.","Houston, TX 77002",
142297,"CHALKER ENERGY MANAGEMENT,LLC","Houston, TX 77002",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144989,CHAPMAN OIL,"Houston, TX 77002",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148111,"CHEYENNE MINERALS, INC.","Houston, TX 77030",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
158927,"CLAY EXPLORATION, INC.","Spring, TX 77387",
120648,"CML EXPLORATION, LLC","Austin, TX 78746",177
169230,COLUMBIA GAS DEVELOPMENT CORP.,"Houston, TX 77251",
170776,CONFED OIL INCORPORATED,"Tulsa, OK 74103",
172230,CONOCO INC.,"Houston, TX 77252",
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",
100222,"Contango Resources, LLC","Houston, TX 77002",433
173890,CONTRACT OIL & GAS SERVICE CO.,"Tomball, TX 77375",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
179363,CORONADO MINERALS COMPANY,"Houston, TX 77006",
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
189981,CRIMSON EXPLORATION INC.,"Houston, TX 77060",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
197450,"DALBOSCO, DONALD C.","Katy, TX 77450",
198190,DAMSON OIL CORP.,"Midland, TX 79702",
198575,DANIEL OIL CO.,"Houston, TX 77002",
209651,"DEEP ROCK RESOURCES, INC.","Dallas, TX 75206",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
220889,"DIVERSIFIED O&G PROD. CO., INC.","Houston, TX 77257",
227401,DOUGLAS PETROLEUM INC.,"Spring, TX 77379",
