Operator Number,Operator Name,Location,Leases
857501,"3-C OIL COMPANY, INC.","Luling, TX 78648",
953728,3-L DRILLING,"Abilene, TX 79605",
953681,"3-SON OIL, INC.","Somerville, TX 77879",
953820,"4F ENERGY, LLC","Shiner, TX 77984",
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
953710,9-G'S OIL COMPANY,"San Antonio, TX 78218",
007811,"ADAMSON, S. E. & J. N.***SEE RMK","Kilgore, TX 75663",
007820,"ADCO ENERGY, INC.","Seguin, TX 78155",
008490,"ADVANTAGEWON OIL, US, CORP.","Batson, TX 77519",
008533,"AERO, INC.","Gladewater, TX 75647",
008571,AGAPE ENERGY INC.,"San Antonio, TX 78280",
008717,AGGREGATE AGGRAVATIONS INC,"College Sta, TX 77842",
008725,"AGOIL, INC.","Victoria, TX 77901",
010069,ALAMO OPERATING CO.,"Alice, TX 78333",
011260,"ALCOR ENERGY, INC.","San Antonio, TX 78239",
011262,"ALCORN ENERGY, L.L.C.","Woodway, TX 76712",
011275,"ALCORN RESOURCES, LLC","MC Gregor, TX 76657",
011322,ALDIS OIL,"Luling, TX 78648",
011440,"ALEGRAR OIL & GAS, INC.","Austin, TX 78736",
013695,ALLEN & GRACE OIL COMPANY,"Kingsbury, TX 78638",
014018,ALLEN-BOREN OIL & DRILLING CO.,"Irving, TX 75061",
014475,ALLIED PRODUCTION CORP.,"Houston, TX 77063",
015056,ALLTEX OPERATING COMPANY,"Luling, TX 78648",
015128,"ALPHA OMEGA PETROLEUM, INC.","Dallas, TX 75251",
015630,"ALRICH OIL & GAS, INC.","Corpus Chrsti, TX 78410",
015745,"ALTEX PETROLEUM, INC.","Pasadena, TX 77506",
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019520,AMERICAN STATES ENERGY CO.,"Houston, TX 77019",
102118,AMS ENERGY SOLUTIONS LLP,"Katy, TX 77493",2
027231,APACHE OPERATING,"Luling, TX 78648",
031190,ARMIDILLO OIL COMPANY,"Luling, TX 78648",
033761,"ARUBA PETROLEUM, LTD.","Dallas, TX 75206",
033877,"ASANTE OPERATING COMPANY, LLC","Austin, TX 78703",5
037203,AUSTIN OIL & GAS CO.,"Austin, TX 78760",
037252,"AUSTIN OPERATING, LLC.","Chicago, IL 60622",
037670,AUSTRA-TEX OIL COMPANY,"San Antonio, TX 78205",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
038712,"AVIAN TECH INTERNATIONAL, INC.","Euless, TX 76040",
038888,AWM OIL,"Luling, TX 78648",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039659,AZAR OIL COMPANY,"San Antonio, TX 78218",
039663,AZAR-SEAY,"San Antonio, TX 78218",
040745,B & M OIL CO.,"Luling, TX 78648",
040190,"B D PRODUCTION CO., INC.","Corpus Chrsti, TX 78401",11
040710,B J OIL MANAGEMENT,"Luling, TX 78648",
040405,B-G OPERATING INC.,"Luling, TX 78648",
040737,B. & L. OIL COMPANY,"Seguin, TX 78155",
040160,"B. B. & S. OIL, CO.","Luling, TX 78648",
040674,B. J. P. OPERATING,"Luling, TX 78648",22
040830,B.O. OIL COMPANY,"Houston, TX 77089",
043665,"BAILEY, L. J.","Pleasanton, TX 78064",
044263,"BAIR'S LEASE SERVICE, INC.","Luling, TX 78648",24
048160,"BALL, WESLEY L.","Austin, TX 78750",
048533,"BANNER PETROLEUM, INC.","Greenville, TX 75401",
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
052990,BARON PETROLEUM INC.,"Dallas, TX 75355",
053327,"BARROW, WILLIAM R. INTERESTS","Houston, TX 77057",
054080,BASE PETROLEUM,"Houston, TX 77096",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
057962,"BAYARD ENERGY SOLUTIONS, INC.","Irving, TX 75038",
058867,BAYSIDE PETROLEUM CORP.,"San Antonio, TX 78217",
060124,"BEAR OF TEXAS, INC.","Grand Rapids, MI 49546",
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",
062785,"BELL ENERGY, INC.","Houston, TX 77057",
064230,"BENGAIL, INC","Del Rio, TX 78840",
068314,BETA OIL CORPORATION,"San Antonio, TX 78232",7
069160,"BIG ""6"" DRILLING COMPANY","Houston, TX 77063",
072619,"BJT OIL COMPANY, INC","Austin, TX 78737",
076775,"BLUE RIDGE OIL & GAS EXP., INC.","Belleville, MI 48111",
076767,BLUE RIVER INC.,"Abilene, TX 79608",
076830,BLUEBONNET EXPLORATION COMPANY,"New Braunfels, TX 78130",
076860,"BLUMBERG, ROLAND K.","Seguin, TX 78155",
078056,BOB-KAT OIL CO.,"Prairie Lea, TX 78661",
080200,"BOLDING, F. N. JR.","Austin, TX 78759",
083720,"BOUNDS, ROBERT S.","San Antonio, TX 78217",
083860,BOUSAID TRUST,"Wimberley, TX 78676",
084525,BOYCE ENERGY CORPORATION,"Kyle, TX 78640",
085446,BRAC OIL,"La Vernia, TX 78121",1
093419,BRINKOETER GAS & OIL,"Converse, TX 78109",
095100,BROCK EXPLORATION CORPORATION,"New Orleans, LA 70112",
103900,"BRUNER OIL & GAS, INC.","Fischer, TX 78623",
106419,BUGAI OIL COMPANY,"Seguin, TX 78155",
106620,"BULLOCK, JOHN M. OPERATING","Luling, TX 78648",
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
110075,"BURNETT, G. K.","Gonzales, TX 78629",
121073,"C S J, INC.","Austin, TX 78716",
119947,"C-BAR PRODUCTION, INC.","Baytown, TX 77521",
121219,"CAB ENERGY GROUP, INC","Austin, TX 78757",
122196,CADDELL WELL SERVICE,"Luling, TX 78648",
122331,"CADDELL WELL SERVICE, INC.","Prairie Lea, TX 78661",
101557,CAL-TEX EXPLORATION & PRODUCTION COMPANY LLC,"San Antonio, TX 78228",19
125987,CAL-WACO OIL CO. INC.,"Dana Point, CA 92629",
125991,CALTEX ENERGY CO.,"Luling, TX 78648",
127237,"CAMERON RESOURCES, INC.","Luling, TX 78648",
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
129900,CANTU OIL CO.,"Houston, TX 77071",
136507,"CARTER, A.J. PRODUCTION CO.","Seguin, TX 78155",
139920,"CATLETT, E. G.","Houston, TX 77002",
140557,"CAVALIER OIL & GAS, INC.","Buchanan Dam, TX 78609",4
120033,"CCR OPERATING, LLC","Luling, TX 78648",
141149,"CENTEX PIPE & EQUIPMENT, INC.","Luling, TX 78648",3
141192,CENTRAL CONTINENTAL CORP.,"New Braunfels, TX 78130",
144572,"CHAPARRAL NATURAL RESOURCES,INC.","Austin, TX 78746",
147113,"CHEATHAM WELL SERVICE, INC.","Luling, TX 78648",15
147111,"CHEATHAM, IRENE","Seguin, TX 78155",
147110,"CHEATHAM, JAMES","Seguin, TX 78155",
147657,CHERRY OIL & GAS,"Luling, TX 78648",
147775,"CHESSHER, OTTO DRILLING COMPANY","Kearney, MO 64060",
149434,CHIODO CORP.,"San Antonio, TX 78232",
152870,"CHRISTIE, JOHN P.","El Paso, TX 79912",
153483,CINCO-C OIL CO.,"Luling, TX 78648",
154099,CISCO OIL & GAS INC.,"Austin, TX 78720",
