Operator Number,Operator Name,Location,Leases
953616,3 M ESTATE,"Midland, TX 79706",
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
006460,ADAMS & MCGAHEY,"Amarillo, TX 79114",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
011550,"ALEXANDER, C. D.","Guymon, OK 73942",
013119,ALIX PRODUCTION INC.,"Burnet, TX 78611",
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016802,"AMARILLO EXPLORATION, INC.","Dallas, TX 75360",26
016930,"AMEDAN RESOURCES, INC.","Chickasha, OK 73023",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019510,AMERICAN STAR ENERGY & MIN. CORP,"Katy, TX 77449",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020549,"ANA-TOK OPERATING CO., INC.","Pampa, TX 79066",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
026800,"AOG, INC.","Norman, OK 73070",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028723,ARATEX PRODUCTION COMPANY,"Denver, CO 80202",
028990,"ARCHER, CARL M.","Spearman, TX 79081",
028992,"ARCHER, CARL M. FARMS, INC.","Gruver, TX 79040",
028890,"ARCHER,CARL M ESTATE PARTNERSHIP","Gruver, TX 79040",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
033228,"ARROW OIL & GAS, LLC","Norman, OK 73070",9
033762,"ARUBA PETROLEUM, INC.","Dallas, TX 75379",
036010,"ATCHLEY RESOURCES, INC.","Oklahoma City, OK 73134",
036051,"ATHENA ENERGY, INC.","Gallatin, TN 37066",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
042158,"B & W OPERATING, L.L.C.","Nichols Hill, OK 73116",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
040377,"B&E EXPLORATION, INC.","Perryton, TX 79070",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
049748,BAR L PRODUCERS,"Fritch, TX 79036",
049155,BARBOUR ENERGY CORPORATION,"Oklahoma City, OK 73113",2
053014,"BARRETT, BILL CORPORATION","Denver, CO 80202",
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
040205,BCE-MACH II LLC,"Oklahoma City, OK 73134",246
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
100676,"BE Anadarko II, LLC","Austin, TX 78731",387
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
064370,BENN OIL & GAS,"Perryton, TX 79070",
065846,BENSON-MCCOWN & COMPANY,"Amarillo, TX 79114",
066995,BEREXCO INC.,"Wichita, KS 67208",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
068630,BHP PETROLEUM COMPANY INC.,"Houston, TX 77057",
072564,BISON PETROLEUM CORPORATION,"Amarillo, TX 79121",
072721,BLACK STONE ENERGY COMPANY,"Houston, TX 77002",
072716,"BLACK STONE ENERGY COMPANY, LLC","Houston, TX 77002",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
076762,BLUE DOLPHIN PRODUCTION LLC,"Oklahoma City, OK 73142",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085485,BRACKEN ENERGY COMPANY,"Oklahoma City, OK 73118",
085851,"BRACKEN OPERATING, L.L.C.","Perryton, TX 79070",130
089923,BRAWLEY PETROLEUM CORPORATION,"Lubbock, TX 79424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
093000,BRIGHT HORIZON TEXAS LLC,"Tulsa, OK 74136",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
095100,BROCK EXPLORATION CORPORATION,"New Orleans, LA 70112",
095327,"BROCK HYDROCARBONS, INC.","New Orleans, LA 70112",
095340,BROCK OIL & GAS CORPORATION,"Tulsa, OK 74103",
095725,"BROCK RESOURCES, INC.","New Orleans, LA 70112",
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",13
100179,"Buffalo Raider Consulting, LLC","Midland, TX 79705",5
108575,"BURGESS, W. E.","Fort Worth, TX 76147",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
109110,BURKHART PETROLEUM CORPORATION,"Tulsa, OK 74135",
112575,"BUSCHMAN, ALVIN","N Richlnd HLS, TX 76182",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
125948,CALPINE NATURAL GAS COMPANY,"Houston, TX 77002",
125946,CALPINE NATURAL GAS COMPANY L.P.,"Houston, TX 77002",
125944,CALPINE NATURAL GAS L.P.,"Houston, TX 77002",
126094,CALUMET OIL COMPANY,"Oklahoma City, OK 73114",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",
129932,CANYON EXPLORATION CO.,"Amarillo, TX 79105",
130528,CAPSTONE CACTUS OPERATING COMP.,"Hennessey, OK 73742",
136042,CARSON BUCKLES EXPLORATION LLC,"Midland, TX 79710",9
140210,"CATOR, ALVIN MRS.","Spearman, TX 79081",
140250,"CATOR, D.A.","Gruver, TX 79040",
140261,"CATOR, MARSHALL","Spearman, TX 79081",
140273,"CATOR, PETE","Amarillo, TX 79124",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
146669,"CHARTER OAK PRODUCTION CO., LLC","Oklahoma City, OK 73134",19
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
120485,"CIG EXPLORATION, INC.","Houston, TX 77046",
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
154540,CITRUS ENERGY CORPORATION,"Castle Rock, CO 80104",
158936,CLAY PETROLEUM,"Prosper, TX 75078",
160060,"CLEMENTS ENERGY, INC.","Vancouver, WA 98662",
161397,CNG PRODUCING COMPANY,"New Orleans, LA 70112",
161671,"COASTAL PLAINS ENERGY, INC.","Oklahoma City, OK 73112",23
164931,COENERGY OPERATING COMPANY,"Oklahoma City, OK 73112",
167035,"COLA PETROLEUM, INC.","Midland, TX 79701",
169455,COMBINED RESOURCES CORPORATION,"Edmond, OK 73083",2
169785,"COMPLETE ENERGY SERVICES, INC.","Mustang, OK 73064",
170141,CONCHO EXPLORATION INC,"Oklahoma City, OK 73154",
170777,"CONFED OIL & GAS, INC.","Dallas, TX 75219",
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",119
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",
100222,"Contango Resources, LLC","Houston, TX 77002",433
173783,"CONTINENTAL TREND RESOURCES, INC","Oklahoma City, OK 73126",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
