Operator Number,Operator Name,Location,Leases
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
000830,AA ENERGY CORP.,"Dallas, TX 75201",
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",10
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",
016563,AMARALA PETROLEUM INC.,"Amarillo, TX 79101",
018882,"AMERICAN PATRIOT OIL, LLC","Parker, CO 80134",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
025626,"ANNAVAS DEVELOPMENT CO., LTD.","Phoenix, AZ 85004",
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",
026452,"ANTICLINE ENERGY, LLC","Three Rivers, MI 49093",
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",44
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027215,"APACHE EXPLORATION, INC.","Dallas, TX 75379",
029370,ARCOOIL CORP,"San Antonio, TX 78205",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",
035486,"ASSENT ENERGY PARTNERS, LLC","College Sta, TX 77840",25
039809,"B & B OPERATING, L.P.","Amarillo, TX 79102",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
044264,"BAIRD, B. M.","Iowa Park, TX 76367",
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
048343,BALTIC ROYALTY CORP.,"Dallas, TX 75209",
052210,BARNHART CO.,"Houston, TX 77056",
058904,BC WILSON AND COMPANY,"Aurora, CO 80013",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
065851,"BEN-CO OPERATING CO., LLC","Graham, TX 76450",
064611,"BENNETT & GUINN, INC","Arlington, TX 76010",
065320,"BENNETT RESOURCES, INC.","Graham, TX 76450",2
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
072401,BIRGE OIL CO.,"Wichita Falls, TX 76302",
072398,"BIRGE, DONALD","Wichita Falls, TX 76302",
040639,"BMBD ENTERPRISES, LLC","Iowa Park, TX 76367",2
082443,BONFIRE OPERATING LLC,"Cresson, TX 76035",16
083041,"BORDERS, DELBERT L. INC.","Wichita Falls, TX 76307",
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",
089961,BRAZOS PETROLEUM CO.,"Midland, TX 79702",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
091140,BRIDGER OIL INC.,"Richmond, TX 77406",1
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
111017,BURNS PETROLEUM,"Wichita Falls, TX 76307",
111019,"BURNS, P. C. OIL PRODUCERS INC.","Wichita Falls, TX 76308",
111073,BURR OIL CO.,"Luling, TX 78648",
121215,"CA-TEX DRILLING, INC.","Wichita Falls, TX 76307",
121217,"CA-TEX PETROLEUM, INC.","Houston, TX 77058",
122585,CAG PETROLEUM CORP.,"Dallas, TX 75382",
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",
128990,"CANAN, THOMAS C.","Wichita Falls, TX 76301",
130022,CANYON RIDGE ENERGY LLC,"Iowa Park, TX 76367",
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",
120067,CET ENERGY CORPORATION,"Spring, TX 77391",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144614,"CHAPMAN ENERGY, INC.","Dallas, TX 75231",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147847,"CHESTNUT EXPLOR. AND PROD., INC.","Dallas, TX 75208",
147850,"CHESTNUT PETROLEUM, INC.","Richardson, TX 75080",
