Operator Number,Operator Name,Location,Leases
953664,"3 S OIL & GAS, INC.","Garland, TX 75046",
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
001505,"ABEL, M. D.","Midland, TX 79702",
001506,"ABEL, M.D. CO.","Lampasas, TX 76550",
002636,"ABILENE OIL & GAS COMPANY, INC.","Abilene, TX 79604",
003590,ACME PRODUCTION CO. OF ABILENE,"Abilene, TX 79606",
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008587,"AGAVE OPERATING, LP","Midland, TX 79702",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
015098,"ALON USA, LP","Big Spring, TX 79720",
015138,ALPINE PETROLEUM,"Abilene, TX 79608",
016944,AMEN OIL LLC,"Graham, TX 76450",
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",
019768,AMERICORP PETROLEUM COMPANY,"Houston, TX 77068",
020423,AMOCO PIPELINE COMPANY,"Warrenville, IL 60555",
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
020553,ANACO COMPANY,"Abilene, TX 79606",
020581,"ANATHEMA, INC.","Abilene, TX 79601",
022275,"ANDERSON, JAMES K. INC.","Abilene, TX 79608",2
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",44
026705,ANVIL PETROLEUM CORPORATION,"Houston, TX 77005",
026708,"ANVIL PETROLEUM, INC. (TLT)","Abilene, TX 79604",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
033012,"ARNOT OIL COMPANY, LLC","Breckenridge, TX 76424",40
033000,"ARNOT, W. G., JR.","Breckenridge, TX 76424",
034160,ASE OPERATIONS LLC,"Dallas, TX 75205",
034380,ASHFORD OIL & GAS COMPANY,"Houston, TX 77282",
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
036614,"ATTIC OIL & GAS, INC.","Houston, TX 77060",
038715,"AVIPS PETROLEUM, INC.","Abilene, TX 79605",
039744,AZTEL OPERATING INC.,"Windthorst, TX 76389",
040765,"B & N PETROLEUM, INC.","Longview, TX 75606",
040776,B P OPERATING COMPANY,"Abilene, TX 79604",
048943,"BARBEE, INC.","Abilene, TX 79604",
048970,"BARBEE, JOHN W.","Abilene, TX 79604",
053950,BARUCH-FOSTER CORPORATION,"Oklahoma City, OK 73126",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
058857,BAYOU CITY-OLYMPIA OIL CO.,"Abilene, TX 79605",
058851,"BAYOU OPERATING COMPANY, INC.","Abilene, TX 79608",41
058921,"BEACH OIL & GAS, INC.","Lubbock, TX 79464",
048178,BELLESCO,"Stamford, TX 79553",
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",
065847,"BENSON MINERAL GROUP, INC.","Denver, CO 80202",
067200,"BERG, LESTER O.","Abilene, TX 79604",
068306,BETA OPERATING CO.,"College Sta, TX 77842",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
069222,"BIG COUNTRY ENERGY CO., L.L.C.","Woodway, TX 76712",
072587,BITTER CREEK PETROLEUM CO.,"Knox City, TX 79529",
075370,BLOUNT PETROLEUM INC.,"San Antonio, TX 78209",
075380,"BLOUNT, S. W. III","San Antonio, TX 78209",
076863,"BLUFF CREEK OPERATING, LLC","Austin, TX 78734",
076859,"BLUFF CREEK PETROLEUM, LLC","Abilene, TX 79603",38
077629,BOB & TED'S OPERATING,"Lewisville, TX 75067",
080410,"BOLIN, D. H.","Wichita Falls, TX 76301",
080411,"BOLIN, D. H. ESTATE","Wichita Falls, TX 76301",
081100,"BOLIN, R. L.","Wichita Falls, TX 76301",
082968,"BOOTSTRAP EXPLORATION, INC.","Aledo, TX 76008",
082992,"BORDEN, ROLAND","Abilene, TX 79606",
082982,"BORDEN, ROLAND INC.","Abilene, TX 79608",
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",28
083041,"BORDERS, DELBERT L. INC.","Wichita Falls, TX 76307",
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",5
086310,"BRADEN-DEEM, INC.","Wichita, KS 67226",
088623,"BRANDT, BODIE","Iowa Park, TX 76367",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
089973,BRECK-TEX ENERGY CORPORATION,"Breckenridge, TX 76424",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
093125,BRIGHT & CO.,"The Colony, TX 75056",
093160,BRIGHT & SCHIFF,"Dallas, TX 75219",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",
096500,BROKEN SPOKE CORP.,"Dallas, TX 75248",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
104235,BRUSHY CREEK DRILLING CO.,"San Angelo, TX 76902",
108069,"BURGER, F.W. INC.","Abilene, TX 79604",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
120565,C & L EQUIPMENT,"Albany, TX 76430",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
122110,CACHE OIL CO.,"Albany, TX 76430",
123555,CALBRO OIL & GAS INC.,"Abilene, TX 79605",
123690,CALHOUN & ELLISON OIL CO.,"San Antonio, TX 78248",
123742,CALHOUN OIL COMPANY,"Aspermont, TX 79502",
129675,CAN-TEX ENERGY CORP.,"Dallas, TX 75231",
129008,"CANAN MOWREY OPERATING, LLC","Wichita Falls, TX 76308",29
129223,CANNON OPERATING COMPANY LLC,"Garland, TX 75043",
130351,"CAPCO RESOURCES OF TEXAS, INC","Irving, TX 75063",
120043,CD CONSULTING & OPERATING CO.,"Bridgeport, TX 76426",9
140905,CELERON OIL & GAS CO.,"Houston, TX 77002",
141030,CENTAUR PETROLEUM CORPORATION,"Fort Worth, TX 76101",2
141040,CENTENNIAL OIL & GAS,"Abilene, TX 79602",
141755,CENTURY OPERATING COMPANY,"Abilene, TX 79604",
141995,"CERCO PETROLEUM, INC.","Abilene, TX 79604",
142193,"CH4 ENERGY SIX, LLC","Fort Worth, TX 76107",1
142450,"CHALMERS OPERATING CO., INC.","Abilene, TX 79601",
142485,"CHALMERS, JOHN H.","Abilene, TX 79605",
144179,CHAN WEST OIL CORPORATION,"Irving, TX 75016",
144410,CHANOCO CORPORATION,"San Antonio, TX 78205",
144416,"CHAP OPERATING, INC.","Knox City, TX 79529",1
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148260,"CHILDERS, CHARLES M.","Abilene, TX 79605",
148990,"CHINA STAR OIL CO., LLC","Woodway, TX 76712",
149454,"CHISHOLM OPERATING, INC.","Abilene, TX 79606",11
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
150825,"CHRISTI CO., INC. THE","Abilene, TX 79602",
153439,CIMARRON EXPLORATION COMPANY (A),"Roswell, NM 88202",
153508,"CINNABAR ENERGY, LTD.","Fort Worth, TX 76107",
154001,CIRCLE M CONSTRUCTION,"Andrews, TX 79714",
157283,"CLARK, JOHN M., INC.","Midland, TX 79704",7
159500,"CLEAR FORK, INCORPORATED","Abilene, TX 79604",31
159655,CLEARY PETROLEUM CORP.,"Unknown, XX 99999",
160655,"CLIFTON, JOE B. EXPLORATION, INC","Pauls Valley, OK 73075",
160927,CLIFTON-TEER OIL & GAS LLC,"Grapevine, TX 76051",
120681,"CMS FIELD SERVICES, INC.","Greenwood VLG, CO 80111",
161980,COATES & LAHUSEN,"Moab, UT 84532",
164305,"COCKRELL PRODUCTION CO., INC.","Irving, TX 75014",
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
166150,COG OPERATING LLC,"Midland, TX 79701",1312
169397,"COMANCHE OIL EXPLORATION, INC.","Aurora, CO 80012",
172230,CONOCO INC.,"Houston, TX 77252",
173790,"CONTINUAL OIL & GAS, INC.","Abilene, TX 79602",
177570,COQUINA OIL CORPORATION,"Houston, TX 77227",
177997,CORDA CORPORATION,"Wichita Falls, TX 76302",24
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182075,COTTONWOOD PETROLEUM CO.,"Abilene, TX 79603",
188584,CREGO EXPLORATION,"Dallas, TX 75243",
189986,CRIMSON OIL CO. INC.,"Seminole, TX 79360",
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",
191534,CROWN EQUIPMENT CO.,"Weatherford, TX 76086",36
191545,CROWN PETROLEUM INC.,"Dallas, TX 75248",
191571,"CRT'S, INC.","Abilene, TX 79605",
191914,CUCHARAS OIL & GAS COMPANY,"Dallas, TX 75225",
