Operator Number,Operator Name,Location,Leases
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
060124,"BEAR OF TEXAS, INC.","Grand Rapids, MI 49546",
100268,"BROWN, H. L., JR.","Midland, TX 79702",
139115,CASE PRODUCTION COMPANY,"McKinney, TX 75071",
160060,"CLEMENTS ENERGY, INC.","Vancouver, WA 98662",
191250,"CROW, DAVID","Shreveport, LA 71106",
214225,DEMINEX U. S. OIL CO.,"Midland, TX 79702",
257095,EXPLORER PIPELINE COMPANY,"Tulsa, OK 74101",
281294,"FOX & HOLLAND, LTD.","Tyler, TX 75702",
300205,GENESIS PRODUCING COMPANY,"Houston, TX 77024",
301290,"GEOTEC EXPLORATION, INC.","Tyler, TX 75701",
331568,GREENLIGHT ENTERPRISES LLC,"McKinney, TX 75072",2
346850,"HALL, ROBERT G.","Oklahoma City, OK 73106",
357368,"HARMAN OPERATING COMPANY, INC.","Tyler, TX 75702",
396825,"HOMBRE OIL CO., LTD.","Tyler, TX 75713",
403100,"HOUSTON OIL ASSOCIATES, INC.","Houston, TX 77079",
422890,IMC EXPLORATON CO.,"Mundelein, IL 60060",
430725,JEFFERSON-WILLIAMS ENERGY CORP.,"Dallas, TX 75202",
520333,"MACHIN, ART & ASSOCIATES, INC.","Longview, TX 75606",
527120,MARSHALL EXPL. INC.,"Tyler, TX 75703",
595011,"MURPHY OIL USA, INC.","New Orleans, LA 70161",
622726,"OMNI-EXPLORATION, INC.","Irving, TX 75062",
636222,PALMER PETROLEUM INC.,"Shreveport, LA 71105",6
642795,"PARWEST LAND EXPLORATION, INC.","Oklahoma City, OK 73112",
660827,"PETROLEUM SYSTEMS, INC.","Kilgore, TX 75662",
664148,"PHOENIX FUND, INC.","San Antonio, TX 78217",
667884,PLAINS PIPELINE L.P.,"Houston, TX 77210",
712345,RINER EXPLORATION CORP.,"Houston, TX 77060",
727091,ROOSTH PRODUCTION CO.,"Tyler, TX 75711",
729203,"ROSS, BILL C.-RIPPY, JAMES H.","Tyler, TX 75702",
730425,"ROWAN, AL","Van, TX 75790",
744600,SAMEDAN OIL CORPORATION,"Houston, TX 77067",
749658,SAXTON PETROLEUM CORPORATION,"Tyler, TX 75703",
761705,"SEAGULL INTL. EXP., INC.","Houston, TX 77047",
809331,"SPENCE, RALPH OIL COMPANY, INC.","Tyler, TX 75701",
810868,"STACHA, EDDY A.","Rice, TX 75155",
835500,TALISMAN ENERGY CORPORATION,"New Orleans, LA 70130",
843250,"TERRA RESOURCES, INC.","Houston, TX 77056",
845920,TEXAS GAS EXPLORATION CORP.,"Houston, TX 77210",
844153,"TEXCEL EXPLORATION, INC.","Colorado SPGS, CO 80960",4
849740,"TEXLAN OIL COMPANY, INC.","Tyler, TX 75701",
102247,"TRIANGLE OPERATING COMPANY, LLC","Shreveport, LA 71101",
933609,WISENBAKER PRODUCTION COMPANY,"Tyler, TX 75702",
