Operator Number,Operator Name,Location,Leases
953531,"4 P OILFIELD SERVICES, LLC","Stinnett, TX 79083",
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
953843,"4R PETROLEUM, INC.","Borger, TX 79008",
953900,6A PRODUCTION,"Pampa, TX 79066",26
000139,A & B WELL SERVICE INC.,"Amarillo, TX 79159",
000792,"A2R RESOURCES, LLC","Pampa, TX 79066",
003920,"ADA OPERATING, INC.","Pampa, TX 79065",
008391,ADOBE OPERATING COMPANY,"Pampa, TX 79066",
008710,AGGIE OIL,"Pampa, TX 79066",
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016536,"ALYAHA ENERGY, LLC","Dumas, TX 79029",5
016810,"AMARILLO NATURAL GAS, INC.","Amarillo, TX 79119",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
019510,AMERICAN STAR ENERGY & MIN. CORP,"Katy, TX 77449",
019786,AMERRIL ENERGY LLC,"Houston, TX 77042",
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020512,"AMROSERVICE, INC.","Amarillo, TX 79105",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",
025516,"ANISMAN, MELVIN OIL COMPANY INC.","Pampa, TX 79066",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028710,ARAPAHOE PROD. CO.,"Borger, TX 79008",
028990,"ARCHER, CARL M.","Spearman, TX 79081",
028890,"ARCHER,CARL M ESTATE PARTNERSHIP","Gruver, TX 79040",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
030804,"ARKOMA, SANDRA","Pampa, TX 79066",
033134,"ARRINGTON CJM, INC.","Canadian, TX 79014",
033146,"ARRINGTON OIL CO., INC.","Canadian, TX 79014",
033732,ARTEX RESOURCES,"Borger, TX 79008",
036051,"ATHENA ENERGY, INC.","Gallatin, TN 37066",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
041155,B & R OIL & GAS,"Borger, TX 79008",
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
049748,BAR L PRODUCERS,"Fritch, TX 79036",
049155,BARBOUR ENERGY CORPORATION,"Oklahoma City, OK 73113",2
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
040197,BCJ ENERGY COMPANY,"Arlington, TX 76013",
100676,"BE Anadarko II, LLC","Austin, TX 78731",387
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
059776,BEAGLE OIL CO.,"Borger, TX 79008",
060119,BEAR CREEK OPERATING,"Pampa, TX 79066",
060186,BEASLEY OIL COMPANY,"Oklahoma City, OK 73120",
061609,BEDSTONE OPERATING CO.,"Pampa, TX 79065",
065846,BENSON-MCCOWN & COMPANY,"Amarillo, TX 79114",
068494,"BGM PRODUCTION, LLC","Borger, TX 79008",4
068580,BHB OPERATING INC.,"Fort Worth, TX 76137",
040668,BHI ENERGY CORPORATION,"Houston, TX 77079",
070714,"BIG VALLEY INVESTMENTS, INC.","Shamrock, TX 79079",
100503,BLACK RESOURCES,"Pampa, TX 79065",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
073400,BLADE OIL CO.,"Borger, TX 79007",
076788,"BLUE NORTHER OIL & GAS, LLC","Red Oak, TX 75154",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
077571,"BMX CORPORATION, INC.","Pampa, TX 79066",
082986,BOR-TEX MINERAL & LEASING INC.,"Borger, TX 79007",
083051,BOREN BROTHERS,"Borger, TX 79008",
083236,BORGER RESOURCES 2 LLC,"Borger, TX 79007",24
083233,BORGER RESOURCES 3 LLC,"Borger, TX 79007",6
083237,BORGER RESOURCES 4 LLC,"Borger, TX 79007",3
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
087255,BRADLEY OPERATING CO.,"Pampa, TX 79065",18
088619,"BRANDY OPERATING, LLC","Borger, TX 79008",
088628,BRANDY PRODUCTION,"Borger, TX 79007",
089887,"BRAVO NATURAL GAS, LLC","Tulsa, OK 74136",
089923,BRAWLEY PETROLEUM CORPORATION,"Lubbock, TX 79424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
103272,"BRUCE ENTERPRISE, INC.","Pampa, TX 79065",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
110000,BURNETT CORP.,"Amarillo, TX 79105",
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
119945,C & C OIL & GAS PRODUCERS,"Borger, TX 79008",
119988,C & C OIL CO.,"Borger, TX 79008",
119962,C & C OIL PRODUCERS,"Borger, TX 79008",
121111,C & W PRODUCING,"Borger, TX 79008",
140697,C E ENERGY LLC,"Katy, TX 77449",
120745,"C. O. OIL AND GAS, LLC","Pampa, TX 79066",
121930,CABOT CORP.,"Amarillo, TX 79105",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
123133,"CAIRN ENERGY, USA, INC.","Houston, TX 77077",
125954,CAL-T OIL COMPANY,"Borger, TX 79007",
125953,"CAL-T OIL COMPANY, INCORPORATED","Borger, TX 79008",
125980,CAL-TEX OIL COMPANY,"Borger, TX 79007",
123682,CALDWELL PRODUCTION CO. INC.,"Borger, TX 79008",
126940,"CAMEO OIL COMPANY, INC.","Skellytown, TX 79080",
128980,"CANADIAN OIL, INC.","Pampa, TX 79066",
128972,CANADIAN RIVER TRADING CO II,"Katy, TX 77449",
128976,CANADIAN RIVER TRADING COMPANY,"Tulsa, OK 74101",
130528,CAPSTONE CACTUS OPERATING COMP.,"Hennessey, OK 73742",
138882,CASA OPERATIONS,"Borger, TX 79007",
142252,CHAIN OIL & GAS,"Stinnett, TX 79083",
144183,CHANCE ENERGY CO. INC.,"Amarillo, TX 79114",
146270,CHAPTER PETROLEUM,"Borger, TX 79008",
146271,"CHAPTER PETROLEUM, INC.","Borger, TX 79008",
146700,CHASE PRODUCTION COMPANY,"Pampa, TX 79066",7
146716,"CHAT PETROLEUM, INC.","Pampa, TX 79065",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148285,"CHILDERS, J. C.","Borger, TX 79008",
120485,"CIG EXPLORATION, INC.","Houston, TX 77046",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
154755,CKB CORPORATION,"Borger, TX 79008",
158291,"CLASSIC PETROLEUM PARTNERS, INC.","Whitehouse, TX 75791",
158936,CLAY PETROLEUM,"Prosper, TX 75078",
159633,CLEAR-WATER OIL COMPANY,"Borger, TX 79007",
161426,CO-SHA INVESTMENTS,"Fritch, TX 79036",
163003,COBLE OIL L.C.,"Amarillo, TX 79101",
164463,CODY COMPANY,"Amarillo, TX 79121",
168600,COLLINS OIL & GAS,"Stinnett, TX 79083",
169381,"COMAC WELL SERVICE, INC.","Borger, TX 79008",
169785,"COMPLETE ENERGY SERVICES, INC.","Mustang, OK 73064",
170040,"COMSTOCK OIL & GAS, LP","Frisco, TX 75034",
170141,CONCHO EXPLORATION INC,"Oklahoma City, OK 73154",
172230,CONOCO INC.,"Houston, TX 77252",
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",119
176340,COPAN CORPORATION,"Pampa, TX 79065",
178422,"CORETERRA OPERATING, LLC","Pampa, TX 79065",
184960,"COX, EDWIN L.","Dallas, TX 75202",
189451,"CRESCENDO RESOURCES, L.P.","Amarillo, TX 79188",
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
194228,"CUMMINGS, C. M. OIL & GAS","Lewisville, TX 75029",
195375,CURRY RESOURCES,"Midland, TX 79704",
100917,"Curzac Oil and Gas, LLC","Plano, TX 75075",7
195832,CUYAHOGA EXPL. & DEVEL. CORP.,"Jericho, NY 11753",
195819,"CWF ENERGY, INC.","Dallas, TX 75201",
196854,D & S OIL CO. #1,"Borger, TX 79007",
