Operator Number,Operator Name,Location,Leases
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
013900,"ALLEN PETROLEUM, INC.","Terrell, TX 75160",
014120,"ALLERKAMP, ERNEST E.","Cotulla, TX 78014",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
022275,"ANDERSON, JAMES K. INC.","Abilene, TX 79608",2
027210,APD COMPANY,"Houston, TX 77210",
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036592,ATMOS ENERGY CORPORATION,"Lubbock, TX 79408",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054490,BASIN OPERATING CO. LTD.,"Tyler, TX 75703",
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",74
100521,"BROWN, J. BURNS OPERATING CO.","Havre, MT 59501",
103900,"BRUNER OIL & GAS, INC.","Fischer, TX 78623",
126000,CALTO OIL CO.,"Dallas, TX 75225",
138897,CASCADE PETROLEUM CORPORATION,"Quitman, TX 75783",
140620,CDL OIL COMPANY,"Malakoff, TX 75148",
142230,CHAFIN PETROLEUM CO.,"Dallas, TX 75270",
144989,CHAPMAN OIL,"Houston, TX 77002",
158850,"CLAY, JERRY H.","Tyler, TX 75702",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
189448,"CRESCENT DRILLING & DEV., INC.","Houston, TX 77210",
197650,"DALLAS EXPLORATION, INC.","Dallas, TX 75206",
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",
213160,DE LOS INTERNATIONAL,"Dallas, TX 75243",
213559,"DELTA EXPLORATION COMPANY, INC.","Denver, CO 80202",
220711,DINERO OPERATING COMPANY,"Midland, TX 79702",2
225787,"DOUGHTIE OPERATING COMPANY, LLC","MC Queeney, TX 78123",
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",76
238974,EAST TEXAS PIPE,"Strawn, TX 76475",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
253145,ENTERPRISE PRODUCTS TEXAS OP LLC,"Houston, TX 77210",
256481,"EVERETT, JACK T.","Shreveport, LA 71101",
257095,EXPLORER PIPELINE COMPANY,"Tulsa, OK 74101",
257097,EXXON CORP.,"Houston, TX 77210",
258400,FAIR OIL COMPANY,"Tyler, TX 75710",
258401,"FAIR OIL, LC","Tyler, TX 75710",
263540,FARRINGTON ENERGY INC.,"Tyler, TX 75713",
268602,"FINLEY RESOURCES, INC.","Fort Worth, TX 76113",17
274921,FLYNN ENERGY CORP.,"Tulsa, OK 74136",
280629,"FOUR STARR PRODUCTION, LLC","Dallas, TX 75243",8
301925,GERMANY OIL COMPANY,"Tulsa, OK 74135",
302760,GIBSON DRLG. CO.,"Kilgore, TX 75662",
310440,GLOBAL NATURAL RESOURCES CORP.,"Houston, TX 77002",
310500,"GLOBE OPERATING COMPANY, INC.","Tyler, TX 75702",
323020,"GRAHAM EXPLORATION, LTD.","Houston, TX 77210",
326435,"GRAWARD OPERATING, INC.","Tyler, TX 75702",10
337112,GRUY MGMT. SERVICE CO.,"Irving, TX 75062",
357165,HARLETON OIL & GAS INC.,"Tyler, TX 75710",72
357368,"HARMAN OPERATING COMPANY, INC.","Tyler, TX 75702",
358820,"HARPER, WAYNE","Dallas, TX 75206",
396825,"HOMBRE OIL CO., LTD.","Tyler, TX 75713",
