Operator Number,Operator Name,Location,Leases
000830,AA ENERGY CORP.,"Dallas, TX 75201",
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008575,"AGAR & AGAR, INC.","Midland, TX 79702",
015138,ALPINE PETROLEUM,"Abilene, TX 79608",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
020435,AMOCO PRODUCTION CO.-LEVELLAND,"Brownfield, TX 79316",
020510,AMRON OPERATING COMPANY,"Midland, TX 79701",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029420,ARDEN OIL CORP.,"Midland, TX 79702",
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",
000610,"ASM OIL & GAS COMPANY, INC.","Dallas, TX 75367",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",20
041540,B & S SALVAGE,"Post, TX 79356",2
040136,B C & D OIL & GAS CORP.,"Hobbs, NM 88241",
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
048565,BARA CORPORATION,"Flower Mound, TX 75027",
048943,"BARBEE, INC.","Abilene, TX 79604",
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
056529,"BAXTER CASING PULLERS, INC.","Midland, TX 79703",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058893,"BC OPERATING, INC.","Midland, TX 79710",
058916,BDI OPERATING LLC,"Richardson, TX 75083",
058909,"BDI OPERATING, LLC","Addison, TX 75001",
061606,BEDROCK PETROLEUM,"Dover, OK 73734",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068414,"BEVERS SWD, INC.","Lubbock, TX 79453",
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
074344,"BLAKE PRODUCTION COMPANY, INC.","Oklahoma City, OK 73118",
075355,BLANKS ENERGY CORPORATION,"Midland, TX 79702",
076767,BLUE RIVER INC.,"Abilene, TX 79608",
077587,"BO DUNAGIN OPERATING, LLC","Merkel, TX 79536",
082540,BONRAY ENERGY CORP.,"Oklahoma City, OK 73156",
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",5
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",
089961,BRAZOS PETROLEUM CO.,"Midland, TX 79702",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
095100,BROCK EXPLORATION CORPORATION,"New Orleans, LA 70112",
095300,"BROCK, G.W., INC.","Midland, TX 79701",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
099752,"BROWN, FRED G. INC.","Midland, TX 79703",
099955,"BROWN, GEO. R PARTNERSHIP,LP,THE","Houston, TX 77002",28
