Operator Number,Operator Name,Location,Leases
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003399,"ACCIDIE EXPLORATION AND DEV.,INC","Plano, TX 75023",
008731,AGP ENERGY SERVICES LLC,"Midland, TX 79701",27
010070,ALAMO PET. CO.,"Houston, TX 77042",
015145,"ALPINE EXPLORATION CO, INC.","Dallas, TX 75360",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
024320,ANDREWS EXPLORATION INC.,"Corpus Chrsti, TX 78401",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028656,API OPERATING CO.,"Houston, TX 77036",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",
039134,"AXIO NATURAL RESOURCES, INC","Tulsa, OK 74103",
039141,"AXIO PRODUCTION COMPANY, L.P.","Tulsa, OK 74103",
054600,BASIN RESOURCES CORPORATION,"Dallas, TX 75230",
061149,BECKER & G/O INTERNATIONAL INC.,"Houston, TX 77242",
061150,"BECKER, B. A.","Houston, TX 77257",
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
063744,"BELLOWS, DEWEY OPER. CO., LTD.","Refugio, TX 78377",
072550,"BISHOP, R. H.","Houston, TX 77002",
072644,"BLACK GOLD OPERATING CO., INC.","San Antonio, TX 78209",
076791,"BLUE WING ENERGY, INC.","Portland, TX 78374",1
077031,BLUEFIN RESOURCES LLC,"Houston, TX 77079",
077570,BNP PETROLEUM CORPORATION,"Corpus Chrsti, TX 78478",
083271,BOSS EXPL & PROD CORPORATION,"Dallas, TX 75201",
089927,BRAYTON OIL CORP.,"Corpus Chrsti, TX 78476",
093125,BRIGHT & CO.,"The Colony, TX 75056",
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
120562,"C-K RESOURCES, INC.","Corpus Chrsti, TX 78473",
126837,"CAMDEN RESOURCES, INC.","Farmers BRNCH, TX 75234",
131850,CARL OIL & GAS INC.,"Corpus Chrsti, TX 78471",
131881,"CARL, W. E.-HAWN BROS.","Corpus Chrsti, TX 78471",
136850,CARTER EXPLORATION COMPANY,"Corpus Chrsti, TX 78413",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153446,CIMARRON ENGINEERING CORP.,"Kingsville, TX 78364",
153474,CINCO NATURAL RESOURCES CORP.,"La Grange, TX 78945",
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
168348,"COLLINS & WARE, INC.","Midland, TX 79701",
168720,"COLLINS RESOURCES, INC.","Corpus Chrsti, TX 78473",
168947,COLORADO HENDERSON PET. CORP.,"Tulsa, OK 74136",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
177902,CORAL PETROLEUM DEVELOPMENT INC.,"Houston, TX 77024",
179825,CORPUS CHRISTI OIL & GAS CO.,"Dallas, TX 75206",
120785,CPC EXPLORATION INC.,"Houston, TX 77057",
196122,"D.Y. EXPLORATION, INC.","Boise, ID 83705",
205800,DAVIS OIL COMPANY,"New Orleans, LA 70130",
208171,DAYLIGHT PETROLEUM LLC,"Houston, TX 77052",100
216748,DEWBRE PETROLEUM CORPORATION,"Corpus Chrsti, TX 78404",80
220712,DINERO OIL CORPORATION,"Corpus Chrsti, TX 78460",
220889,"DIVERSIFIED O&G PROD. CO., INC.","Houston, TX 77257",
224848,DOUBLE EAGLE DRILLING CO.,"Farmers BRNCH, TX 75234",
224880,"DOUBLE PLAY OIL & GAS, INC","Portland, TX 78374",26
228485,DRISCOLL S.W.D. INC.,"San Antonio, TX 78229",
236443,DURST ENERGY CORPORATION,"San Antonio, TX 78232",
250195,"EL PASO E & P COMPANY, L. P.","Houston, TX 77002",
250446,EL PASO PRODUCTION OIL & GAS CO.,"Houston, TX 77252",
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253253,"ENTERPRISE ROYALTY, INC.","Conroe, TX 77305",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253385,"EP ENERGY E&P COMPANY, L.P.","Houston, TX 77210",
254058,"ERSKINE ENERGY, LLC","H SPG NTL PK, AR 71909",6
254254,ESENJAY PETROLEUM CORP.,"Corpus Chrsti, TX 78471",
257067,EXXCEL OPERATING COMPANY,"San Antonio, TX 78227",
257104,"EXXON CO., U.S.A.","Houston, TX 77252",
257097,EXXON CORP.,"Houston, TX 77210",
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",
257129,EXXONMOBIL PIPELINE COMPANY,"Spring, TX 77389",
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",
268323,FINALY RESOURCES LLC,"Sunset Beach, CA 90742",19
271310,"FIVE-JAB, INC.","Tomball, TX 77377",
275605,"FORBES, CHARLES C.","Hebbronville, TX 78361",
275608,"FORBES, JOHN OPERATING","Hebbronville, TX 78361",
275625,"FORCE 5 ENERGY, LLC","Houston, TX 77090",
275740,FOREST OIL CORPORATION,"Houston, TX 77002",
285088,"FREEDOM ENERGY, INC. (I)","Horseshoe Bay, TX 78657",
292230,"G/O INTERNATIONAL, INC.","Houston, TX 77027",
293098,"GALAXY OIL CO. & HAMILL, CLAUD B","Wichita Falls, TX 76307",
293097,GALAXY OIL COMPANY,"Houston, TX 77210",
297101,"GASPER RICE & ASSOCIATES, INC.","Houston, TX 77084",
297089,"GASPER RICE RESOURCES, LTD.","Houston, TX 77068",
298410,GEARY WELL SERVICE INC.,"Kingsville, TX 78363",
