Operator Number,Operator Name,Location,Leases
953562,"1776 ENERGY OPERATORS, LLC","Houston, TX 77070",36
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
008625,"AGERON ENERGY, LLC","San Antonio, TX 78209",27
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
014000,"ALLEN, T. M.","Corpus Chrsti, TX 78413",
014120,"ALLERKAMP, ERNEST E.","Cotulla, TX 78014",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018883,AMERICAN PATRIOT OPERATING CORP.,"Highland, IL 62249",
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020508,"AMSYS ENERGY, LLC.","Houston, TX 77074",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
029585,ARENA OIL & GAS COMPANY,"Tyler, TX 75713",
033060,"ARPEL, INC.","Oklahoma City, OK 73102",
034195,"ASHBY, ANDREW M.","Golden, CO 80401",
034240,ASHER PETROLEUM CORP.,"Dallas, TX 75214",
034241,ASHER RESOURCES,"Boerne, TX 78006",
035450,ASPEN SERVICES,"Dallas, TX 75201",
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
037875,AV-TECH RESOURCES CORPORATION,"Kerrville, TX 78028",
041526,B-S OIL & GAS,"George West, TX 78022",
043200,"BAILEY, D. E. PRODUCTION CO.","Friendswood, TX 77546",
101093,"Bandera Eagle Ford, LLC","Fort Worth, TX 76107",2
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054600,BASIN RESOURCES CORPORATION,"Dallas, TX 75230",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056383,"BATTLECAT OPERATING COMPANY, LLC","Midland, TX 79708",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058833,BAYSHORE EXPLORATION LLC,"Bellville, TX 77418",
101444,"Baytex Energy USA, Inc.","Houston, TX 77084",531
059037,"BEACHTEX OIL COMPANY, LLC","San Antonio, TX 78257",
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
040794,BHEC CORPORATION,"Giddings, TX 78942",
068596,BHP BILLITON PET(TXLA OP) CO,"Denver, CO 80202",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
072671,"BLACK GOLD OPERATING CO, LLC","Plntersville, TX 77363",12
072644,"BLACK GOLD OPERATING CO., INC.","San Antonio, TX 78209",
073027,"BLACKBRUSH O & G, INC.","San Antonio, TX 78258",
073059,"BLACKBRUSH O & G, LLC","San Antonio, TX 78259",159
