Operator Number,Operator Name,Location,Leases
100936,"1789 Management, LLC","Houston, TX 77024",83
000151,A A PRODUCTION INC.,"Midland, TX 79701",
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",
001641,ABER OIL & GAS CO.,"Tyler, TX 75702",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003735,ADA BELLE OIL & GAS COMPANY,"Sourlake, TX 77659",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008390,ADOBE OIL CO.,"Unknown, XX 99999",
000834,"AEON OPERATING, INC.","Fate, TX 75132",
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",262
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",
017750,AMERICAN AQUILA,"Longview, TX 75601",
018890,"AMERICAN PENN ENERGY, INC.","Canada, 00100",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
022275,"ANDERSON, JAMES K. INC.","Abilene, TX 79608",2
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028625,APPROACH OPERATING LLC,"Fort Worth, TX 76116",
030125,ARIES OIL CORP.,"Dallas, TX 75219",
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",12
033524,"ARROWHEAD PETROLEUM, L.L.C.","Rockport, TX 78382",
034241,ASHER RESOURCES,"Boerne, TX 78006",
036103,ATKINSON ENERGY CORPORATION,"Giddings, TX 78942",
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
053305,"BARRON, C. P.","Tyler, TX 75702",
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",74
068157,BERRY OIL COMP.,"Houston, TX 77002",
068140,"BERRY OIL COMPANY, LLC","Bakersfield, CA 93311",
068159,"BERRY PETROLEUM COMPANY, LLC","Bakersfield, CA 93311",
068154,"BERRY,PHILIP B.OPERATING CO.INC.","Tyler, TX 75710",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
068580,BHB OPERATING INC.,"Fort Worth, TX 76137",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",
072704,"BLACK JACK SERVICES, L.L.C.","Bastrop, TX 78602",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
076393,"BLOW, J. B. & ROWAN, AL","Tyler, TX 75702",
076395,"BLUCO PRODUCTION CO., INC.","Austin, TX 78716",3
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",9
088665,"BRANNON OIL & GAS, INC.","Fort Worth, TX 76102",
088670,"BRANNON, M. J.","Fort Worth, TX 76110",
089959,"BRAZOS RESOURCES, INC.","College Sta, TX 77840",
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
093422,"BRINKLEY, GREG D.","Justin, TX 76247",
097324,BROOKS PETROLEUM INC,"Kilgore, TX 75663",
101390,BROWN OIL & GAS CO.,"Mexia, TX 76667",18
098194,"BROWN, C. L. INC.","Corsicana, TX 75110",
098195,"BROWN, C. L., III","Corsicana, TX 75151",
099980,"BROWN, GEORGE R. PARTNERSHIP,THE","Houston, TX 77002",
100521,"BROWN, J. BURNS OPERATING CO.","Havre, MT 59501",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
104150,"BRUNO, EARL R.","Kerrville, TX 78029",
104795,BRYANT - CHASE ENERGY CORP.,"Tyler, TX 75701",
121212,"C6 OPERATING, L.L.C.","Keatchie, LA 71046",11
128561,"CAMPBELL, WARD D.","Huntsville, TX 77340",
131880,"CARL, W. E.","Corpus Chrsti, TX 78471",
131980,CARLESS RESOURCES (TEXAS) INC.,"Cambridge, OH 43725",
140580,"CAWTHON, KELLY S.","Shreveport, LA 71101",
140525,"CBMONCRIEF OPERATING, LLC","Fort Worth, TX 76102",10
120027,CCI GULF COAST UPSTREAM LLC,"Teague, TX 75860",
120043,CD CONSULTING & OPERATING CO.,"Bridgeport, TX 76426",9
141975,CEMCO OIL,"Corsicana, TX 75110",10
142195,"CH4 ENERGY II, LLC","Fort Worth, TX 76109",
142193,"CH4 ENERGY SIX, LLC","Fort Worth, TX 76107",1
142211,"CH4 ENERGY, LLC","Fort Worth, TX 76102",
146678,"CHASE ENERGY, INC.","Austin, TX 78763",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148990,"CHINA STAR OIL CO., LLC","Woodway, TX 76712",
154789,CL&F OPERATING LLC,"Spring, TX 77389",
158927,"CLAY EXPLORATION, INC.","Spring, TX 77387",
160060,"CLEMENTS ENERGY, INC.","Vancouver, WA 98662",
160927,CLIFTON-TEER OIL & GAS LLC,"Grapevine, TX 76051",
168775,"COLLUM, JIM & PRICE, J. P.","Tyler, TX 75702",
169792,"COMPADRE RESOURCES, LLC","Houston, TX 77056",
170054,"COMSTOCK OIL & GAS, INC.","Frisco, TX 75034",
170038,"COMSTOCK OIL & GAS, LLC","Frisco, TX 75034",720
170040,"COMSTOCK OIL & GAS, LP","Frisco, TX 75034",
170440,CONDOR ENERGY CORPORATION,"Tyler, TX 75710",
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",119
172735,"CONSOLIDATED OIL & GAS, INC","Wichita, KS 67202",
172740,"CONSOLIDATED OIL & GAS, INC.","Denver, CO 80202",
174700,COOLIDGE ENERGY CORPORATION,"Rockport, TX 78382",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
186717,CRATON OPERATING LLC,"Bellaire, TX 77401",146
189405,"CRESCENT PASS ENERGY, LLC","Houston, TX 77070",74
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
191250,"CROW, DAVID","Shreveport, LA 71106",
194068,CULVER & CAIN PRODUCTION LLC,"Tyler, TX 75711",30
196153,"D & G PETROLEUM, INC.","Shreveport, LA 71134",
197634,DALEN RESOURCES OIL & GAS CO.,"Dallas, TX 75206",
197650,"DALLAS EXPLORATION, INC.","Dallas, TX 75206",
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",
208925,"DEAR MINERALS, INC.","Houston, TX 77036",
213350,DELTA DRILLING CO.,"Kilgore, TX 75662",
216730,"DEVON ENERGY OPERATING CO., L.P.","Oklahoma City, OK 73102",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
220903,DIVERSIFIED PRODUCTION LLC,"Keithville, LA 71047",3044
221650,DOAN OIL COMPANY,"Dallas, TX 75240",
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",
227672,"DOWNS OPERATING COMPANY, LLC","Shreveport, LA 71101",
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",
230765,DUKE GAS CORPORATION,"Houston, TX 77055",
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",76
238699,"EARTHSTONE ENERGY, INC.","Tyler, TX 75702",
238958,EAST TEXAS CRUDE OIL CORPORATION,"Tyler, TX 75701",
238981,EAST TEXAS PRODUCTION MGT. INC,"Athens, TX 75751",
243195,"EDF TRADING RESOURCES, LLC","Austin, TX 78746",
238527,EEX CORPORATION,"Houston, TX 77060",
251691,ENCANA OIL & GAS(USA) INC.,"Denver, CO 80202",
251739,"ENCRESCENT, LLC","Dallas, TX 75205",3
251879,"ENERGY ARROW EXPLORATION, LLC","Houston, TX 77002",
252017,ENERGY TRANSFER COMPANY,"Houston, TX 77002",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253296,ENSIGN OPERATING CO.,"Denver, CO 80202",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253346,"ERGON EXPLORATION, INC.","Monroe, LA 71207",
254244,"ESCONDIDO PETROLEUM COMPANY, INC","Houston, TX 77063",7
254450,ESTATE OIL & GAS CORP.,"Dallas, TX 75206",
257716,FAIR ENERGY,"Tyler, TX 75710",
258400,FAIR OIL COMPANY,"Tyler, TX 75710",
265592,"FENDER, HARRIS R.","Tyler, TX 75710",
268602,"FINLEY RESOURCES, INC.","Fort Worth, TX 76113",17
278563,FORTSON OIL COMPANY,"Fort Worth, TX 76102",
278780,"FORUM EXPLORATION CO., L.P.","Tyler, TX 75710",
287650,"FROST, JACK","Mount Calm, TX 76673",
292236,"G.I.F. OPERATING COMPANY, LLC","Montgomery, TX 77356",
293089,"GAINCO, INC.","Portland, TX 78374",
300237,GEO LOGIC ENVIRONMENTAL SRVCS LC,"Kilgore, TX 75663",
300380,"GEOCHEM ASSOCIATES, L.L.C.","Houston, TX 77043",
300405,GEODOMINION PETROLEUM,"Corpus Chrsti, TX 78403",
315108,GOODRICH OIL COMPANY,"Shreveport, LA 71101",
314909,GOODRICH PETROLEUM COMPANY,"Houston, TX 77002",
319525,GRACE PETROLEUM CORP.,"Tulsa, OK 74103",
337145,"GUEDRY, MARK","Riverside, TX 77367",
342755,"HAGENS, R. C.","Corpus Chrsti, TX 78476",
344251,"HALBOUTY, MICHEL T. ENERGY CO.","Houston, TX 77056",
353310,"HANCOCK, GUY","Coolidge, TX 76635",
357165,HARLETON OIL & GAS INC.,"Tyler, TX 75710",72
358820,"HARPER, WAYNE","Dallas, TX 75206",
368730,HAYES OPERATIONS,"Lott, TX 76656",
369019,HAYNIE ENERGY SERVICES LLC,"Wortham, TX 76693",
340176,HCM,"Dallas, TX 75206",
370457,"HEARTLAND RESOURCES, INC.","Temple, TX 76501",
373926,HELMER EXPLORATION & STANTON ENG,"Tyler, TX 75702",
379750,"HERD PRODUCING COMPANY, INC.","Tyler, TX 75711",
383321,HGD,"Midland, TX 79707",
385795,"HIGHLAND RESOURCES, INC.","Houston, TX 77002",
385796,HIGHLAND RESOURCES-G. R. BROWN,"Houston, TX 77002",
386310,HILCORP ENERGY COMPANY,"Houston, TX 77208",5939
388470,"HILLCREST PRODUCTION CO., INC.","Dallas, TX 75231",
390100,HINTON PRODUCTION COMPANY,"MT Pleasant, TX 75455",
396825,"HOMBRE OIL CO., LTD.","Tyler, TX 75713",
397141,"HONDO OPERATING, INC.","Fort Worth, TX 76164",
412175,HUGOTON ENERGY CORPORATION,"Oklahoma City, OK 73113",
421221,"HYDREX OPERATING, INC.","New Braunfels, TX 78131",
422898,"IMAGERY EXPLORATION, INC.","Dallas, TX 75380",2
424609,INLAND OIL AND GAS,"Nacogdoches, TX 75961",
424830,INTERCONTINENTAL PRODUCTION CO.,"Dallas, TX 75248",
425810,IPACT,"Austin, TX 78734",
426635,IRONWOOD OIL & GAS LLC,"Houston, TX 77067",
429874,JANUS EXPLORATION COMPANY,"Bossier City, LA 71171",
437840,"JOHNSON, RANDEE B.","China Spring, TX 76633",
443310,"JONES-OBRIEN, INC.","Shreveport, LA 71105",
446465,JORDAN OIL & GAS CO.,"Santa Rosa, CA 95402",
447780,"JOSEY, LENOIR M., INC.","Houston, TX 77019",
450205,KAISER OIL (U S) LTD.,"Houston, TX 77008",
450634,"KANEB EXPLORATION, INC.","Dallas, TX 75265",
452709,"KCS RESOURCES, INC.","Houston, TX 77002",
455073,"KELT OIL & GAS, INC.","Torrance, CA 90503",
458700,KEY PRODUCTION CO.,"Longview, TX 75606",
458573,"KEY PRODUCTION COMPANY, INC.","Longview, TX 75606",
467250,"KINGWOOD ENERGY, INC.","Houston, TX 77042",
480842,"LACE OPERATING, INC.","Tioga, TX 76271",
487640,LASMO ENERGY CORPORATION,"Houston, TX 77010",
495445,LEGACY RESERVES OPERATING LP,"Denver, CO 80201",
495690,"LEHNERTZ, G. M.","Tyler, TX 75702",
495689,"LEHNERTZ-FAULKNER, INC.","Tyler, TX 75701",
500841,LINCOLN OIL & GAS,"West Monroe, LA 71291",
501545,"LINN OPERATING, INC.","Houston, TX 77002",
501480,"LINN OPERATING, LLC","Houston, TX 77002",
504913,LOCKLIN OIL COMPANY,"Tyler, TX 75711",
100710,"Lodestone Operating, Inc.","Portland, TX 78374",26
512305,LUKE GAS CORPORATION,"Groesbeck, TX 76642",
512777,LUMINANT MINING COMPANY LLC,"Irving, TX 75039",
517480,LYTLE & PHILLIPS,"Mexia, TX 76667",
518265,"M. E. OPERATING & SERVICES, INC.","Fort Worth, TX 76104",25
521540,"MAGNUM RESERVES, INC","Kingwood, TX 77325",
521532,MAGNUM-ERGON,"Monroe, LA 71201",
525380,MARATHON OIL COMPANY,"Houston, TX 77024",
528506,"MARTIN FOREE OPERATING II, LLC","Royse City, TX 75189",1
528512,"MARTIN FOREE OPERATING, LLC","Royse City, TX 75189",
529401,"MARTIN, D. OIL & GAS","Corsicana, TX 75110",
541933,MCCORMICK OPERATING COMPANY,"Houston, TX 77210",
556554,MEANS OIL CO.,"Corsicana, TX 75110",
556558,"MEANS, FRANK L.","Corsicana, TX 75110",
558767,MEDICINE BOW OPERATING COMPANY,"Houston, TX 77002",
561805,MESA PETROLEUM CO.,"Amarillo, TX 79189",
562565,"MEXIA GAS COMPANY, INC.","Mexia, TX 76667",
565905,MIDPAR L.P.,"Midland, TX 79702",
566650,MIERS BROTHERS OIL & GAS CO.,"Odessa, TX 79762",
566700,"MIERS, L. E.","Marlin, TX 76661",
567747,"MILLER ENERGY, INC.","Houston, TX 77024",
567501,"MILLER, B. H. OIL CO.","Corsicana, TX 75110",
567502,"MILLER, B.H. OIL & MARTIN,D. OIL","Corsicana, TX 75110",
570653,MITCHELL ENERGY COMPANY L.P.,"Spring, TX 77387",
570655,MITCHELL ENERGY CORPORATION,"Houston, TX 77002",
571980,"MKW EXPLORATION, INC.","Dallas, TX 75240",
518529,"ML RESOURCES, INC.","Dallas, TX 75240",
518560,"MM CHINA STAR OIL CO., LLC","Woodway, TX 76712",1
572730,"MOBLEY, O. B.","Shreveport, LA 71163",
574775,"MONCRIEF, C. B.","Fort Worth, TX 76102",
575000,"MONCRIEF, W. A., JR.","Fort Worth, TX 76102",
100614,"Montex Drilling Company, LLC","Fort Worth, TX 76102",5
589985,MOSBACHER PRODUCTION CO.,"Houston, TX 77002",
589990,"MOSBACHER, ROBERT","Houston, TX 77002",
594000,MURJO OIL & ROYALTY COMPANY,"Fort Worth, TX 76121",
596875,"MUSTANG DRILLING, LTD.","Henderson, TX 75653",
598930,NADEL & GUSSMAN,"Tulsa, OK 74103",
598935,"NADEL AND GUSSMAN, L.L.C.","Tulsa, OK 74103",2
602940,"NEFF, CROZIER & COMPANY, INC.","Tyler, TX 75702",
602945,"NEFF, HAROLD & ASSOCIATES, INC.","Tyler, TX 75702",
606487,"NEW HORIZON GLOBAL, INC.","Houston, TX 77084",
606108,NEW VOYAGE ENTERPRISES LLC,"San Antonio, TX 78278",
613760,NORTH CENTRAL OIL CORP.,"Houston, TX 77252",
614589,NORTHLAND OPERATING COMPANY,"Dallas, TX 75240",
