Operator Number,Operator Name,Location,Leases
002987,"ABLEREADY, INC.","Houston, TX 77269",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
020435,AMOCO PRODUCTION CO.-LEVELLAND,"Brownfield, TX 79316",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
054820,BASS OPERATING COMPANY,"Breckenridge, TX 76424",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
075355,BLANKS ENERGY CORPORATION,"Midland, TX 79702",
077566,BNK PETROLEUM (US) INC.,"Camarillo, CA 93010",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
139646,"CASTLE EXPLORATION COMPANY, INC","Blue Bell, PA 19422",
142450,"CHALMERS OPERATING CO., INC.","Abilene, TX 79601",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
166200,"COGDELL OIL COMPANY, INC.","Lubbock, TX 79416",
170513,CONDOR PETROLEUM COMPANY,"Houston, TX 77052",
185980,"COX, JOHN L.","Midland, TX 79702",
189960,"CREW ENERGY U.S.A., INC.","Clyde, TX 79510",
213559,"DELTA EXPLORATION COMPANY, INC.","Denver, CO 80202",
229319,"DRY FORK PRODUCTION CO., LLC","Wichita Falls, TX 76307",30
237926,"DYNAMIC PRODUCTION, INC.","Fort Worth, TX 76106",11
251726,ENDEAVOR ENERGY RESOURCES L.P.,"Midland, TX 79701",1182
251980,"ENERGY RESERVES GROUP, INC.","Houston, TX 77067",
253080,ENRE CORP.,"San Antonio, TX 78209",
254263,ESCO OIL OPERATING COMPANY LLC,"Houston, TX 77056",23
256984,EXMOOR OIL & MINERALS CORP.,"Dallas, TX 75225",
261803,"FARLEY, BILLIE, RECEIVER","Turkey, TX 79261",
278563,FORTSON OIL COMPANY,"Fort Worth, TX 76102",
300802,"GEOMARK RESOURCES, L.L.C.","Lubbock, TX 79453",1
306520,GILMORE OIL & GAS,"Houston, TX 77002",
331928,"GREGCO, INC.","Paducah, TX 79248",
334200,"GRIMM, JACK F.","Abilene, TX 79604",
334216,"GRIMM, JACK F. & HUNT, N. B.","Abilene, TX 79604",
338095,GULF ENERGY PRODUCING COMPANY,"San Antonio, TX 78216",
338130,GULF OIL CORP.,"Houston, TX 77252",
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",57
348525,HAMILTON BROTHERS,"Plainview, TX 79073",
348565,HAMILTON ENERGY INC,"Lubbock, TX 79401",
390898,"HOFCO, INC.","Abilene, TX 79604",
473700,KOCH EXPL.CO.DIV.OF KOCH IND.INC,"Wichita, KS 67201",
483889,LALOC,"Aspermont, TX 79502",3
532989,"MATADOR OPERATING, LLC","Lubbock, TX 79413",
536740,MAYNARD OIL CO.,"Denver, CO 80202",
545300,"MCDANIEL COMPANY, INC., THE","Dallas, TX 75230",4
565589,"MIDLAND OIL AND GAS, INC.","Midland, TX 79705",11
574324,"MOMENTUM OPERATING CO., INC.","Albany, TX 76430",66
631498,P. L. O.,"Boerne, TX 78006",
643730,"PATTON EXPLORATION, INC.","Abilene, TX 79604",12
643525,"PATTON, E. N. OIL COMPANY, INC.","Abilene, TX 79604",13
