Operator Number,Operator Name,Location,Leases
954800,2-K OPERATING,"Corsicana, TX 75109",
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
000160,"A W B OIL CO., INC.","Corsicana, TX 75151",
003399,"ACCIDIE EXPLORATION AND DEV.,INC","Plano, TX 75023",
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",10
003673,"ACTIVA RESOURCES, LTD.","San Antonio, TX 78205",
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",
003973,ADAIR TRANSPORT COMPANY,"Corsicana, TX 75151",
008460,"ADOLPHUS PETROLEUM, INC.","Dallas, TX 75251",
009770,"ALADDIN ENERGY, INC.","Richardson, TX 75080",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
012205,"ALEXANDER, J. GLENN","Lufkin, TX 75901",
013235,ALL AMERICAN OIL/GAS/ENERGY CORP,"Corsicana, TX 75110",
013900,"ALLEN PETROLEUM, INC.","Terrell, TX 75160",
014164,ALLIANCE RESOURCES,"Dallas, TX 75248",
015106,ALPHA CENTAURI,"The Woodlands, TX 77380",
015115,ALPHA ENERGY OPERATING LLC,"Dallas, TX 75254",
015127,"ALPHA OIL & GAS, INC.","Temple, TX 76501",
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",
018014,"AMERICAN FOSSIL ENERGY, INC.","Dallas, TX 75231",
018034,"AMERICAN FOSSIL ENGY OPER CO,INC","Dallas, TX 75231",
019390,AMERICAN SOUTHWEST LAND & PET.,"Richardson, TX 75081",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020534,ANACONDA OIL & GAS,"Buffalo, TX 75831",
020580,ANARENE PRODUCTION CO. INC.,"Farmers BRNCH, TX 75234",
025507,ANGUS OIL & GAS CORP.,"Dallas, TX 75231",
026651,"ANTLER OIL & GAS, INC.","Houston, TX 77004",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028736,ARC ENERGY INC.,"Dallas, TX 75227",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030118,"ARIEL PETROLEUM, INC.","Corsicana, TX 75110",
030803,"ARKULES, BERNARD","Paradise Vly, AZ 85253",
034360,"ASHFORD, BOB R.","Grand Prairie, TX 75050",
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",36
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",20
101188,"Aunix Operating, LLC","Tomball, TX 77377",1
039676,AZTEC ENERGY CORPORATION,"San Antonio, TX 78209",
039750,"AZTECA PETROLEUM, LLC","Fort Worth, TX 76106",
039793,B & B OIL COMPANY,"Corsicana, TX 75110",
040608,B & J OIL COMPANY,"Corsicana, TX 75109",
041790,B & T OPERATING CO.,"Dawson, TX 76639",
040731,B. J. OIL CO. INC.,"Denver, CO 80202",
042445,BAEN LIMITED #1,"Dallas, TX 75201",
042449,"BAEN, JOHN SPENCER II","Addison, TX 75001",
042443,BAEN-MOORE OIL & GAS CO.,"Dallas, TX 75248",
043770,BAILEY OPERATING COMPANY,"Corsicana, TX 75110",
046960,"BAKER, WADE","Ruston, LA 71270",
