Operator Number,Operator Name,Location,Leases
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
000202,A & D EXPLORATION COMPANY,"Rockport, TX 78381",
002623,"ABI MANAGEMENT GROUP, INC.","Houston, TX 77036",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003399,"ACCIDIE EXPLORATION AND DEV.,INC","Plano, TX 75023",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008511,"ADVANTAGE OIL & GAS, INC.","Pinehurst, TX 77362",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
009795,ALAMO ENERGY,"San Antonio, TX 78232",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
013953,"ALLEN, MABEL F.","Corpus Chrsti, TX 78412",
014000,"ALLEN, T. M.","Corpus Chrsti, TX 78413",
014206,ALLIANCE RESOURCES LLC,"Midland, TX 79705",2
015645,ALSABROOK&EDWARDS OIL CO.,"Dallas, TX 75206",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
016565,AMAR CO.,"Orange Grove, TX 78372",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019786,AMERRIL ENERGY LLC,"Houston, TX 77042",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020419,AMOCO MINERALS COMPANY,"Englewood, CO 80155",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020785,"ANDERMAN, GEORGE G.","Denver, CO 80203",
020787,ANDERMAN/SMITH OPERATING COMPANY,"Tulsa, OK 74136",
022497,ANDERSON OIL CORPORATION,"Corpus Chrsti, TX 78403",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",
025690,ANTARES OIL CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028671,ARANSAS DRLG & WORKOVER CO INC,"Corpus Chrsti, TX 78409",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029585,ARENA OIL & GAS COMPANY,"Tyler, TX 75713",
030820,ARLEDGE PETROLEUM CORP.,"Weatherford, TX 76086",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033833,"ARXA INTERNATIONAL ENERGY, INC.","Gulfport, MS 39501",
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
000627,ASZTAL CORPORATION,"Corpus Chrsti, TX 78412",
035633,ATAPCO,"Houston, TX 77040",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036561,ATLANTIC RICHFIELD COMPANY,"Plano, TX 75094",
037047,"AUSTEX MANAGEMENT, INC.","Austin, TX 78718",
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039671,"AZMUTH PRODUCTION COMPANY, INC.","Corpus Chrsti, TX 78404",
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",
040190,"B D PRODUCTION CO., INC.","Corpus Chrsti, TX 78401",11
040829,B.N.B. PRODUCTION INC.,"Austin, TX 78720",
040797,B.P. PRODUCTIONS INC.,"Victoria, TX 77904",
047220,BALD OPERATING & EXPLORATION,"Corpus Chrsti, TX 78477",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
048940,"BARBEE & CO., INC.","Corpus Chrsti, TX 78413",
049150,"BARBER OIL EXPLORATION, INC.","Denver, CO 80201",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
053105,BARRETT BROTHERS OIL AND GAS,"San Antonio, TX 78217",
053327,"BARROW, WILLIAM R. INTERESTS","Houston, TX 77057",
054430,"BASIN OIL & GAS OPERATING, LLC","Fort Worth, TX 76107",110
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
100412,"Beaver Oil & Gas Operating, LLC","Austin, TX 78746",13
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",74
063265,"BELL, KELLY","Midland, TX 79701",
063269,"BELL, KELLY ESTATE OF","Midland, TX 79701",
063270,"BELL, KELLY INC.","Midland, TX 79701",
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
063744,"BELLOWS, DEWEY OPER. CO., LTD.","Refugio, TX 78377",
064230,"BENGAIL, INC","Del Rio, TX 78840",
066716,BEPCO OPERATING CO.,"Fort Worth, TX 76102",
067673,"BERNSEN, LEON","Robstown, TX 78380",
068250,"BERTRAM OIL COMPANY, INC.","Corpus Chrsti, TX 78475",
069160,"BIG ""6"" DRILLING COMPANY","Houston, TX 77063",
072523,"BISON ENERGY PARTNERS, INC.","Houston, TX 77060",
072519,"BISON ENERGY PARTNERS, LTD.","Houston, TX 77060",
074200,BLAIR-VREELAND,"Corpus Chrsti, TX 78403",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
076380,"BLOUNT PET., INC. & TEPCO ENG.","Alice, TX 78333",
082967,"BOPCO, L.P.","Midland, TX 79701",
083271,BOSS EXPL & PROD CORPORATION,"Dallas, TX 75201",
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
093125,BRIGHT & CO.,"The Colony, TX 75056",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
093620,"BRITANCO, L.L.C.","Falls City, TX 78113",36
095715,BROCK PETROLEUM CORPORATION,"Houston, TX 77002",
099980,"BROWN, GEORGE R. PARTNERSHIP,THE","Houston, TX 77002",
100530,"BROWN, J. R.","Houston, TX 77063",
103003,"BROWNING, LANDON","Brenham, TX 77833",
104965,BSE PRODUCTION CO.,"Victoria, TX 77903",
105035,BT OPERATING CO.,"Houston, TX 77057",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
108842,"BURKE, BRYAN N.","Corpus Chrsti, TX 78403",
108843,"BURKE, HARRY PETROLEUM","Houston, TX 77080",
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
118695,"BYERS, R.D.","Vernon, TX 76384",
120113,"C & B EXPLORATION, LLC","Fort Worth, TX 76179",
120079,"C & E OPERATING, INC.","Hockley, TX 77447",
120562,"C-K RESOURCES, INC.","Corpus Chrsti, TX 78473",
