Operator Number,Operator Name,Location,Leases
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",
101314,AK PEARSON FAMILY TRUST,"Amarillo, TX 79114",1
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016600,"AMAREX, INC.","Oklahoma City, OK 73101",
016802,"AMARILLO EXPLORATION, INC.","Dallas, TX 75360",26
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019510,AMERICAN STAR ENERGY & MIN. CORP,"Katy, TX 77449",
020445,AMOCO PRODUCTION CO.-ALVIN,"Sweeny, TX 77480",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020590,ANCHOR OIL COMPANY,"Gruver, TX 79040",2
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027465,"APEXCO, INC.*****","Tulsa, OK 74103",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
028990,"ARCHER, CARL M.","Spearman, TX 79081",
028992,"ARCHER, CARL M. FARMS, INC.","Gruver, TX 79040",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
035441,"ASPEN ENERGY GROUP, INC.","Santa Ynez, CA 93460",
036051,"ATHENA ENERGY, INC.","Gallatin, TN 37066",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
037878,AVALANCHE OIL & GAS LLC,"Kingfisher, OK 73750",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
040377,"B&E EXPLORATION, INC.","Perryton, TX 79070",
042418,BADGER OIL CORPORATION,"Lafayette, LA 70505",
047175,BALCONES PRODUCTION COMPANY,"Houston, TX 77002",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
040205,BCE-MACH II LLC,"Oklahoma City, OK 73134",246
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
100676,"BE Anadarko II, LLC","Austin, TX 78731",387
060100,BEARD OIL COMPANY,"Oklahoma City, OK 73102",
061100,BECK RESOURCES INCORPORATED,"Hennessey, OK 73742",
064370,BENN OIL & GAS,"Perryton, TX 79070",
066993,BERENERGY CORPORATION,"Denver, CO 80217",
068309,"BETA-TEX, AN OKLAHOMA CORP.","Oklahoma City, OK 73157",4
068426,BEVO PRODUCTION CO.,"Amarillo, TX 79101",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
068630,BHP PETROLEUM COMPANY INC.,"Houston, TX 77057",
072564,BISON PETROLEUM CORPORATION,"Amarillo, TX 79121",
072721,BLACK STONE ENERGY COMPANY,"Houston, TX 77002",
072716,"BLACK STONE ENERGY COMPANY, LLC","Houston, TX 77002",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
073176,"BLACKJACK OIL & GAS, INC.","Hennessey, OK 73742",
076762,BLUE DOLPHIN PRODUCTION LLC,"Oklahoma City, OK 73142",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
078055,"BOB WALLACE OIL,INC.********P-5","Borger, TX 79007",
078056,BOB-KAT OIL CO.,"Prairie Lea, TX 78661",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085485,BRACKEN ENERGY COMPANY,"Oklahoma City, OK 73118",
085490,BRACKEN EXPLORATION COMPANY,"Oklahoma City, OK 73118",
085851,"BRACKEN OPERATING, L.L.C.","Perryton, TX 79070",130
089885,"BRAVO NATURAL RESOURCES, INC.","Oklahoma City, OK 73154",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093342,"BRIGHTON ENERGY, L.L.C.","Tulsa, OK 74170",
093461,"BRISCOE OIL OPERATING CO., INC.","Kingfisher, OK 73750",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
095327,"BROCK HYDROCARBONS, INC.","New Orleans, LA 70112",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
109110,BURKHART PETROLEUM CORPORATION,"Tulsa, OK 74135",
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
122140,CACTUS OIL COMPANY,"Pampa, TX 79066",
125948,CALPINE NATURAL GAS COMPANY,"Houston, TX 77002",
125946,CALPINE NATURAL GAS COMPANY L.P.,"Houston, TX 77002",
125944,CALPINE NATURAL GAS L.P.,"Houston, TX 77002",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",
129932,CANYON EXPLORATION CO.,"Amarillo, TX 79105",
130545,CAPTUREPOINT LLC,"Allen, TX 75013",12
130852,CARDWELL OIL CORPORATION,"Midland, TX 79710",1
136042,CARSON BUCKLES EXPLORATION LLC,"Midland, TX 79710",9
143578,"CHAMPLIN EXPLORATION, INC.","Enid, OK 73702",
