Operator Number,Operator Name,Location,Leases
953629,2 R OPERATING CO.,"Paradise, TX 76073",
953632,"3 B ENTERPRISES, INC.","Gordon, TX 76453",1
953744,"3-R PRODUCTION, INC.","Jacksboro, TX 76458",
953506,"4W OPERATING, LLC","Breckenridge, TX 76424",5
988752,9K INVESTMENTS LLC,"Cisco, TX 76437",6
000156,"A.V.G. EXPLORATION, INC.","Grapevine, TX 76051",
003646,"ABX OIL & GAS, INC.","Dallas, TX 75240",
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",
007933,"ADKINS, MICHAEL H.","Austin, TX 78747",
009532,"AKERS & FULTZ, INC.","Graham, TX 76450",
009430,"AKERS, B. F.","Graham, TX 76450",6
011100,"ALBERT, DAVID OIL & GAS","Dallas, TX 75240",
011085,ALBERT-BISHOP EXPLORATION CO INC,"Dallas, TX 75240",
013250,"ALL GLORY BEE OIL,GAS&MIN. CORP.","Salt Lake Cty, UT 84124",
013940,ALLEN & RITCHIE,"Unknown, XX 99999",
015138,ALPINE PETROLEUM,"Abilene, TX 79608",
016905,AMCO ENERGY CORP.,"Farmers BRNCH, TX 75234",
016944,AMEN OIL LLC,"Graham, TX 76450",
018014,"AMERICAN FOSSIL ENERGY, INC.","Dallas, TX 75231",
018034,"AMERICAN FOSSIL ENGY OPER CO,INC","Dallas, TX 75231",
019739,"AMERICAN WEST RESOURCES, INC","Fort Worth, TX 76161",
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",20
019765,AMERITECH OIL & GAS CORPORATION,"Dallas, TX 75248",
022922,ANDERSON PRODUCTION,"Cisco, TX 76437",39
020920,"ANDERSON, CARL T.","Wichita Falls, TX 76301",
021802,"ANDERSON, E. D.","Cisco, TX 76437",
023865,"ANDO ENERGY, INC.","Graham, TX 76450",
025135,"ANDREWS OPERATING, INC.","Graham, TX 76450",
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",44
027897,"APPLE, NATHAN L.","Louisburg, KS 66053",
028673,AR-CAN PETROLEUM INC,"Graham, TX 76450",
028882,ARCHER PETROLEUM,"Frisco, TX 75034",
028910,"ARCHER, A. R., JR.","Bastrop, TX 78602",
030806,"ARLEDGE & YOUNG, INC.","Weatherford, TX 76086",
030815,ARLEDGE OIL & GAS CORPORATION,"Weatherford, TX 76086",
033012,"ARNOT OIL COMPANY, LLC","Breckenridge, TX 76424",40
033000,"ARNOT, W. G., JR.","Breckenridge, TX 76424",
033500,ARROWHEAD ENERGY CO.,"Fort Worth, TX 76185",
033523,"ARROWHEAD PRODUCTIONS, LP","Fort Worth, TX 76109",
035464,ASPECT ABUNDANT SHALE LP,"Denver, CO 80203",
035486,"ASSENT ENERGY PARTNERS, LLC","College Sta, TX 77840",25
036056,"ATHENA RESOURCES, INC.","Dallas, TX 75248",
036062,ATKINS PETROLEUM CORP.,"Austin, TX 78711",
036556,"ATLAS BARNETT, LLC","Fort Worth, TX 76102",
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",20
036637,ATTIS OPERATING INC.,"Borger, TX 79008",
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",
037045,"AUSTEX ENERGY CO, INC","Fort Worth, TX 76107",
037046,"AUSTEX ENERGY, INC.","Granbury, TX 76048",
037250,AUSTIN-PENCE EXPLORATION CO INC,"Fort Worth, TX 76102",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
041536,B. R. T. VENTURE,"Paducah, TX 79248",
040408,B.E.A.R. EXPLORATION COMPANY,"Dallas, TX 75240",
040409,"B.F.L., INC.","Sedalia, CO 80135",
014804,"B.O.L.D. OIL AND GAS, LLC","Graham, TX 76450",29
042315,BACA RESOURCES,"Fort Worth, TX 76101",
042398,BACON ENERGY,"Ranger, TX 76470",5
042442,BAGGETT EXPLORATION CO.,"Mineral Wells, TX 76067",
043658,"BAILEY, KEITH","Bryan, TX 77806",
044650,BAJA PRODUCTION,"Dallas, TX 75202",
046623,"BAKER OPERATING, INC.","Odessa, TX 79764",90
048163,BALL OIL FIELD SERVICE,"Eastland, TX 76448",
048164,BALL PRODUCING CO.,"Eastland, TX 76448",2
048367,"BANDERA PETROLEUM, INC.","Abilene, TX 79606",
048500,"BANKS, R. C.","Midland, TX 79702",
048529,BANNER,"Graham, TX 76450",
048555,BANTER EXPLORATION INC.,"Fort Worth, TX 76102",
048565,BARA CORPORATION,"Flower Mound, TX 75027",
049152,"BARBER, JAMES OPERATING","Hobbs, NM 88240",
053302,BARRON PETROLEUM LLC,"San Antonio, TX 78205",
054650,"BASIN, FRANKE EXPLORATION CO INC","Tulsa, OK 74110",
058888,"BC ENERGY & EXPLORATION, INC.","Graham, TX 76450",
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",
063477,BELL OPERATING COMPANY,"Wichita Falls, TX 76308",
062786,"BELL PRODUCTION,INC.","Burleson, TX 76028",
063400,"BELL, O. M.","Merkel, TX 79536",
067301,BERING GAS PROCESS INC.,"Graham, TX 76450",
067445,BERING PRODUCTION,"Graham, TX 76450",
068144,BERRY ENERGY COMPANIES,"Abilene, TX 79608",
068287,"BEST PETROLEUM EXPLORATIONS,INC.","Jacksboro, TX 76458",26
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068400,"BETTIS, STREET & STOVALL, INC.","Graham, TX 76450",
068493,"BFT OPERATING, L.L.C.","Graham, TX 76450",
069174,BIG C OIL CO.,"Wichita Falls, TX 76310",
070442,BIG STAR EXPLORATION,"Fort Worth, TX 76121",12
071449,BIRDWELL OIL & GAS,"Palo Pinto, TX 76484",
072557,"BIVINS, ORVILLE J. JR.","Jacksboro, TX 76458",
072511,BJB TRANSPORT LLC,"Woodson, TX 76491",
072506,BLACK BANDANA LLC,"Santo, TX 76472",1
102442,BLACKBIRD R 22 OG L.L.C.,"Eastland, TX 76448",14
076765,"BLUE OIL, INC.","Burnet, TX 78611",
102613,Bluestem Resources LLC,"Graham, TX 76450",16
082551,BONZORELLA ENERGY,"Fort Worth, TX 76108",
082968,"BOOTSTRAP EXPLORATION, INC.","Aledo, TX 76008",
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",28
083030,BORDERLINE PRODUCTION,"Bryson, TX 76427",
