Operator Number,Operator Name,Location,Leases
953627,20TH CENTURY PIPE & EQUIP.CO.INC,"Midland, TX 79702",
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
953558,3N OILFIELD SERVICES LLC,"Odessa, TX 79760",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
000918,"ABARTA OIL & GAS CO., INC.","Pittsburgh, PA 15238",
003589,"ACME ENERGY SERVICES, INC.","Midland, TX 79701",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008493,"ADVENTURE EXPLORATION PTRS, LLC","Midland, TX 79702",
008483,"ADVENTURE OPERATING COMPANY, LLC","Midland, TX 79702",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016600,"AMAREX, INC.","Oklahoma City, OK 73101",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",
017996,"AMERICAN ENERGY-PERM BASIN, LLC","Oklahoma City, OK 73113",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
025384,ANEGADA RESOURCES,"Kerrville, TX 78029",
026415,"ANTHONY, BOB G. INC.","Brookhaven, MS 39601",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027213,APACHE ENERGY RESOURCES CORP.,"Houston, TX 77056",
028618,"AQUA TERRA PERMIAN, LLC","Houston, TX 77056",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
