Operator Number,Operator Name,Location,Leases
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
953768,"38 OIL & GAS, L.L.C.","Fullerton, CA 92834",
953700,"7HF OIL CO., LTD.","Refugio, TX 78377",
000133,A T M CORPORATION,"Mathis, TX 78368",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003593,ACOCK ENG & SHOREHAM OIL & GAS,"Corpus Chrsti, TX 78404",
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
010070,ALAMO PET. CO.,"Houston, TX 77042",
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",48
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",
018046,"AMERICAN ENERGY PARTNERS, INC.","Boerne, TX 78006",
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",1
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",20
019930,"AMHERST EXPLORATION CO., INC.","Arlington, TX 76016",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020569,"ANAQUA OIL & GAS, INC.","Corpus Chrsti, TX 78401",
022497,ANDERSON OIL CORPORATION,"Corpus Chrsti, TX 78403",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
022953,"ANDERSON, STEVEN C.","Victoria, TX 77902",
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",
028671,ARANSAS DRLG & WORKOVER CO INC,"Corpus Chrsti, TX 78409",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",
034500,"ASHLAND OIL, INC.","Lexington, KY 40512",
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036623,"ATURA INTERNATIONAL, INC.","Houston, TX 77219",
036642,ATWOOD EXPLORATION COMPANY,"Houston, TX 77057",
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
041395,B.N.B. PRODUCTION,"Corpus Chrsti, TX 78403",
040829,B.N.B. PRODUCTION INC.,"Austin, TX 78720",
042761,"BAGNALL & BARBER, INC.","Victoria, TX 77901",
048379,BANDERA EXPLORATION COMPANY,"Dallas, TX 75225",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058858,"BAYOU COMPANY, THE","Refugio, TX 78377",
058867,BAYSIDE PETROLEUM CORP.,"San Antonio, TX 78217",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
060049,"BEARD ENERGY GROUP, INC.","Houston, TX 77092",
061372,"BECKHAM RESOURCES, INC.","Houston, TX 77010",
062680,BELCO PETROLEUM CORPORATION,"Midland, TX 79702",
063265,"BELL, KELLY","Midland, TX 79701",
063270,"BELL, KELLY INC.","Midland, TX 79701",
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
063744,"BELLOWS, DEWEY OPER. CO., LTD.","Refugio, TX 78377",
100398,"BENT WING ENERGY, LLC","Austin, TX 78746",11
040376,"BES, ENVIRONMENTAL SERVICES,INC.","Kingsville, TX 78364",
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",
076380,"BLOUNT PET., INC. & TEPCO ENG.","Alice, TX 78333",
076791,"BLUE WING ENERGY, INC.","Portland, TX 78374",1
085370,BP PROD. CORP.,"Richardson, TX 75083",
088575,"BRAMAN, D. H.","Victoria, TX 77901",
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",
089927,BRAYTON OIL CORP.,"Corpus Chrsti, TX 78476",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",
