Operator Number,Operator Name,Location,Leases
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
953764,"4 E OPERATING, INC.","Jefferson, TX 75657",
955005,4-SIGHT OPERATING COMPANY,"Kilgore, TX 75663",
403077,"4-SIGHT OPERATING COMPANY, LTD.","Kilgore, TX 75663",39
955014,49.6 CORP.,"Austin, TX 78759",
953760,4R OIL COMPANY,"Tyler, TX 75703",
953761,5R OIL COMPANY,"Tyler, TX 75703",
000351,A J A COMPANIES,"Tyler, TX 75703",
000118,AAA OIL TRUST,"Weatherford, TX 76088",
002000,"ABERCROMBIE, J.S., MIN. CO.,INC.","Houston, TX 77227",
002987,"ABLEREADY, INC.","Houston, TX 77269",
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
003399,"ACCIDIE EXPLORATION AND DEV.,INC","Plano, TX 75023",
003577,ACIREMA CORPORATION,"Longview, TX 75608",
007788,ADAMSON EXPLORATION CO.,"Kilgore, TX 75662",4
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",
007945,"ADKINSON, B. J.","White Oak, TX 75693",
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010070,ALAMO PET. CO.,"Houston, TX 77042",
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
015719,ALTA VISTA ENERGY LLC,"Kilgore, TX 75663",
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018870,AMERICAN OPERATING COMPANY,"Kilgore, TX 75663",
018883,AMERICAN PATRIOT OPERATING CORP.,"Highland, IL 62249",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
020579,"ANATOLE EXPLORATION, INC.","Longview, TX 75608",
020845,"ANDERSON, ARNOLD","Arlington, TX 76012",
024126,"ANDREW ALAN EXPLORATION, INC.","Kilgore, TX 75663",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
029327,ARCHON RESOURCES LLC,"Houston, TX 77074",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
029370,ARCOOIL CORP,"San Antonio, TX 78205",
029588,"ARENA RESOURCES, L. L. C.","Longview, TX 75608",
029720,ARGENT PETROLEUM CORPORATION,"Center, TX 75935",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
030520,"ARK-LA-TEX ENERGY PARTNERS, LLC","Shreveport, LA 71101",
030584,"ARK-LA-TEX ENERGY, L.L.C.","Shreveport, LA 71101",28
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",
031587,ARMOR RESOURCES LLC,"Longview, TX 75604",
032623,"ARNOLD ENERGY ENTERPRISES, INC.","Longview, TX 75604",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
033290,"ARROW ROCK ENERGY, LLC","Houston, TX 77079",
033845,"ASA OIL & GAS, INC.","Brady, TX 76825",
033895,"ASCEND OIL & GAS, L.L.C.","Kilgore, TX 75663",
033905,"ASCENT OPERATING, LP","Plano, TX 75093",
034227,"ASHCO PRODUCTION, INC.","New London, TX 75682",
034241,ASHER RESOURCES,"Boerne, TX 78006",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",36
037046,"AUSTEX ENERGY, INC.","Granbury, TX 76048",
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",
039461,"AXTEL ENERGY, INC.","Richardson, TX 75080",
039791,"B & B OIL, INC.","Kerrville, TX 78028",
040765,"B & N PETROLEUM, INC.","Longview, TX 75606",
041529,B & S PRODUCTION,"Kilgore, TX 75663",
040792,"B M ENERGY, INC.","Hennessey, OK 73742",
040607,B&L OPERATING CO.,"Price, TX 75687",
042245,BABCO OPERATING,"Kilgore, TX 75662",
042327,"BACHTELL OIL & GAS, LTD.","Longview, TX 75605",11
042326,"BACHTELL, CHARLES RAY","Longview, TX 75605",
042410,"BADGER ENERGY, INC.","Austin, TX 78714",
042860,BAHR OIL & GAS,"Shalimar, FL 32579",4
048539,BANNER OIL & GAS LLC,"Oklahoma City, OK 73159",
049125,"BARBER, B. S.","Kilgore, TX 75662",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054490,BASIN OPERATING CO. LTD.,"Tyler, TX 75703",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
061544,"BECKVILLE DISP OPERATIONS, LLC","Henderson, TX 75652",
061700,"BEE LINE WELL SERVICE, INC.","Kilgore, TX 75663",
061763,BEEM OIL & GAS COMPANY,"The Woodlands, TX 77380",
062783,BELL & KINLEY COMPANY,"Piedmont, OK 73078",
063477,BELL OPERATING COMPANY,"Wichita Falls, TX 76308",
101019,"Below Ground Level, LLC","Sand Springs, OK 74063",1
066819,"BEREN, J. CO.","Dallas, TX 75201",
066990,BEREN-JAFFE CO.,"Dallas, TX 75230",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
070737,BIGFOOT ENERGY SERVICES LLC,"Carthage, TX 75633",
072533,BKM PRODUCTION,"Gainesville, TX 76240",126
072613,"BLACK DIAMOND OPERATING CO., LLC","Kilgore, TX 75662",
075784,"BLOCK ""T"" PETROLEUM, INC.","Tyler, TX 75707",59
075787,"BLOCK T OPERATING, LLC","Dallas, TX 75201",
076754,BLUE MOON,"Kilgore, TX 75663",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
077620,BOASE OIL CO.,"Kilgore, TX 75662",
078407,"BOGDANICH, JOHN P.","Kilgore, TX 75663",
084097,"BOWLES ENERGY, INC.","Longview, TX 75601",42
084099,"BOWLES PROPERTIES, INC.","Longview, TX 75606",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085408,BPX OPERATING COMPANY,"Denver, CO 80202",1191
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",9
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",33
088620,"BRANDON ENERGY, INC.","Bullard, TX 75757",
089452,BRANTA PRODUCTION COMPANY LLC,"The Woodlands, TX 77380",
089601,"BRASHEAR PRODUCTION SERVICE, INC","Longview, TX 75602",
089565,"BRASHEAR, C. A.","Longview, TX 75606",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
090881,BRIAN ENERGY,"Kilgore, TX 75663",
197180,"BROTHERS OIL & EQUIPMENT, INC.","Kilgore, TX 75663",
097478,BROTHERS PRODUCTION COMPANY INC.,"Midland, TX 79708",
097476,"BROTHERS RESOURCES, INC.","Marshall, TX 75671",
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",13
100521,"BROWN, J. BURNS OPERATING CO.","Havre, MT 59501",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
104275,"BRYAN, W. M.","Kilgore, TX 75662",
105157,BUCCANEER OPERATING LLC,"Kilgore, TX 75663",9
102367,BUCKHORN OPERATING LLC,"MT Enterprise, TX 75681",183
