Operator Number,Operator Name,Location,Leases
000555,"A.O.E. OPERATORS, INC.","Fulshear, TX 77441",
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
008474,ADVANTEK SHELBY COUNTY LLC,"Houston, TX 77042",
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",262
008726,AGP OIL LLC,"Kilgore, TX 75663",
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
013645,"ALLEN, DENNY OPERATING COMPANY","Midland, TX 79701",
018874,AMERICAN OPERATING COMPANY (A),"Dallas, TX 75244",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020579,"ANATOLE EXPLORATION, INC.","Longview, TX 75608",
022497,ANDERSON OIL CORPORATION,"Corpus Chrsti, TX 78403",
025637,ANR PRODUCTION COMPANY,"Houston, TX 77046",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",
034227,"ASHCO PRODUCTION, INC.","New London, TX 75682",
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",20
041152,B & R OIL & GAS COMPANY,"Kilgore, TX 75663",
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
058893,"BC OPERATING, INC.","Midland, TX 79710",
060100,BEARD OIL COMPANY,"Oklahoma City, OK 73102",
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",74
069438,BIG HICKORY PRODUCTION CO.,"Dallas, TX 75244",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
070844,"BILL HILL OIL & GAS, INC.","Kilgore, TX 75663",
075728,BLEVCO ENERGY INC.,"Lufkin, TX 75901",
076781,"BLUE RIDGE GROUP, INC.","Bowling Green, KY 42101",
084097,"BOWLES ENERGY, INC.","Longview, TX 75601",42
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085408,BPX OPERATING COMPANY,"Denver, CO 80202",1191
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",9
088604,"BRAMMER-KEYSTONE ENERGY, L.L.C.","Shreveport, LA 71101",
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
097353,"BROOKSTON ENERGY, INC.","Tyler, TX 75702",140
097476,"BROTHERS RESOURCES, INC.","Marshall, TX 75671",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
105970,"BUCKEYE ENERGY, INC.","Midland, TX 79702",
102367,BUCKHORN OPERATING LLC,"MT Enterprise, TX 75681",183
106003,BUCKINGHAM OIL COMPANY,"Longview, TX 75606",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
120104,"C & C PETROLEUM MANAGEMENT, LLC","Abilene, TX 79601",
121085,"C. W. RESOURCES, INC.","Longview, TX 75604",9
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
129004,"CAMTERRA RESOURCES, INC.","Marshall, TX 75671",1
141048,"CENTER START, LC","Kilgore, TX 75663",
142198,"CG OPERATING, INC.","Austin, TX 78759",
152379,CHALLENGER OIL INC,"San Antonio, TX 78209",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
146249,"CHAPPAREL ENERGY, INC.","Nacogdoches, TX 75963",
