Operator Number,Operator Name,Location,Leases
953784,"12TH MAN ENERGY, LLC","Cat Spring, TX 78933",1
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",
008584,AGCO PETROLEUM COMPANY,"Houston, TX 77002",
009585,AKM COMPANY,"San Antonio, TX 78229",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
011140,"ALBRECHT, CECIL","New Braunfels, TX 78130",
011285,ALCORN PROD CO.,"Victoria, TX 77902",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",4
015111,ALPHA OIL & GAS LLC,"Austin, TX 78734",
015128,"ALPHA OMEGA PETROLEUM, INC.","Dallas, TX 75251",
015744,"ALTMAN ENERGY, INC.","Tulsa, OK 74114",
016329,ALVAREZ & ALVAREZ,"Rio Grande Ci, TX 78582",
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",
018021,AMERICAN ENERGY OPERATIONS INC.,"Houston, TX 77002",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",
019766,AMERITEX CORPORATION,"Houston, TX 77092",
020403,"AMMO ENERGY, LLC","Oklahoma City, OK 73160",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
025490,ANGLO PRODUCTION COMPANY,"Dallas, TX 75201",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
033895,"ASCEND OIL & GAS, L.L.C.","Kilgore, TX 75663",
033897,"ASCENT ENERGY, INC","McKinney, TX 75069",
033905,"ASCENT OPERATING, LP","Plano, TX 75093",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
037670,AUSTRA-TEX OIL COMPANY,"San Antonio, TX 78205",
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
