Operator Number,Operator Name,Location,Leases
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
101758,5STONE OPERATING INC,"Big Lake, TX 76932",8
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
000102,"A & G PRODUCERS, INC.","Barstow, TX 79719",4
001506,"ABEL, M.D. CO.","Lampasas, TX 76550",
003589,"ACME ENERGY SERVICES, INC.","Midland, TX 79701",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008493,"ADVENTURE EXPLORATION PTRS, LLC","Midland, TX 79702",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
015116,ALPHA PETROVISION (U.S.) INC.,"Canada, 00100",
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
017996,"AMERICAN ENERGY-PERM BASIN, LLC","Oklahoma City, OK 73113",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020602,ANCHO OIL LLC,"Decatur, TX 76234",
020783,ANDECTOR EXPLORATION COMPANY,"Midland, TX 79702",3
020793,ANDERRA ENERGY CORPORATION,"Dallas, TX 75206",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
028618,"AQUA TERRA PERMIAN, LLC","Houston, TX 77056",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
028910,"ARCHER, A. R., JR.","Bastrop, TX 78602",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
029570,AREA PIPE AND EQUIPMENT,"Midland, TX 79702",
029586,ARENA PRODUCTION COMPANY,"Midland, TX 79710",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
035430,"ASPEN OPERATING COMPANY, L.L.C.","Fort Worth, TX 76116",3
036047,ATHLON ENERGY OPERATING LLC,"Denver, CO 80202",
036048,ATHLON FE OPERATING LLC,"Fort Worth, TX 76102",
036067,ATHLON HOLDINGS LP,"Denver, CO 80202",
036062,ATKINS PETROLEUM CORP.,"Austin, TX 78711",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
