Operator Number,Operator Name,Location,Leases
953496,"4 BOOTS OIL COMPANY, LLC","Leander, TX 78641",
954998,"7711 CORPORATION, THE","Houston, TX 77002",
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
008572,AG OPERATING COMPANY LLC,"Monsey, NY 10952",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
027226,"APACHE EXPLORATION, INC. (I)","Houston, TX 77075",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
035633,ATAPCO,"Houston, TX 77040",
036561,ATLANTIC RICHFIELD COMPANY,"Plano, TX 75094",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
052210,BARNHART CO.,"Houston, TX 77056",
068303,"BETA GAS & OIL, INC.","Tulsa, OK 74136",
068300,"BETA OPERATING COMPANY, LLC","Houston, TX 77210",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
082570,"BOOHER ENGINEERING, INC.","Tyler, TX 75711",2
085370,BP PROD. CORP.,"Richardson, TX 75083",
091041,"BRIDAS ENERGY USA, INC.","The Woodlands, TX 77380",
103003,"BROWNING, LANDON","Brenham, TX 77833",
122112,"CACHE PETROLEUM OPERATING CO.,LP","Wichita, KS 67212",
126785,CAMBRIDGE ROYALTY COMPANY,"Houston, TX 77002",
127738,"CAMPAU, JACKSON J.","Kingwood, TX 77345",
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",
140557,"CAVALIER OIL & GAS, INC.","Buchanan Dam, TX 78609",4
141835,"CENTURY RESOURCES, INC.","Houston, TX 77056",
144989,CHAPMAN OIL,"Houston, TX 77002",
148223,CHIEF OPERATING COMPANY,"Houston, TX 77070",
159651,"CLEARLY PETROLEUM, LLC","Houston, TX 77086",
160600,CLIFFS DRILLING COMPANY,"Houston, TX 77008",
161949,"COASTLINE OPERATING, L.L.C.","Houston, TX 77027",
166707,COHO RESOURCES INC.,"Dallas, TX 75240",
172230,CONOCO INC.,"Houston, TX 77252",
183232,COX & COX PRODUCTION CO.,"Donna, TX 78537",
214062,"DELTA SEABOARD WELL SVC, INC.","Houston, TX 77043",
216456,"DENVER ENERGY EXPLORATION,LLC","Canyon Lake, TX 78133",
216726,"DFG OIL & GAS, LLC","Houston, TX 77056",
222162,DOLBERRY ENERGY RESOURCES CORP.,"Dallas, TX 75252",
222242,DOMINION MINERALS CORPORATION,"Houston, TX 77014",
222286,DOMINO PROD SERVICES INC,"Bellville, TX 77418",
224852,DOUBLE EAGLE PETROLEUM CORP,"Evansville, IN 47725",
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",
253153,"ENERTECH RESOURCES, INC.","Boerne, TX 78006",
252470,ENHANCED ENERGY PARTNERS CORP,"Tomball, TX 77377",30
254244,"ESCONDIDO PETROLEUM COMPANY, INC","Houston, TX 77063",7
255330,EUREKA EXPLORATION CO. (EUREXCO),"S Houston, TX 77587",
256489,"EVERGREEN ENERGY, INC.","Houston, TX 77098",
257068,EXPRESS OIL CO.,"Hallettsville, TX 77964",
257097,EXXON CORP.,"Houston, TX 77210",
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",
271610,FLAG-REDFERN OIL COMPANY,"Midland, TX 79702",
271648,FLAT CREEK OPERATING CO.,"Rockwall, TX 75087",
275740,FOREST OIL CORPORATION,"Houston, TX 77002",
291668,"FUSION XP, INC.","Arlington, TX 76006",
291672,FUTURE PETROLEUM CORPORATION,"Houston, TX 77002",
293303,GALLOWAY ENERGY CO.,"Tomball, TX 77377",5
299331,"GEN-NAN RESOURCES & EQUIP., INC.","Midland, TX 79702",
299332,"GEN-NAN RESOURCES & EQUIP., L.P.","Midland, TX 79702",
301287,GEOSOUTHERN ENERGY CORPORATION,"The Woodlands, TX 77380",17
302450,GETTY OIL CO.,"Midland, TX 79702",
337080,"GTG OPERATING, LLC","Tyler, TX 75702",98
341460,H-M OIL COMPANY,"Houston, TX 77027",
341468,"H-M RESOURCE MANAGEMENT, INC.","Houston, TX 77055",
342390,HADAWAY ENGINEERING INC.,"Canadian, TX 79014",
346983,"HALLADAY PETROLEUM, INC.","Houston, TX 77043",
381860,"HESTER, B. M.","Wichita Falls, TX 76307",
385540,HIGH CHAPPARAL OIL COMPANY,"Plntersville, TX 77363",
386310,HILCORP ENERGY COMPANY,"Houston, TX 77208",5939
404500,HOUSTON PETROLEUM COMPANY,"Houston, TX 77027",
406661,"HOWITZER OPERATING, LLC","Farmers BRNCH, TX 75234",
423730,"INDEXGEO & ASSOCIATES, INC.","Houston, TX 77002",
424776,"INTEGRITY PETROLEUM GROUP, INC.","Sugar Land, TX 77478",
425626,"INVESTEX PETROLEUM, INC.","Buda, TX 78610",
425810,IPACT,"Austin, TX 78734",
430347,JAVELINA OIL & GAS DEVELOPMENT,"Pflugerville, TX 78691",
438265,"JOHNSON SANFORD OP CO., LTD","Leander, TX 78641",
427770,"JR RESOURCES, INC.","Houston, TX 77084",
449150,"K-3 RESOURCES, LP","Alvin, TX 77512",
450136,"KARENCO RESOURCES, INC.","Seguin, TX 78155",
455126,"KEM ENERGY, INC.","Katy, TX 77450",16
457780,KERR-MCGEE CORPORATION,"Dallas, TX 75380",
461550,"KILROY COMPANY OF TEXAS, INC.","Houston, TX 77010",
467840,KIRBY EXPLORATION COMPANY,"Houston, TX 77251",
479180,"KWS OIL & GAS, LLC","El Campo, TX 77437",
483440,"LAKEHILLS PRODUCTION, INC.","Austin, TX 78701",
491375,"LAYLINE PETROLEUM I, LLC","Houston, TX 77024",
495550,"LEGER PRODUCTION CO., INC.","Hamshire, TX 77622",
501267,"LINDOW OIL & GAS, LLC","Caldwell, TX 77836",12
504917,LOCKOUT CORPORATION,"Austin, TX 78746",
507482,LONE WOLF OPERATING COMPANY,"Denver, CO 80202",
507470,"LONE WOLF OPERATING COMPANY, LP","Haxtun, CO 80731",
508702,"LONGWATER, L.L.C.","Houston, TX 77043",
511734,LTS OIL & GAS A,"Lubbock, TX 79424",
511748,"LTX PRODUCTIONS, INC.","Houston, TX 77095",
