Operator Number,Operator Name,Location,Leases
954998,"7711 CORPORATION, THE","Houston, TX 77002",
000163,AAA OPERATING COMPANY INC.,"Dallas, TX 75359",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",
003965,ADAIR & BALLINGER PETROL CONSLTS,"Austin, TX 78746",
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
014357,"ALLIED ENERGY OPERATING, LLC","McKinney, TX 75070",
018857,AMERICAN NAT. GAS PROD. CO.,"Houston, TX 77056",
020544,ANADARKO AUSTIN CHALK COMPANY,"Houston, TX 77251",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029390,ARCTURUS OPERATING COMPANY,"Addison, TX 75001",
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
041780,"B-T OIL FIELD SUPPLY, INC.","Caldwell, TX 77836",
041864,"B.W.O.C., INC.","Plano, TX 75026",
044425,"BAKER, BRENT OIL & GAS, INC.","Oklahoma City, OK 73149",
058881,BBL OIL & GAS COMPANY,"Giddings, TX 78942",
058908,"BBX OPERATING, L.L.C.","Austin, TX 78738",
064084,BENCHMARK LAND & EXPLORATION INC,"Austin, TX 78701",
065847,"BENSON MINERAL GROUP, INC.","Denver, CO 80202",
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
073059,"BLACKBRUSH O & G, LLC","San Antonio, TX 78259",159
086250,BRADCO OIL & GAS CO.,"Houston, TX 77002",
090765,BRENHAM DRILLING CO.,"Brenham, TX 77833",2
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",
103088,"BROWNING OIL COMPANY, INC.","Dallas, TX 75251",50
112590,"BUSH, MARK A. OIL AND GAS INC.","Houston, TX 77057",
122585,CAG PETROLEUM CORP.,"Dallas, TX 75382",
129875,"CANTRO EXPLORATION, INC.","San Antonio, TX 78270",
139582,CASHCO OIL COMPANY,"Houston, TX 77024",
120043,CD CONSULTING & OPERATING CO.,"Bridgeport, TX 76426",9
141032,CENERGY EXPLORATION COMPANY,"Houston, TX 77068",
141220,CENTRAL PLAINS OIL AND GAS CORP.,"Bryan, TX 77802",
141265,"CENTRAL TEXAS PETROLEUM, INC.","Brenham, TX 77833",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144989,CHAPMAN OIL,"Houston, TX 77002",
146360,"CHARGA ENERGY, INC.","Houston, TX 77057",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148111,"CHEYENNE MINERALS, INC.","Houston, TX 77030",
149526,"CHMELAR, EUGENE OIL & GAS","Caldwell, TX 77836",
156735,"CLARK EXPL. & PROD., CO., INC.","Austin, TX 78746",
167000,CO-KAL OIL COMPANY,"Brenham, TX 77833",
161634,COASTAL EXPANSE OIL & GAS,"Austin, TX 78704",
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
174420,"COOKE & COOKE, INC.","Houston, TX 77092",
186715,CRAWFORD ENERGY OPERATING CO,"Houston, TX 77056",
186835,CRAWFORD HUGHES OPERATING CO.,"The Woodlands, TX 77380",13
189989,"CRIMSON ENERGY COMPANY, LC","Fort Worth, TX 76102",
190047,"CRM ENERGY, INC.","Oklahoma City, OK 73101",
195891,CYPRESS ENERGY DEVELOPMENT CO,"Cypress, TX 77429",
196197,D.J. OILFIELD SALVAGE INC.,"West Point, TX 78963",
197624,DALE OPERATING COMPANY,"Dallas, TX 75201",
197630,DALECO RESOURCES,"Los Angeles, CA 90025",
201208,DARTEX ENERGY CORPORATION,"Austin, TX 78746",
202365,"DAVIDSON, JAKE, INC.","Houston, TX 77002",
208088,DAWSON PRODUCTION SERVICES,"College Sta, TX 77845",
213350,DELTA DRILLING CO.,"Kilgore, TX 75662",
214090,DELTAUS CORPORATION,"Oklahoma City, OK 73125",
220833,DIRKS PETROLEUM COMPANY,"Beeville, TX 78104",
221874,"DOBOS, JAMES D. CORPORATION","Dime Box, TX 77853",
222085,DOILCO EXPLORATION,"Rockdale, TX 76567",
222274,DOME DRILLING CO.,"Brenham, TX 77833",
222242,DOMINION MINERALS CORPORATION,"Houston, TX 77014",
227401,DOUGLAS PETROLEUM INC.,"Spring, TX 77379",
229305,"DRIVER INVESTMENTS, INC.","New Boston, TX 75570",
237926,"DYNAMIC PRODUCTION, INC.","Fort Worth, TX 76106",11
237956,"DYSON ENERGY OPERATING, LLC","Bryan, TX 77802",
238482,"E P C OIL & GAS, INC.","Caldwell, TX 77836",15
238737,EAGLE VALLEY DEVELOPMENT LLC,"Austin, TX 78738",
244676,"EDWARDS, GUS CO.","Abilene, TX 79603",
247836,ELLIOTT OIL & GAS OPERATING CO.,"Magnolia, TX 77354",
250961,"EMERALD OPERATING COMPANY, INC.","Plano, TX 75075",
251991,"ENERGY RESOURCE MANAGEMENT, INC.","Caldwell, TX 77836",
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
253161,ENTERPRISE PRODUCTS OPERATING LP,"Houston, TX 77210",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
257097,EXXON CORP.,"Houston, TX 77210",
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",
257281,"F.I.G. ENERGY, LLC","Livingston, TX 77399",
257538,"F.M.C. OPERATING, INC.","Austin, TX 78750",
271610,FLAG-REDFERN OIL COMPANY,"Midland, TX 79702",
295861,GARRISON LTD.,"San Antonio, TX 78257",5
298884,GEMARMI INC.,"Cypress, TX 77433",
298891,GEMINI EXPLORATION COMPANY,"Dallas, TX 75219",
300168,GENERAL PROD. CORP.,"Brenham, TX 77833",
300167,"GENERAL PRODUCTION COMPANY, INC.","Brenham, TX 77833",
301287,GEOSOUTHERN ENERGY CORPORATION,"The Woodlands, TX 77380",17
301273,"GEOSOUTHERN OPERATING II, LLC","The Woodlands, TX 77380",69
307242,"GINN, WEIDA W.","Brenham, TX 77834",
313850,"GOLDSMITH, J. PAUL","Tyler, TX 75711",
318460,"GOSE, STEVE","San Antonio, TX 78233",
324735,"GRAND OPERATING, INC.","Addison, TX 75001",
328761,"GREAT WEST ENERGY & EXPL., INC.","Addison, TX 75001",
337075,"GSI OIL & GAS, INC.","Bryan, TX 77806",1
346076,"HALL, D. CORPORATION","La Grange, TX 78945",
370457,"HEARTLAND RESOURCES, INC.","Temple, TX 76501",
370641,HECI EXPLORATION COMPANY,"Giddings, TX 78942",
341367,"HK ENERGY OPERATING, LLC","Houston, TX 77002",
390547,"HMX INVESTMENTS, INC.","Katy, TX 77494",
393200,"HOLLEY OIL COMPANY, LLC","Chappell Hill, TX 77426",16
404620,"HOUSTON, W. S. OIL & GAS, INC.","Brenham, TX 77834",
408750,HUBER ENERGY L.P.,"Houston, TX 77079",
408800,HUBER ENERGY PANHANDLE L.P.,"Houston, TX 77079",
408850,"HUBER, J. M., CORPORATION","Edison, NJ 08837",
412850,"HUMBLE EXPLORATION CO., INC.","Giddings, TX 78942",
416330,HUNT OIL COMPANY,"Dallas, TX 75201",2
421494,"HYPERION ENERGY, L P","Dallas, TX 75206",
