Operator Number,Operator Name,Location,Leases
953583,2 S OPERATING,"Iowa Park, TX 76367",
953773,3 W OIL,"Vernon, TX 76384",
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
953724,4-J OIL CO.,"Ryan, OK 73565",
953790,4J OIL CO. LLC,"Ryan, OK 73565",5
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",
000456,A-E OPERATING COMMITTEE,"Wichita Falls, TX 76307",
000587,"A-S ENERGY, INC.","Dallas, TX 75201",
000118,AAA OIL TRUST,"Weatherford, TX 76088",
000203,ABC NRG,"Vernon, TX 76384",
003304,ACADIA OIL COMPANY,"Wichita Falls, TX 76309",
003312,"ACADIA OIL, LLC","Wichita Falls, TX 76310",
003393,ACCESS RESOURCES INC.,"Healdton, OK 73438",
008494,ADVANTAGE OIL COMPANY,"Wichita Falls, TX 76307",
008551,"AEGIS FLUIDS MANAGEMENT, LLC","Plano, TX 75093",
000834,"AEON OPERATING, INC.","Fate, TX 75132",
008593,"AGAVE OPERATING COMPANY, INC.","Holliday, TX 76366",
009515,AIRLION ENERGY,"Dallas, TX 75209",
000591,AK OPERATING CO.,"Wichita Falls, TX 76308",
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",10
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
020452,AMOT OPERATING COMPANY,"Graham, TX 76450",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
020568,ANCELL OIL CO.,"Wichita Falls, TX 76309",
020920,"ANDERSON, CARL T.","Wichita Falls, TX 76301",
025615,ANN G OPERATING CO.,"Electra, TX 76360",
025626,"ANNAVAS DEVELOPMENT CO., LTD.","Phoenix, AZ 85004",
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
031915,"ARMOUR, WIDD","Wichita Falls, TX 76308",
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
037878,AVALANCHE OIL & GAS LLC,"Kingfisher, OK 73750",
039525,AYERS & BURCH,"Wichita Falls, TX 76301",
039688,"AZTEC ENERGY, LLC","Wichita Falls, TX 76301",13
039715,"AZTEC OIL & GAS COMPANY ""A""","Wichita Falls, TX 76309",
040191,B & D OIL CO.,"Vernon, TX 76384",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
039872,B AND M PRODUCTION,"Burkburnett, TX 76354",
040396,B.E.G. PRODUCTION,"Iowa Park, TX 76367",
042263,"BABER, BILL M.","Petrolia, TX 76377",
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
048353,BAM PRODUCTION COMPANY,"Granbury, TX 76048",
048368,"BANDERA ENERGY, INC.","Abilene, TX 79602",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
060186,BEASLEY OIL COMPANY,"Oklahoma City, OK 73120",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
064611,"BENNETT & GUINN, INC","Arlington, TX 76010",
066008,BENTLEY OIL AND GAS COMPANY,"Wichita Falls, TX 76307",
066438,"BENTLEY, JIM","Electra, TX 76360",
066750,BEREN CORPORATION,"Wichita, KS 67206",12
066995,BEREXCO INC.,"Wichita, KS 67208",
069510,BIG MOUNTAIN OPERATING LLC,"Decatur, TX 76234",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
072310,"BIRDWELL, MIKE OIL CO.","Holliday, TX 76366",
072718,BLACK PEARL ENERGY LLC,"Houston, TX 77056",
072713,"BLACK PEARL OPERATING COMP., LLC","Houston, TX 77057",
081090,BOLIN OIL COMPANY,"Wichita Falls, TX 76308",
082443,BONFIRE OPERATING LLC,"Cresson, TX 76035",16
084460,"BOX, W. A.","Wichita Falls, TX 76307",
084598,"BOYD, DEE WELL SERVICE","Vernon, TX 76385",
087325,"BRADLEY, JOHN W. INC.","Wichita Falls, TX 76301",
