Operator Number,Operator Name,Location,Leases
953733,3 WAY OPERATING COMPANY,"Midland, TX 79702",
101293,"3R Operating , LLC","Houston, TX 77269",2
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
004585,"ADAMS, DAVID","Mountainburg, AR 72946",
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008507,AEC OPERATING COMPANY,"Roswell, NM 88202",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
008716,"AGHORN OPERATING, INC.","Odessa, TX 79768",94
015140,ALPS OIL COMPANY,"Odessa, TX 79760",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
020408,"AMMONITE ENERGY TEXAS, INC.","Midland, TX 79710",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020521,AMTEX ENERGY,"Midland, TX 79702",
020522,"AMTEX ENERGY, INC.","Fort Worth, TX 76147",11
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
026800,"AOG, INC.","Norman, OK 73070",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
029413,ARD DRILLING COMPANY INC.,"Abilene, TX 79604",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033228,"ARROW OIL & GAS, LLC","Norman, OK 73070",9
035430,"ASPEN OPERATING COMPANY, L.L.C.","Fort Worth, TX 76116",3
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036046,ATHENS/ALPHA GAS CORPORATION,"Lubbock, TX 79411",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
042159,B & W SOUTHERN PETROLEUM,"The Woodlands, TX 77381",
042265,BABER WELL SERVICING CO.,"Hobbs, NM 88240",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
048351,"BAM PERMIAN OPERATING, LLC","Midland, TX 79707",14
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
049280,BARJ OIL CO.,"Brownfield, TX 79316",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
058873,"BAYTECH, INC.","Midland, TX 79702",
058893,"BC OPERATING, INC.","Midland, TX 79710",
040206,"BCP RESOURCES, LLC","Midland, TX 79705",56
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
060100,BEARD OIL COMPANY,"Oklahoma City, OK 73102",
100412,"Beaver Oil & Gas Operating, LLC","Austin, TX 78746",13
061745,BEEKAY COMPANY,"Dallas, TX 75219",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
064102,"BENCHMARK PRODUCTION, LLC","Midland, TX 79701",
066001,"BENT ARROW OPERATING, INC.","Houston, TX 77056",
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
072631,"BLACK BAYOU OPERATING, LLC","Fort Worth, TX 76116",
074900,BLANCO OIL CO.,"San Antonio, TX 78230",
075355,BLANKS ENERGY CORPORATION,"Midland, TX 79702",
075675,"BLEDSOE PARTNERS, INC.","Oklahoma City, OK 73120",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",
081570,BONANZA OIL COMPANY,"Dallas, TX 75201",
082535,BONRAY DRILLING CO.,"Oklahoma City, OK 73120",
084751,"BOYD & MCWILLIAMS OPERATING, LLC","Midland, TX 79701",5
084596,"BOYD, D. K. OIL AND GAS CO.,INC.","Midland, TX 79703",1
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
088241,"BRADY, W. PRODUCTION, INC.","Midland, TX 79708",4
088380,BRAHANEY DRILLING CO.,"Midland, TX 79702",
088440,"BRAHANEY DRILLING COMPANY, LTD.","Midland, TX 79702",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
092430,"BRIDWELL OIL MANAGEMENT, LLC","Wichita Falls, TX 76307",1
092440,BRIDWELL OIL MGMT OF ALABAMA LLC,"Wichita Falls, TX 76307",
093125,BRIGHT & CO.,"The Colony, TX 75056",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
095300,"BROCK, G.W., INC.","Midland, TX 79701",
096672,BROMAN OIL & GAS LP,"Fort Worth, TX 76102",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
103088,"BROWNING OIL COMPANY, INC.","Dallas, TX 75251",50
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
041867,"BTA OIL PRODUCERS, LLC","Midland, TX 79701",120
106531,"BULLIN, R. E. OPERATING INC.","Levelland, TX 79336",20
108575,"BURGESS, W. E.","Fort Worth, TX 76147",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108887,BURKETT AND WALKER COMPANY,"Graham, TX 76450",
112682,BUSTAMANTE RESOURCES LLC,"Midland, TX 79710",30
114050,"BUTLER, KEVIN O. & ASSOC., INC.","Midland, TX 79702",
042191,"BXP OPERATING, LLC","Houston, TX 77079",1
118748,BYRD OPERATING COMPANY,"Midland, TX 79702",15
119849,"C.B.C. OIL & GAS, INC.","Denver City, TX 79323",
121930,CABOT CORP.,"Amarillo, TX 79105",
122893,CAIN & WHITE,"Lubbock, TX 79407",1
123100,"CAIN, L. L. & WHITE, WAYNE R.","Lubbock, TX 79407",
125870,CAL-MON OIL COMPANY,"Midland, TX 79701",
126758,"CAMBRIAN MANAGEMENT, LTD.","McCaulley, TX 79534",8
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
130482,"CAPROCK OPERATING, INC.","Midland, TX 79708",
140904,"CELERO ENERGY II, LP","Midland, TX 79701",
140903,"CELERO ENERGY, L.P.","Midland, TX 79701",
141233,"CENTRAL RESOURCES, INC.","Denver, CO 80203",
142600,CHAMA PETROLEUM COMPANY,"Dallas, TX 75231",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
147660,CHERRY PETROLEUM COMPANY,"Lubbock, TX 79490",
147655,"CHERRY, J. BLAIR, ESTATE OF","Lubbock, TX 79490",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
149441,"CHISOS OPERATING, INC.","Midland, TX 79702",
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
153190,CHRISTMANN & WELBORN,"Lubbock, TX 79401",
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
159900,CLEMCO,"Tyler, TX 75702",
160060,"CLEMENTS ENERGY, INC.","Vancouver, WA 98662",
120648,"CML EXPLORATION, LLC","Austin, TX 78746",177
161398,CNG PRODUCING COMPANY-TULSA DIV.,"Tulsa, OK 74101",
161671,"COASTAL PLAINS ENERGY, INC.","Oklahoma City, OK 73112",23
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
166150,COG OPERATING LLC,"Midland, TX 79701",1312
168348,"COLLINS & WARE, INC.","Midland, TX 79701",
169230,COLUMBIA GAS DEVELOPMENT CORP.,"Houston, TX 77251",
170181,CONCHO RESOURCES INC.,"Oklahoma City, OK 73154",
170765,CONE & PETREE OIL & GAS EXP. INC,"Lubbock, TX 79453",
172230,CONOCO INC.,"Houston, TX 77252",
173740,CONTINENTAL OIL COMPANY,"Unknown, XX 99999",
177570,COQUINA OIL CORPORATION,"Houston, TX 77227",
179240,CORNELL OIL CO.,"Dallas, TX 75240",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
182787,COVE PETROLEUM CORPORATION,"Shreveport, LA 71101",
185980,"COX, JOHN L.","Midland, TX 79702",
190099,"CROCKETT OPERATING, LLC","Arlington, TX 76017",8
190469,"CROSS TIMBERS ENERGY, LLC","Fort Worth, TX 76102",56
