Operator Number,Operator Name,Location,Leases
953562,"1776 ENERGY OPERATORS, LLC","Houston, TX 77070",36
003608,"ACORN OIL & GAS, INC.","Orchard, TX 77464",
003609,"ACORN OIL & GAS, LLC","Iraan, TX 79744",7
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",10
008625,"AGERON ENERGY, LLC","San Antonio, TX 78209",27
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
011260,"ALCOR ENERGY, INC.","San Antonio, TX 78239",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
017750,AMERICAN AQUILA,"Longview, TX 75601",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
019930,"AMHERST EXPLORATION CO., INC.","Arlington, TX 76016",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
033103,"ARRCO OPERATING, LLC","Carrizo SPGS, TX 78834",9
033200,ARROW PETROLEUM COMPANY,"San Antonio, TX 78209",
033514,"ARROWHEAD ENTERPRISES, INC.","Baton Rouge, LA 70816",
035631,"ASTRO PRODUCTION, INC.","San Antonio, TX 78216",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",
037875,AV-TECH RESOURCES CORPORATION,"Kerrville, TX 78028",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039511,AYERS OIL CO.,"Crystal City, TX 78839",
039725,AZTEC PETROLEUM CORP.,"Dallas, TX 75230",
040405,B-G OPERATING INC.,"Luling, TX 78648",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
054600,BASIN RESOURCES CORPORATION,"Dallas, TX 75230",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
059037,"BEACHTEX OIL COMPANY, LLC","San Antonio, TX 78257",
061150,"BECKER, B. A.","Houston, TX 77257",
065324,"BENNETT, R. C., COMPANY","Midland, TX 79702",
066993,BERENERGY CORPORATION,"Denver, CO 80217",
040794,BHEC CORPORATION,"Giddings, TX 78942",
068596,BHP BILLITON PET(TXLA OP) CO,"Denver, CO 80202",
072742,BLACK RIVER CORP.,"Midland, TX 79701",
072753,BLACK ROCK OIL & GAS CO. INC.,"San Antonio, TX 78230",
073059,"BLACKBRUSH O & G, LLC","San Antonio, TX 78259",159
075355,BLANKS ENERGY CORPORATION,"Midland, TX 79702",
076772,BLUE STAR OPERATING COMPANY,"Kilgore, TX 75663",
076847,"BLUESTAR ENERGY, INC.","Dallas, TX 75204",
077686,BOBCAT OPERATING,"Stephenville, TX 76401",
078543,BOGEY OIL & GAS,"Carrizo SPGS, TX 78834",
081357,BOLLINGER DRILLING CO.,"Del Rio, TX 78840",1
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",
083296,BOTASCH OPERATING,"Dilley, TX 78017",
083330,"BOTASCH OPERATING, LLC","Dilley, TX 78017",
085370,BP PROD. CORP.,"Richardson, TX 75083",
085408,BPX OPERATING COMPANY,"Denver, CO 80202",1191
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
091140,BRIDGER OIL INC.,"Richmond, TX 77406",1
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
097940,"BROWN, C. DOUGLAS, LLC","Dallas, TX 75209",
100790,"BROWN, JOHN OIL CO.","Eagle Pass, TX 78852",
104953,BRYMER CONTRACTING INCORPORATED,"Pleasanton, TX 78064",20
104957,"BRYMER, JACK CONTR. SERV.","George West, TX 78022",
104956,"BRYMER, JACK CONTR. SERV., INC.","Pleasanton, TX 78064",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
042191,"BXP OPERATING, LLC","Houston, TX 77079",1
119880,C AND S OIL & GAS,"San Antonio, TX 78217",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
122192,CACHARA OIL & GAS CO.,"Austin, TX 78758",
122585,CAG PETROLEUM CORP.,"Dallas, TX 75382",
123680,"CALDWELL OIL & GAS CO., INC.","Austin, TX 78767",
124805,CALLON (EAGLE FORD) LLC,"Houston, TX 77042",
127243,"CAMINO AGAVE, INC.","Floresville, TX 78114",
130774,"CARDIN, M. O.","Crystal City, TX 78839",
131775,"CARIBBEAN ENERGY, L.L.C.","Cotulla, TX 78014",
134810,"CARR, F. WILLIAM","Palm Beach, FL 33480",
135316,CARRIZO (EAGLE FORD) LLC,"Houston, TX 77042",
135319,"CARRIZO EXPLORATION, INC.","Carrizo SPGS, TX 78834",
136815,"CARTER E&P, LLC","Johnson City, TX 78636",
139645,CASTLE GAS CORPORATION,"San Angelo, TX 76902",
139861,"CATARINA MIDSTREAM, LLC","San Antonio, TX 78249",
139864,CATARINA PETROLEUM L. C.,"Dallas, TX 75228",
139930,CATLETT & FERGUSON,"Houston, TX 77079",
140557,"CAVALIER OIL & GAS, INC.","Buchanan Dam, TX 78609",4
141023,"CENIZA PETROLEUM, INC.","Portland, TX 78374",
141010,CENTAUR EXPLORATION LLC,"Evanston, WY 82931",
141141,CENTEX DEVELOPMENT,"Giddings, TX 78942",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144610,CHAPARROSA OIL COMPANY,"San Antonio, TX 78230",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
152910,CHRISTICO PETROLEUM COMPANY,"San Antonio, TX 78216",
153393,"CIBOLO ENERGY OPERATING, INC.","Bulverde, TX 78163",
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154744,CIVCO OPERATING LLC,"Devine, TX 78016",
120554,"CIVRON PETROLEUM RES., LLC","San Antonio, TX 78229",
155305,"CLARK, ARTHUR E.","Golden, CO 80401",
157300,"CLARK, JOHN M.","Midland, TX 79701",
159900,CLEMCO,"Tyler, TX 75702",
161179,"CLIPPER OPERATING CO., INC.","San Antonio, TX 78209",
120648,"CML EXPLORATION, LLC","Austin, TX 78746",177
162005,COATES ENERGY TRUST,"San Antonio, TX 78209",
162025,"COATES, GEORGE H. ESTATE OF","San Antonio, TX 78205",
165017,"COFFEE BEAN ENERGY, LLC","Nederland, TX 77627",
166707,COHO RESOURCES INC.,"Dallas, TX 75240",
167054,"COLE, FRANK W ENGINEERING","Dallas, TX 75254",
169112,COLT OPERATING CORPORATION,"San Antonio, TX 78231",
169230,COLUMBIA GAS DEVELOPMENT CORP.,"Houston, TX 77251",
169382,COMANCHE CRUDE OIL CO.,"Kerrville, TX 78029",
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",
100222,"Contango Resources, LLC","Houston, TX 77002",433
173740,CONTINENTAL OIL COMPANY,"Unknown, XX 99999",
173750,CONTINENTAL OPERATING COMPANY,"San Antonio, TX 78217",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
174017,CONWAY ENERGY OPER SERVICES INC.,"San Diego, TX 78384",
178381,CORE E & P CORP.,"Victoria, TX 77902",
178383,CORE ENERGY CORPORATION,"Corpus Chrsti, TX 78401",
179262,"CORNERSTONE E & P COMPANY, LP","Irving, TX 75038",
186332,"COYLE, JOHN J.","Dallas, TX 75201",
186950,"CRB OIL & GAS, INC.","San Antonio, TX 78209",
189982,"CRIMSON ENERGY PARTNERS, L.P.","Fort Worth, TX 76102",
189981,CRIMSON EXPLORATION INC.,"Houston, TX 77060",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
191906,CUATRO PETRO CORP.,"Richardson, TX 75080",
195791,"CW DALCAN MANAGEMENT SVCS, LTD.","Frisco, TX 75033",
196909,D & V PETROLEUM CORPORATION,"Dublin, OH 43017",
199800,"DANTEX OIL & GAS, INC.","Dallas, TX 75225",
200715,"DARNER, RICHARD R.","San Antonio, TX 78230",
203500,"DAVIS CRUDE, INC.","Houston, TX 77046",
