Operator Number,Operator Name,Location,Leases
953732,3 Q DRILLING,"Huntington, TX 75949",
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",262
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
025434,ANGELINA EXPLORATION COMPANY,"Diboll, TX 75941",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",36
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
058908,"BBX OPERATING, L.L.C.","Austin, TX 78738",
072716,"BLACK STONE ENERGY COMPANY, LLC","Houston, TX 77002",
082519,"BONNER, JOE INC.","Crosby, TX 77532",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085408,BPX OPERATING COMPANY,"Denver, CO 80202",1191
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",9
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",33
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
121085,"C. W. RESOURCES, INC.","Longview, TX 75604",9
121212,"C6 OPERATING, L.L.C.","Keatchie, LA 71046",11
130392,CAPITAL RESOURCE MANAGEMENT INC,"Austin, TX 78716",
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",
120027,CCI GULF COAST UPSTREAM LLC,"Teague, TX 75860",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
153215,"CHRISTOPHER, BILLY JOE","Lufkin, TX 75901",
158286,"CLASSIC OIL & GAS, INC.","Tyler, TX 75701",
158927,"CLAY EXPLORATION, INC.","Spring, TX 77387",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
