Operator Number,Operator Name,Location,Leases
953728,3-L DRILLING,"Abilene, TX 79605",
000692,A&L PARTNERSHIP,"Paige, TX 78659",
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",7
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",
000163,AAA OPERATING COMPANY INC.,"Dallas, TX 75359",
003575,"ACIETEROS, LTD.","Austin, TX 78761",
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",
008717,AGGREGATE AGGRAVATIONS INC,"College Sta, TX 77842",
009775,ALADDIN PETROLEUM COMPANY,"Houston, TX 77046",
012360,"ALEXANDER PET. CONSULTANTS, INC.","Houston, TX 77024",
011462,ALEXANDER ROYALTY COMPANY,"Red Rock, TX 78662",1
012353,"ALEXANDER, LAVERNE","Lockhart, TX 78644",
013237,ALL AMERICAN OPERATING,"Conroe, TX 77305",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
015745,"ALTEX PETROLEUM, INC.","Pasadena, TX 77506",
016540,"AM-TEX DRILLING & EXPLOR., INC.","Metairie, LA 70004",
016884,AMBERTON EXPLORATION COMPANY,"Pleasanton, TX 78064",
019510,AMERICAN STAR ENERGY & MIN. CORP,"Katy, TX 77449",
102118,AMS ENERGY SOLUTIONS LLP,"Katy, TX 77493",2
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
028802,"ARBEN OIL, INC.","Coleman, TX 76834",
028726,"ARBOL RESOURCES, INC.","Houston, TX 77079",4
030470,ARIZONA OIL,"Austin, TX 78729",
030835,ARMADA RESOURCES CORPORATION,"Red Rock, TX 78662",
033060,"ARPEL, INC.","Oklahoma City, OK 73102",
033877,"ASANTE OPERATING COMPANY, LLC","Austin, TX 78703",5
035285,"ASHTON OIL & GAS CO., INC.","Austin, TX 78701",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036840,AUGUST OIL,"Plano, TX 75093",
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",
037670,AUSTRA-TEX OIL COMPANY,"San Antonio, TX 78205",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
038712,"AVIAN TECH INTERNATIONAL, INC.","Euless, TX 76040",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
040405,B-G OPERATING INC.,"Luling, TX 78648",
041852,"B.T.E. OIL OPERATOR, INC.","Austin, TX 78731",
044256,"BAILEYS ENERGY, LLC","San Juan Capo, CA 92675",
048367,"BANDERA PETROLEUM, INC.","Abilene, TX 79606",
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
049777,BAR-MAC & HOLLUB DRILLING CO.,"Brenham, TX 77833",
054835,BASS PETROLEUM,"Austin, TX 78720",
054836,"BASS PETROLEUM, INC","Austin, TX 78716",
055118,BASTROP ENERGY GROUP,"San Antonio, TX 78231",4
056385,BATZER ENERGY CORPORATION,"Denver, CO 80203",
058881,BBL OIL & GAS COMPANY,"Giddings, TX 78942",
058908,"BBX OPERATING, L.L.C.","Austin, TX 78738",
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",
064781,"BENNETT, JAMES ROSS","Dale, TX 78616",
069335,BIG COUNTRY OPERATING & WELL SER,"Bulverde, TX 78163",
069458,BIG LAKE CORPORATION,"Dallas, TX 75222",3
070868,"BILLINGS, L. CHARLES","New Braunfels, TX 78130",
072641,BLACK GOLD OIL CO.,"Humble, TX 77338",
072644,"BLACK GOLD OPERATING CO., INC.","San Antonio, TX 78209",
072655,BLACK HAWK PRODUCTION CO.,"Chilton, TX 76632",
072704,"BLACK JACK SERVICES, L.L.C.","Bastrop, TX 78602",
073189,"BLACKMAR, JIM OIL OPERATOR","Luling, TX 78648",
073302,"BLACKSTONE PETRO ENERGY, LP","Austin, TX 78759",
076830,BLUEBONNET EXPLORATION COMPANY,"New Braunfels, TX 78130",
077686,BOBCAT OPERATING,"Stephenville, TX 76401",
083276,BOSTEX OPERATING,"Luling, TX 78648",
083274,"BOSTEX OPERATING, INC.","Plano, TX 75094",
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",
095100,BROCK EXPLORATION CORPORATION,"New Orleans, LA 70112",
095340,BROCK OIL & GAS CORPORATION,"Tulsa, OK 74103",
104965,BSE PRODUCTION CO.,"Victoria, TX 77903",
108843,"BURKE, HARRY PETROLEUM","Houston, TX 77080",
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
121073,"C S J, INC.","Austin, TX 78716",
120569,"C&M EQUIPMENT & LEASING CO., INC","San Antonio, TX 78209",
119838,"C-AIR DRILLING, INC.","Sachse, TX 75048",
121219,"CAB ENERGY GROUP, INC","Austin, TX 78757",
123567,"CAL-TEX FOSSIL, L.L.C.","Graham, TX 76450",
130325,CAP OPERATING INC.,"Borger, TX 79008",
136815,"CARTER E&P, LLC","Johnson City, TX 78636",
137321,"CARTER, GERTRUDE (TRUDY)","Rockwall, TX 75032",
141141,CENTEX DEVELOPMENT,"Giddings, TX 78942",
141145,CENTEX OIL & GAS,"Jeffersonvlle, NY 12748",
141192,CENTRAL CONTINENTAL CORP.,"New Braunfels, TX 78130",
141265,"CENTRAL TEXAS PETROLEUM, INC.","Brenham, TX 77833",
142228,CHAFIN & HEDGES PETROLEUM CO.,"Dallas, TX 75240",
142283,CHALKER OPERATING INC.,"Richmond, TX 77406",
143578,"CHAMPLIN EXPLORATION, INC.","Enid, OK 73702",
146678,"CHASE ENERGY, INC.","Austin, TX 78763",
147130,"CHEATHAM, JOE R. OIL CO.","Lockhart, TX 78644",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
149526,"CHMELAR, EUGENE OIL & GAS","Caldwell, TX 77836",
153180,CHRISTILIN PETROLEUM CORPORATION,"Austin, TX 78745",
153393,"CIBOLO ENERGY OPERATING, INC.","Bulverde, TX 78163",
157260,"CLARK, JACK E.","Hallettsville, TX 77964",
162005,COATES ENERGY TRUST,"San Antonio, TX 78209",
162025,"COATES, GEORGE H. ESTATE OF","San Antonio, TX 78205",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
166707,COHO RESOURCES INC.,"Dallas, TX 75240",
169112,COLT OPERATING CORPORATION,"San Antonio, TX 78231",
169600,"COMET OIL & GAS, INC.","Conroe, TX 77305",
169662,COMET PRODUCTION,"Conroe, TX 77305",
173678,CONTINENTAL GULF CORP.,"Luling, TX 78648",
173785,"CONTINENTAL U S EXPLORATION, INC","Dallas, TX 75220",
174420,"COOKE & COOKE, INC.","Houston, TX 77092",
180197,CORUM PRODUCTION COMPANY,"Houston, TX 77002",
187005,"CREATIVE OIL & GAS OPERATING,LLC","Giddings, TX 78942",
187022,"CREATIVE OIL AND GAS OP II, LLC","San Antonio, TX 78246",5
189449,CRESCENT EXPLORATION COMPANY,"Austin, TX 78767",
191534,CROWN EQUIPMENT CO.,"Weatherford, TX 76086",36
191586,CRUDE PETROLEUM CORPORATION,"Walnut Creek, CA 94596",
191778,"CSA EXPLORATION COMPANY, INC.","Houston, TX 77027",
194204,"CUMMING COMPANY, INC. THE","Fort Worth, TX 76116",5
196178,"D-III PETROLEUM, INC.","Austin, TX 78731",
196830,"D-MIL PRODUCTION, INC.","Argyle, TX 76226",5
196197,D.J. OILFIELD SALVAGE INC.,"West Point, TX 78963",
198190,DAMSON OIL CORP.,"Midland, TX 79702",
199400,"DANIELS CORPORATION, THE","Seabrook, TX 77586",
208004,DAWSON OIL CO.,"Minden, TX 75680",
218314,DIGITAL OPERATING COMPANY LLC,"Boerne, TX 78006",132
220847,"DIRNETT, INC.","Tuleta, TX 78162",1
220846,DISCORBIS OIL COMPANY,"San Antonio, TX 78217",
220923,"DIVERSITY PETROLEUM, LP","Rockwall, TX 75087",
221475,"DLG OIL & GAS, INC.","Gonzales, TX 78629",
221874,"DOBOS, JAMES D. CORPORATION","Dime Box, TX 77853",
235846,"DURANGO EXPLORATION, INC.","Houston, TX 77027",
237924,"DYNAMIC PETROLEUM RES., INC.","Houston, TX 77068",
238556,"E & W SERVICES, INC.","Kingsbury, TX 78638",
238482,"E P C OIL & GAS, INC.","Caldwell, TX 77836",15
238191,EAGLE ASSOC. DRLG.PROGRAM 1984-A,"Farmers BRNCH, TX 75234",
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",76
238960,"EAST TEXAS DRILLING CO., INC.","Poynor, TX 75782",
238981,EAST TEXAS PRODUCTION MGT. INC,"Athens, TX 75751",
241426,"EDCO ENERGY, INC.","Austin, TX 78738",
251441,"EMPIRE OIL & GAS SERVICES, INC","Austin, TX 78720",
251944,"ENERGETICS, INC.","Greenwood VLG, CO 80111",
251981,"ENERGY EQUITY, INC.","San Angelo, TX 76902",
251960,"ENERGY EXPLORATION, INC.","Houston, TX 77056",
252124,ENEX RESOURCES CORPORATION,"Houston, TX 77002",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
253145,ENTERPRISE PRODUCTS TEXAS OP LLC,"Houston, TX 77210",
253312,EQUILON PIPELINE CO LLC,"Houston, TX 77002",
253347,"ERGON ENERGY PARTNERS, L.P.","Monroe, LA 71207",
253480,ERNEST OPERATING COMPANY,"Rockdale, TX 76567",81
254248,ESCONDIDO OPERATING,"Houston, TX 77024",
254244,"ESCONDIDO PETROLEUM COMPANY, INC","Houston, TX 77063",7
256995,"EXOIL RESOURCES, INC.","Lockhart, TX 78644",
257068,EXPRESS OIL CO.,"Hallettsville, TX 77964",
