Operator Number,Operator Name,Location,Leases
302614,3-D DISPOSAL LLC,"Caldwell, TX 77836",
953747,3-G OPERATING COMPANY,"Houston, TX 77244",
954998,"7711 CORPORATION, THE","Houston, TX 77002",
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
000352,A.G.A. OIL CO.,"Rockdale, TX 76567",
000845,"AARCAL ENERGY, INC.","Snook, TX 77878",
003600,"ACOCK, RANDOLPH","Corpus Chrsti, TX 78404",
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",
003968,"ADAIR & BALLINGER PETRO., INC.","Austin, TX 78734",
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008475,ADS,"Caldwell, TX 77836",
000225,"ADS OIL & GAS, INC.","Caldwell, TX 77836",
000222,"ADS OPERATING, INC.","Houston, TX 77257",
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",
008551,"AEGIS FLUIDS MANAGEMENT, LLC","Plano, TX 75093",
008584,AGCO PETROLEUM COMPANY,"Houston, TX 77002",
009130,AIM CONSULTANTS INC.,"Rockville, MD 20852",
009566,AKG OPERATING COMPANY,"Austin, TX 78701",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
011285,ALCORN PROD CO.,"Victoria, TX 77902",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
012360,"ALEXANDER PET. CONSULTANTS, INC.","Houston, TX 77024",
013230,"ALL AM, INC.","Houston, TX 77057",
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",48
013645,"ALLEN, DENNY OPERATING COMPANY","Midland, TX 79701",
018015,AMERICAN DELTA CORPORATION,"Portland, TX 78374",
017999,"AMERICAN DISPOSAL SERVICES, INC.","Sealy, TX 77474",
019361,AMERICAN ROYALTY,"Caldwell, TX 77836",
020415,AMMEX PETROLEUM CORPORATION,"Midland, TX 79702",
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",
020445,AMOCO PRODUCTION CO.-ALVIN,"Sweeny, TX 77480",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020544,ANADARKO AUSTIN CHALK COMPANY,"Houston, TX 77251",
