Operator Number,Operator Name,Location,Leases
953678,"3 W OIL, INC.","Pampa, TX 79065",
953729,"3-G OIL & GAS, INC.","Pampa, TX 79065",
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
953900,6A PRODUCTION,"Pampa, TX 79066",26
000139,A & B WELL SERVICE INC.,"Amarillo, TX 79159",
003537,ACE PLUGGING,"Stinnett, TX 79083",
005920,"ADAMS, K. S. JR.","Houston, TX 77001",
008391,ADOBE OPERATING COMPANY,"Pampa, TX 79066",
008394,"ADOBE OPERATING, INC.","Pampa, TX 79066",
008710,AGGIE OIL,"Pampa, TX 79066",
012467,ALIBATES OPERATORS,"Amarillo, TX 79114",
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",
015057,ALMAC OIL COMPANY,"Pampa, TX 79066",
016544,"AMACAN EXPLORATIONS, INC.","Oklahoma City, OK 73112",
016548,"AMACAN, LTD.","Oklahoma City, OK 73112",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020512,"AMROSERVICE, INC.","Amarillo, TX 79105",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",
020588,ANCHOR ENERGY COMPANY,"Amarillo, TX 79114",
028650,APX CORPORATION,"Houston, TX 77251",
028710,ARAPAHOE PROD. CO.,"Borger, TX 79008",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030804,"ARKOMA, SANDRA","Pampa, TX 79066",
031620,ARMOUR PROPERTIES,"Houston, TX 77056",
033130,ARRINGTON BROTHERS,"Pampa, TX 79066",
033147,ARRINGTON PRODUCTION COMPANY,"Pampa, TX 79066",
033732,ARTEX RESOURCES,"Borger, TX 79008",
035447,"ASPEN PETROLEUM, INC.","Pampa, TX 79065",
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",
041155,B & R OIL & GAS,"Borger, TX 79008",
042130,B & W OIL & GAS,"Borger, TX 79008",
040708,B-J OPERATING COMPANY,"Pampa, TX 79066",
040772,"B.M.L., INC.","Oklahoma City, OK 73112",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
049748,BAR L PRODUCERS,"Fritch, TX 79036",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
061609,BEDSTONE OPERATING CO.,"Pampa, TX 79065",
065846,BENSON-MCCOWN & COMPANY,"Amarillo, TX 79114",
068426,BEVO PRODUCTION CO.,"Amarillo, TX 79101",
068580,BHB OPERATING INC.,"Fort Worth, TX 76137",
040668,BHI ENERGY CORPORATION,"Houston, TX 77079",
069762,BIG OIL,"Borger, TX 79007",
072639,BLACK GOLD ENERGY CO.,"Oklahoma City, OK 73102",
072614,BLACK'S OIL & GAS,"Pampa, TX 79066",9
074001,"BLAIR ENERGY, INC.","Borger, TX 79008",
074167,BLAIR OIL COMPANY,"Borger, TX 79008",
077571,"BMX CORPORATION, INC.","Pampa, TX 79066",
078055,"BOB WALLACE OIL,INC.********P-5","Borger, TX 79007",
079575,BOJA OIL CO.,"Pampa, TX 79065",
083236,BORGER RESOURCES 2 LLC,"Borger, TX 79007",24
083233,BORGER RESOURCES 3 LLC,"Borger, TX 79007",6
083237,BORGER RESOURCES 4 LLC,"Borger, TX 79007",3
083796,BOURLAND & LEVERICH OIL/GAS INC.,"Pampa, TX 79066",
088619,"BRANDY OPERATING, LLC","Borger, TX 79008",
088628,BRANDY PRODUCTION,"Borger, TX 79007",
089887,"BRAVO NATURAL GAS, LLC","Tulsa, OK 74136",
090880,BRIAN PRODUCTION,"Borger, TX 79007",
103450,"BRUCE, W. L.","Pampa, TX 79065",
041530,BRW OIL & GAS,"Borger, TX 79008",
104245,BRYAN EXPLORATION COMPANY,"Panhandle, TX 79068",
104260,"BRYAN, H. E.","Panhandle, TX 79068",
110000,BURNETT CORP.,"Amarillo, TX 79105",
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
119962,C & C OIL PRODUCERS,"Borger, TX 79008",
121930,CABOT CORP.,"Amarillo, TX 79105",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
125954,CAL-T OIL COMPANY,"Borger, TX 79007",
125953,"CAL-T OIL COMPANY, INCORPORATED","Borger, TX 79008",
123670,CALDWELL OIL COMPANY,"Pampa, TX 79065",
123682,CALDWELL PRODUCTION CO. INC.,"Borger, TX 79008",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126940,"CAMEO OIL COMPANY, INC.","Skellytown, TX 79080",
130477,"CAPROCK ENGINEERING, INC.","Pampa, TX 79066",
130474,"CAPROCK ENGINEERS, INC.","Pampa, TX 79065",
130534,"CAPULIN OIL & GAS, INC.","Pampa, TX 79065",
138750,CAR-TEX INC.,"Borger, TX 79008",
138744,CARTEX PRODUCTION,"Pampa, TX 79066",3
138745,CARTEX PRODUCTION CORP.,"Pampa, TX 79066",
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",
142209,"CGSS, INCORPORATED","Pampa, TX 79066",
144183,CHANCE ENERGY CO. INC.,"Amarillo, TX 79114",
146320,"CHAR-WILL CORPORATION, INC.","Lewisville, TX 75029",
146684,CHASE OILFIELD SERVICE,"Pampa, TX 79066",
