Operator Number,Operator Name,Location,Leases
953633,2 W PETROLEUM,"Brownwood, TX 76804",
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",61
953631,3-D OIL & GAS,"Winters, TX 79567",1
953565,4 J'S PRODUCTION,"Zephyr, TX 76890",
101999,500X Operating LLC,"Andrews, TX 79714",
000240,"A & H ENERGY, INC.","Brownwood, TX 76801",
000250,A & H OIL CO.,"Houston, TX 77030",
000197,A C OPERATING CO.,"Bangs, TX 76823",
000201,"A E G OIL, INC.","Hale Center, TX 79041",
000191,A.D.H. OPERATING CO.,"Abilene, TX 79604",
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",
002557,ABERDEEN PETROLEUM (USA) INC.,"Abilene, TX 79608",
002627,"ABILENE AMERICAN ENERGY, LLC","Abilene, TX 79602",7
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",
003975,ADAMS BRANCH EXPLORATION COMPANY,"Abilene, TX 79608",
003985,ADAMS OIL CO.,"Burkett, TX 76828",
004112,"ADAMS, CHRIS A. OIL CO.","Clyde, TX 79510",
007836,ADCO OIL & GAS INC.,"Coleman, TX 76834",
007911,ADINO EXPLORATION,"Denham SPGS, LA 70726",
008235,ADLER PETROLEUM COMPANY,"Irving, TX 75060",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008482,ADVANCE EXPLORATION,"Abilene, TX 79601",2
008542,AERI INDUSTRIES CORPORATION,"Terrell, TX 75160",
008735,"AGROIL, INC.","Brownwood, TX 76801",
009430,"AKERS, B. F.","Graham, TX 76450",6
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
010600,ALBANY WELL SERVICE,"Albany, TX 76430",
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",
012350,"ALEXANDER, K. C.","Graham, TX 76450",
014981,"ALL POINTS ENERGY, INC.","Lewisville, TX 75067",
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",
014989,"ALLSOP OIL AND GAS COMPANY, INC.","Farmers BRNCH, TX 75234",
014988,"ALLSOP, M. T.","Coleman, TX 76834",
015098,"ALON USA, LP","Big Spring, TX 79720",
015133,ALPHA PETROLEUM CORP.,"Dallas, TX 75379",
015138,ALPINE PETROLEUM,"Abilene, TX 79608",
015740,ALTEX OIL CORP.,"Denver, CO 80202",
016281,ALUMNI OIL LLC,"Plano, TX 75024",1
017985,AMERICAN ENERGY,"Abilene, TX 79604",
018874,AMERICAN OPERATING COMPANY (A),"Dallas, TX 75244",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
019738,AMERICAN WEST,"Burkett, TX 76828",2
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
022925,"ANDERSON, ROGER W. CORP.","Clyde, TX 79510",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
025387,"ANEJO PRODUCTION, LLC","Electra, TX 76360",3
025507,ANGUS OIL & GAS CORP.,"Dallas, TX 75231",
025636,"ANPAT PETROLEUM, INC.","Waxahachie, TX 75165",
026810,AOP OPERATING CORPORATION,"Dallas, TX 75313",
027215,"APACHE EXPLORATION, INC.","Dallas, TX 75379",
027459,APEX LIMITED PARTNERSHIP,"Mabank, TX 75147",
027464,"APEX PETROLEUM, INC","Mabank, TX 75147",
028678,"ARABIE, INC.","Lake Charles, LA 70605",1
028802,"ARBEN OIL, INC.","Coleman, TX 76834",
028787,ARCADIAN MINERAL DEVELOPMENT,"Brownwood, TX 76801",
028757,"ARCADIAN MINERAL DEVELOPMENT,LLC","Brownwood, TX 76801",5
029215,"ARCH BEND OIL & GAS OP, LLC","White Oak, TX 75693",
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
028882,ARCHER PETROLEUM,"Frisco, TX 75034",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
