Operator Number,Operator Name,Location,Leases
953900,6A PRODUCTION,"Pampa, TX 79066",26
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",
049508,BARKER PRODUCTION CO.,"Shamrock, TX 79079",
049453,"BARKER PRODUCTION CO., LP","San Angelo, TX 76904",1
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
074560,"BLAKEMORE, INC.","Richardson, TX 75080",
090650,"BREEDING, JIMMY","Pampa, TX 79065",
130020,"CANYON RESOURCES, INC","Dallas, TX 75230",
130477,"CAPROCK ENGINEERING, INC.","Pampa, TX 79066",
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
167284,"COLES, OTIS C.","El Paso, TX 79913",
168340,COLLINGSWORTH OIL COMPANY,"Wellington, TX 79095",
170777,"CONFED OIL & GAS, INC.","Dallas, TX 75219",
189440,CRESCENT ENERGY CORP.,"Dallas, TX 75206",
195819,"CWF ENERGY, INC.","Dallas, TX 75201",
195874,"D & B PETROLEUM, INC","Amarillo, TX 79159",
195865,"D.,H., & B. PRODUCTION CO.","Olney, TX 76374",
200848,DARRAH OIL COMPANY L.L.C.,"Wichita, KS 67201",22
202198,"DAVENPORT, VERNON","Shamrock, TX 79079",
202200,"DAVENPORT, VERNON PROD. CO.","Dumas, TX 79029",
220520,DILLEY PRODUCTION CO.,"San Antonio, TX 78216",
235708,"DUNNE EQUITIES OPERATING, INC.","Houston, TX 77057",
235710,"DUNNE EQUITIES, INC.","Wichita, KS 67226",
250300,EL PASO NATURAL GAS COMPANY,"Houston, TX 77002",
254440,"ESTACADO ENERGY, INC.","Austin, TX 78716",
259780,"FAIRWAY LINKS ENERGY, INC.","Tulsa, OK 74114",
263520,"FARREX, INC.","Vernon, TX 76384",
334200,"GRIMM, JACK F.","Abilene, TX 79604",
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",
337117,GUADALUPE EXPLORATION CORP.,"Phoenix, AZ 85064",
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",57
342764,HAGLER OIL & GAS COMPANY,"Farmington, NM 87499",
363060,"HARVARD PETROLEUM COMPANY, LLC","Roswell, NM 88202",9
374995,"HEMBREE, A. W. COMPANY","Shawnee, OK 74801",
387630,"HILL, HUB, INC.","San Antonio, TX 78209",
404660,"HOUTCHENS, D. D.","Gainesville, TX 76240",
427676,"J-GAR, INC.","Amarillo, TX 79101",
427644,"J-GAR, LTD.","Amarillo, TX 79101",
427509,J.B. EXPLORATION,"Cactus, TX 79013",
429220,"JACKSON, JERAL W. INC.","Wichita Falls, TX 76307",
427883,"JROB, INC.","Shamrock, TX 79079",
462131,KIMBREL OIL CORPORATION,"Tulsa, OK 74114",
496335,"LEMON, HULEN H.","Fort Worth, TX 76163",
501830,LIONHEART ENERGY CORPORATION,"Durango, CO 81301",9
536110,MAYFIELD ENGINEERING SERVICE,"Tulsa, OK 74104",
547865,MCDONALD PRODUCTION CO.,"Lubbock, TX 79493",
548192,MCDOWELL RANCH,"Shamrock, TX 79079",1
550665,"MCKENNA OPERATING, INC.","Cedar Creek, TX 78612",
561132,MERIDIAN OIL INC.,"Houston, TX 77210",
561133,MERIDIAN OIL PRODUCTION INC.,"Houston, TX 77210",
585890,MORGAN WELL TRUST T. MCKENNA,"Cedar Creek, TX 78612",
586560,MORGAS,"Shamrock, TX 79079",
617042,O'RYAN OIL AND GAS,"Odessa, TX 79768",43
619608,OIL CREEK PRODUCTION CO. INC.,"Prague, OK 74864",
637966,"PANHANDLE CONSULTANTS, INC.","Amarillo, TX 79121",
639025,PARALLEL PETROLEUM CORPORATION,"Midland, TX 79702",
651150,PENDLETON & VAUGHAN,"Shamrock, TX 79079",
651880,"PENNINGTON, W. L., INC.","Wichita Falls, TX 76301",
665450,PIKE OIL CO.,"Pampa, TX 79066",
101404,"PNG GATHERING, LLC","Wellington, TX 79095",25
675765,PRAIRIE ENERGY COMPANY,"Fort Worth, TX 76185",
676042,"PREMIER ENERGY, INC.","Shamrock, TX 79079",
684634,QUESTA ENERGY CORPORATION,"Amarillo, TX 79159",51
684641,"QUESTA OPERATING COMPANY, LLC","Amarillo, TX 79159",15
701746,RENEAU OIL CO.,"Shamrock, TX 79079",
701750,"RENEAU, JAMES R.","Shamrock, TX 79079",
701747,"RENEAU, JAMES SEED CO.","Shamrock, TX 79079",
710680,RICON PETROLEUM COMPANY,"Shamrock, TX 79079",
748031,"SANDSPUR RESOURCES, INC.","Wellington, TX 79095",
760218,SCOUT ENERGY MANAGEMENT LLC,"Dallas, TX 75240",3159
769125,SHAMROCK TEXAS PARTNERS L.P.,"San Angelo, TX 76904",34
779990,"SIDWELL OIL & GAS, INC.","Amarillo, TX 79105",
780000,"SIDWELL OPERATING COMPANY, L.P.","Amarillo, TX 79105",
740337,"SLT DAKOTA OPERATING, INC.","Yukon, OK 73099",
811035,STAHL PETROLEUM CO.,"Amarillo, TX 79118",
821850,STINE-HAWKINS,"Mansfield, TX 76063",4
829627,SUNOCO PIPELINE L.P.,"Houston, TX 77002",
830245,"SUPA ENERGY, INC.","Shamrock, TX 79079",
836247,TASCOSA PETROLEUM CORPORATION,"Amarillo, TX 79105",
846950,"TEXAS-PETROTECH, INC.","St Claire, MI 48079",
858308,THROCKMORTON OPERATING,"Shamrock, TX 79079",
860869,TISCH OIL & GAS PROPERTIES,"Dallas, TX 75206",
871350,TROXELL OIL & GAS,"Shamrock, TX 79079",
871363,"TROXELL, B. R.","Shamrock, TX 79079",
914231,WHEELER OIL CO. (A),"Amarillo, TX 79114",
914230,WHEELER OIL COMPANY,"Fort Worth, TX 76102",
923295,WILDCAT CEMENT CO.,"Shamrock, TX 79079",
924600,WILLIAMS & BOREN,"Borger, TX 79007",
932957,"WISCHKAEMPER, JAMES K.","Shamrock, TX 79079",
932970,"WISCHKAEMPER, KENNETH","Shamrock, TX 79079",81
