Operator Number,Operator Name,Location,Leases
953805,3 H WELL SERVICE INC.,"Myra, TX 76253",
753877,"375 ENERGY, INC.","Houston, TX 77002",
953808,"6 HESS, LLC","Muenster, TX 76252",
002611,"ABERNATHY AUTO, INC.","Abilene, TX 79604",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
007868,"ADDISON - GRAVES, L.L.C.","Archer City, TX 76351",2
007854,"ADDISON, KENNETH","Archer City, TX 76351",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
000224,AEC OIL & GAS (USA) INC.,"Denver, CO 80202",
008596,"AETERNUM ENERGY, LLC","Nederland, TX 77627",16
013639,"ALLEN, C. L. (DOIE)","Wichita Falls, TX 76309",6
015053,ALLTEX PETROLEUM,"Bedford, TX 76095",
016944,AMEN OIL LLC,"Graham, TX 76450",
018240,AMERICAN HYDROCARBON CORPORATION,"Dallas, TX 75225",
019768,AMERICORP PETROLEUM COMPANY,"Houston, TX 77068",
020240,"AMIS, WILLIAM J.","Tyler, TX 75711",
026800,"AOG, INC.","Norman, OK 73070",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029700,ARGEE OIL COMPANY,"Midland, TX 79702",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",
033523,"ARROWHEAD PRODUCTIONS, LP","Fort Worth, TX 76109",
033762,"ARUBA PETROLEUM, INC.","Dallas, TX 75379",
035430,"ASPEN OPERATING COMPANY, L.L.C.","Fort Worth, TX 76116",3
036054,ATEX EXPLORATION & OPERATING CO.,"Whitesboro, TX 76273",21
036080,"ATKINSON, JIM","Nocona, TX 76255",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",20
036840,AUGUST OIL,"Plano, TX 75093",
039750,"AZTECA PETROLEUM, LLC","Fort Worth, TX 76106",
040765,"B & N PETROLEUM, INC.","Longview, TX 75606",
040606,B&J OIL AND GAS,"Kilgore, TX 75663",
040662,B-K OPERATING,"Whitesboro, TX 76273",
042444,BAENSCH OIL COMPANY,"Dallas, TX 75243",
048219,BALSON OIL CO.,"Austin, TX 78761",
049920,"BARNES, E. T. AND J. B.","Gainesville, TX 76240",
050260,"BARNES, JERRY B.","Gainesville, TX 76241",
052367,"BARNHILL, MONTE","Muenster, TX 76252",1
053110,BARRETT OIL CO.,"White Oak, TX 75693",
055145,"BASTROP OIL & GAS, INC.","Wichita Falls, TX 76301",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
057975,"BAYER, ARTHUR","Muenster, TX 76252",
057977,"BAYER, FRANCES E. REV LIV TRUST","Muenster, TX 76252",
057980,"BAYER, J. H.","Gainesville, TX 76240",
057981,"BAYER, J.H. & SONS INC","Gainesville, TX 76240",
060120,BEAR FOOT OIL CO.,"Gainesville, TX 76240",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
064107,"BENCO OPERATING, INC.","Fort Worth, TX 76102",
064129,BEND PETROLEUM CORP.,"Muenster, TX 76252",
065320,"BENNETT RESOURCES, INC.","Graham, TX 76450",2
066005,BENTLEY & LAING,"Wichita Falls, TX 76308",
069060,BIFFLE OPERATING COMPANY,"Muenster, TX 76252",
069061,BIFFLE OPERATING LLC,"Muenster, TX 76252",
069063,"BIFFLE, DAVID L.","Muenster, TX 76252",
069066,"BIFFLE, JIMMY JACK","Muenster, TX 76252",
069080,"BIFFLE, STEVEN GERALD","Thackerville, OK 73459",
069338,"BIG COUNTRY PIPE & SUPPLY, INC.","Saint Jo, TX 76265",
