Operator Number,Operator Name,Location,Leases
194397,"1920 ENERGY, LLC","Allen, TX 75013",19
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
007861,"ADDWEST MINERALS, INC.","Arvada, CO 80002",
008587,"AGAVE OPERATING, LP","Midland, TX 79702",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
101239,"Antelope Energy Partners, LLC","Houston, TX 77043",9
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028612,APR OPERATING LLC,"Midland, TX 79701",
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
032210,"ARMSTRONG, JOHN COLE","Pecos, TX 79772",
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033176,ARRIS OPERATING COMPANY LLC,"Denver, CO 80202",
035633,ATAPCO,"Houston, TX 77040",
036546,"ATLANTIC OPERATING, INC.","Midland, TX 79702",
036555,"ATLANTIC RESOURCES COMPANY, LLC","Houston, TX 77002",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
037980,"AVANCE OIL & GAS CO., INC.","Houston, TX 77042",
039801,B & B OPERATING COMPANY,"Odessa, TX 79760",
040784,B & L OIL AND GAS,"Loco Hills, NM 88255",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
058893,"BC OPERATING, INC.","Midland, TX 79710",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068596,BHP BILLITON PET(TXLA OP) CO,"Denver, CO 80202",
070445,"BIG STAR OIL & GAS, LLC","Midland, TX 79710",
100204,"Black Top Operating, LLC","Midland, TX 79706",7
073064,BLACKBUCK RESOURCES LLC,"Houston, TX 77027",
074004,"BLAIR EXPLORATION, INC.","Midland, TX 79702",
085182,BOYKIN ENERGY LLC,"Fort Worth, TX 76102",
085408,BPX OPERATING COMPANY,"Denver, CO 80202",1191
088380,BRAHANEY DRILLING CO.,"Midland, TX 79702",
088581,"BRAHMAN OIL & GAS, LLC","Houston, TX 77063",6
101454,"BROWN, OLIVER OIL","San Angelo, TX 76906",
104150,"BRUNO, EARL R.","Kerrville, TX 78029",
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
041867,"BTA OIL PRODUCERS, LLC","Midland, TX 79701",120
109160,"BURKHOLDER, TERRY L., INC.","Pecos, TX 79772",
111020,"BURNS, R. L. CORPORATION","Dallas, TX 75270",
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
124807,CALLON (PERMIAN) LLC,"Houston, TX 77042",
126764,CAMBRIAN MANAGEMENT LTD,"Midland, TX 79702",
126758,"CAMBRIAN MANAGEMENT, LTD.","McCaulley, TX 79534",8
130061,"CAPITAN ENERGY, INCORPORATED","Carlsbad, NM 88221",72
135316,CARRIZO (EAGLE FORD) LLC,"Houston, TX 77042",
135317,CARRIZO (PERMIAN) LLC,"Houston, TX 77042",
144654,"CHAPMAN, FORD OPERATING, INC.","Midland, TX 79702",
146364,"CHARGER SHALE OIL OPERATING, LLC","Austin, TX 78704",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
