Operator Number,Operator Name,Location,Leases
953786,"5H OIL CO., LLC","Dallas, TX 75225",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
000254,A.K.C. OPERATING,"Midland, TX 79708",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008575,"AGAR & AGAR, INC.","Midland, TX 79702",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
009120,"AIKMAN, WILLIAM H.","Midland, TX 79705",
000597,"AJAX RESOURCES, LLC","Houston, TX 77046",
012465,ALHANCO ENERGY CORPORATION,"Midland, TX 79701",
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",
019982,AMIGO PETROLEUM INC.,"Midland, TX 79702",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
025687,ANTARES ENERGY COMPANY,"Houston, TX 77010",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027426,APEX MINERALS CO.,"Midland, TX 79701",
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
028723,ARATEX PRODUCTION COMPANY,"Denver, CO 80202",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
029413,ARD DRILLING COMPANY INC.,"Abilene, TX 79604",
029589,"ARDEN ENERGY PARTNERS, INC.","San Angelo, TX 76906",
029860,ARGO PETROLEUM CORPORATION,"Midland, TX 79708",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",
035410,"ASPEN EXPLORATION, INC.","Houston, TX 77002",
036574,ATLAS ENERGY CORPORATION (DEL.),"Oklahoma City, OK 73112",
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",23
036741,"ATX OPERATING COMPANY, INC.","Austin, TX 78746",
038723,AVRA OIL COMPANY,"Dallas, TX 75248",12
048175,BANAM CORPORATION,"Midland, TX 79702",
049772,"BAR-BELL, INC.","Midland, TX 79708",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054836,"BASS PETROLEUM, INC","Austin, TX 78716",
056545,"BAXTER, D. B.","Midland, TX 79701",
056550,"BAXTER, D. B. INC.","Midland, TX 79708",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
058834,BAYRIDGE TEXAS CORP.,"Big Spring, TX 79720",
058873,"BAYTECH, INC.","Midland, TX 79702",
058893,"BC OPERATING, INC.","Midland, TX 79710",
040202,BCM ENERGY OPERATING LLC,"Lafayette, LA 70503",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
061142,BECHTEL ENERGY RESOURCES CORP.,"Houston, TX 77210",
061143,"BECHTEL INVESTMENTS, INC.","Houston, TX 77210",
061157,"BECKER, CLYDE M.","Ponca City, OK 74601",
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",
061739,BEE-JAY ENERGY,"Whiteface, TX 79379",
061747,"BEE-JAY PETRO, INC.","Levelland, TX 79336",
064785,"BENNETT, M. BRAD INC.","Midland, TX 79710",
068030,BERRY EXPLORATION CORPORATION,"Oklahoma City, OK 73102",
068157,BERRY OIL COMP.,"Houston, TX 77002",
068209,"BERYL OIL AND GAS, LP","Midland, TX 79710",3
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
070445,"BIG STAR OIL & GAS, LLC","Midland, TX 79710",
071331,"BIRCH OPERATIONS, INC.","Houston, TX 77010",184
072762,"BLACK SWAN OPERATING, LLC","Denver, CO 80202",
074001,"BLAIR ENERGY, INC.","Borger, TX 79008",
074004,"BLAIR EXPLORATION, INC.","Midland, TX 79702",
074110,"BLAIR, JACK N.","Midland, TX 79702",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
082512,"BONNER, BOBBY","Midland, TX 79702",
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",5
085406,"BQH OPERATING, LLC","Midland, TX 79704",
088380,BRAHANEY DRILLING CO.,"Midland, TX 79702",
088440,"BRAHANEY DRILLING COMPANY, LTD.","Midland, TX 79702",
089961,BRAZOS PETROLEUM CO.,"Midland, TX 79702",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093125,BRIGHT & CO.,"The Colony, TX 75056",
097032,"BROOKS, BILLEE K.","Dallas, TX 75206",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
100268,"BROWN, H. L., JR.","Midland, TX 79702",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
041867,"BTA OIL PRODUCERS, LLC","Midland, TX 79701",120
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
109255,"BURLESON PETROLEUM, INC.","Midland, TX 79702",32
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
112682,BUSTAMANTE RESOURCES LLC,"Midland, TX 79710",30
114040,"BUTLER, KEVIN O.","Midland, TX 79702",
114050,"BUTLER, KEVIN O. & ASSOC., INC.","Midland, TX 79702",
118748,BYRD OPERATING COMPANY,"Midland, TX 79702",15
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
124828,CALLON PETROLEUM OPERATING CO,"Houston, TX 77042",
126758,"CAMBRIAN MANAGEMENT, LTD.","McCaulley, TX 79534",8
130021,CANYON REEF BRINE LLC,"Snyder, TX 79550",
130482,"CAPROCK OPERATING, INC.","Midland, TX 79708",
132340,CARLOW CORP.,"Midland, TX 79702",
135810,CARRLAND OIL & GAS INC.,"Prosper, TX 75078",1
140904,"CELERO ENERGY II, LP","Midland, TX 79701",
140903,"CELERO ENERGY, L.P.","Midland, TX 79701",
141032,CENERGY EXPLORATION COMPANY,"Houston, TX 77068",
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",
120105,"CFO RESOURCES, INC.","Corpus Chrsti, TX 78412",
142194,"CGS OPERATING, LLC","Kilgore, TX 75663",
142320,CHALLENGER MINERALS INC.,"Houston, TX 77079",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
146677,"CHASE, MACK C.","Artesia, NM 88210",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147862,"CHEVRON MIDCONTINENT, L.P.","Midland, TX 79706",29
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
120559,"CJ ENERGY, LLC","Midland, TX 79711",
161671,"COASTAL PLAINS ENERGY, INC.","Oklahoma City, OK 73112",23
162726,"COBALT OPERATING, LLC","Midland, TX 79710",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
166150,COG OPERATING LLC,"Midland, TX 79701",1312
167035,"COLA PETROLEUM, INC.","Midland, TX 79701",
168348,"COLLINS & WARE, INC.","Midland, TX 79701",
169230,COLUMBIA GAS DEVELOPMENT CORP.,"Houston, TX 77251",
169751,"COMPASS ENERGY OPERATING, LLC","Tulsa, OK 74136",90
170037,"COMSTOCK ENERGY, LLC","Wichita Falls, TX 76301",16
170181,CONCHO RESOURCES INC.,"Oklahoma City, OK 73154",
172230,CONOCO INC.,"Houston, TX 77252",
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",119
173740,CONTINENTAL OIL COMPANY,"Unknown, XX 99999",
173785,"CONTINENTAL U S EXPLORATION, INC","Dallas, TX 75220",
176241,"COOPER, ROY D.","Lamesa, TX 79331",
177030,COPPER RIDGE RESOURCES LLC,"Midland, TX 79710",
177570,COQUINA OIL CORPORATION,"Houston, TX 77227",
180528,COSEKA RESOURCES (U.S.A.) LTD.,"Denver, CO 80202",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
185980,"COX, JOHN L.","Midland, TX 79702",
186463,"CRAIG, EARLE M. JR. CORP.","Midland, TX 79702",
120773,CRB SWD LLC,"Dallas, TX 75219",
188576,"CREEK OPERATING COMPANY, INC.","Dallas, TX 75205",
189909,CRESTMONT OPERATING LLC,"New York, NY 10151",
190469,"CROSS TIMBERS ENERGY, LLC","Fort Worth, TX 76102",56
190674,"CROSSFOOT OPERATING, LLC","Houston, TX 77227",
190661,"CROSSTEX SERVICES, L.L.C.","Tuscola, TX 79562",18
191250,"CROW, DAVID","Shreveport, LA 71106",
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",
191554,"CROWNQUEST OPERATING, LLC","Midland, TX 79710",7
195823,"D & B OPERATING, INC.","Midland, TX 79701",
197416,"DAKOTA RESOURCES, INC. (I)","Midland, TX 79707",
197634,DALEN RESOURCES OIL & GAS CO.,"Dallas, TX 75206",
197841,"DALLAS SUNBELT OIL & GAS, INC.","Irving, TX 75016",
198078,DAMCO ENERGY CORPORATION,"Midland, TX 79701",
202309,"DAVID, ROGER D. INC.","Midland, TX 79701",
203522,DAVIS & CARR ENERGY CO.,"Midland, TX 79702",
100168,"DE IV Operating, LLC","Fort Worth, TX 76107",194
209280,DECK OIL COMPANY,"Tulsa, OK 74172",
101491,Deep Blue Operating I LLC,"The Woodlands, TX 77380",
213350,DELTA DRILLING CO.,"Kilgore, TX 75662",
216427,DENTON RESOURCES LLC,"Midland, TX 79710",
216776,DEVON CORP.,"Oklahoma City, OK 73102",
216735,DEVON ENERGY CORPORATION(NEVADA),"Oklahoma City, OK 73102",
216744,DEVON ENERGY OPERATING CORP.,"Oklahoma City, OK 73102",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
216731,DEVON LOUISIANA CORPORATION,"Houston, TX 77002",
216738,"DEVON SFS OPERATING, INC.","Oklahoma City, OK 73102",
217012,DIAMONDBACK E&P LLC,"Midland, TX 79701",2214
220711,DINERO OPERATING COMPANY,"Midland, TX 79702",2
220865,"DISCOVERY OPERATING, INC.","Midland, TX 79705",125
222287,"DOMINION OPERATING, LLC","Midland, TX 79708",
223475,"DORCHESTER EXPLORATION, INC.","Houston, TX 77210",
224848,DOUBLE EAGLE DRILLING CO.,"Farmers BRNCH, TX 75234",
224852,DOUBLE EAGLE PETROLEUM CORP,"Evansville, IN 47725",
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",
227780,"DP PERMIAN OPERATOR, LLC","Houston, TX 77024",12
227845,"DRACO ENERGY, INC.","Midland, TX 79701",
236330,"DURHAM, INC.","Midland, TX 79701",
238558,E.G. OPERATING,"Dallas, TX 75206",
238522,"E.G.L. RESOURCES, INC.","Midland, TX 79702",
238745,"EAGLE CAPITAL PARTNERS, LLC","Eunice, NM 88231",11
239725,"EASTLAND OIL COMPANY, THE","Midland, TX 79702",5
240125,"ECHO PRODUCTION, INC.","Graham, TX 76450",46
243206,"EDGE OIL AND GAS, LLC","Abilene, TX 79602",
238527,EEX CORPORATION,"Houston, TX 77060",
246561,"ELAM, JACK G., INC.","Midland, TX 79702",
246565,"ELAND ENERGY, INC.","Dallas, TX 75248",
247685,"ELEMENT PETRO OPERATING II, LLC","Midland, TX 79701",
247680,"ELEMENT PETROLEUM OPERATING, LLC","Midland, TX 79701",
247760,"ELK RIVER RESOURCES, LLC","The Woodlands, TX 77382",
251726,ENDEAVOR ENERGY RESOURCES L.P.,"Midland, TX 79701",1182
251926,ENERGAS COMPANY,"Lubbock, TX 79408",
252002,ENERGEN RESOURCES CORPORATION,"Midland, TX 79701",
252033,"ENERGY HUNTER RESOURCES, INC.","Houston, TX 77024",
251970,ENERGY PRODUCTION CO.,"Dallas, TX 75231",
252008,ENERGY RESOURCES OIL & GAS CORP.,"Amarillo, TX 79102",
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
252125,"ENGELKE, R. H.","San Antonio, TX 78230",
251744,"ENHANCED MIDSTREAM, LLC","Fort Worth, TX 76102",
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253112,ENVIRONMENTAL DISPOSAL SYSTEMS,"Midland, TX 79701",
253105,"ENVIRONMENTAL DSPL SYSTEMS, LLC","Midland, TX 79701",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253229,EP OPERATING LIMITED PARTNERSHIP,"Dallas, TX 75201",
254455,"ESTANCIA OIL & GAS, LLC","Austin, TX 78716",19
256913,EXCO PARTNERS OPERATING PTSHP LP,"Dallas, TX 75251",
256931,"EXCO RESOURCES, INC.","Dallas, TX 75251",
256928,"EXCO/HGI JV ASSETS, LLC","Dallas, TX 75251",
256793,"EXL PETROLEUM OPERATING II, INC.","Midland, TX 79705",
256795,EXL PETROLEUM OPERATING INC.,"Midland, TX 79705",
257062,EXTEX OPERATING COMPANY,"Houston, TX 77057",486
257097,EXXON CORP.,"Houston, TX 77210",
