Operator Number,Operator Name,Location,Leases
000820,"AA DELTA EXPLORATION, INC.","Houston, TX 77077",
003400,ACCO OIL & GAS COMPANY,"Houston, TX 77056",
003568,"ACIERTO RESOURCES COMPANY, LLC","Houston, TX 77070",3
003605,ACOMA OIL CORPORATION,"Saint Paul, MN 55102",2
003925,"ADA RESOURCES, INC.","Houston, TX 77001",
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
011495,"ALEXANDER LAND & DEV. CO., INC.","Giddings, TX 78942",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",4
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015744,"ALTMAN ENERGY, INC.","Tulsa, OK 74114",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018044,"AMERICAN ENERGY OP. CORP.,THE","Houston, TX 77099",
018041,"AMERICAN ENERGY SOURCES, INC.","Spring, TX 77388",
018060,AMERICAN HUNTER EXPLORATION LTD.,"Canada, 00100",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
020213,AMINOIL INC.,"Denver, CO 80237",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020544,ANADARKO AUSTIN CHALK COMPANY,"Houston, TX 77251",
020569,"ANAQUA OIL & GAS, INC.","Corpus Chrsti, TX 78401",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027226,"APACHE EXPLORATION, INC. (I)","Houston, TX 77075",
028630,"APPLING, R. C., JR.","Houston, TX 77035",
028637,"AQUILA STORAGE & TRANS., L.P.","San Antonio, TX 78258",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",1
035633,ATAPCO,"Houston, TX 77040",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036581,"ATLAS OIL & GAS EXPLORATION, LLC","Cedar Park, TX 78613",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036579,ATLAS PETRO LTD. L.C.,"Houston, TX 77290",
036593,"ATMIC, INC.","Houston, TX 77002",
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
039673,"AZTEC EXPLORATION, INC.","Beverly Hills, CA 90212",
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",
044343,BAKER ATLAS,"Houston, TX 77079",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
052210,BARNHART CO.,"Houston, TX 77056",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
058861,"BAYPORT OPERATING, INC.","Houston, TX 77253",
061990,BEJO CORPORATION,"Richmond, TX 77407",
066722,"BEPCO, L.P.","Fort Worth, TX 76102",
069342,BIG CREEK OPERATING COMPANY LLC,"Houston, TX 77065",6
072644,"BLACK GOLD OPERATING CO., INC.","San Antonio, TX 78209",
072703,"BLACK JACK RESOURCES, INC.","Houston, TX 77227",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
076395,"BLUCO PRODUCTION CO., INC.","Austin, TX 78716",3
076776,"BLUE RIDGE OPERATING COMPANY,INC","Ashland, OR 97520",
100436,Blue Ridge Operating LLC,"Willis, TX 77378",
076820,BLUEBONNETT EXPLORATION COMPANY,"Pearland, TX 77581",
081286,"BOLING PRODUCTION COMPANY, INC.","Boling, TX 77420",8
082967,"BOPCO, L.P.","Midland, TX 79701",
082993,BORDER EXPLORATION CO.,"Houston, TX 77046",
083286,BOSTON OIL LIMITED 1973,"Dallas, TX 75240",
084355,"BOWMAN, EDWARD L., INC.","Houston, TX 77010",
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",33
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
089908,"BRAY-CONN RESOURCES, LLC","Wichita Falls, TX 76307",
089936,BRAYTON OPERATING CORP.,"Corpus Chrsti, TX 78476",
089966,BRAZOS OIL & GAS,"Gainesville, TX 76240",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
093409,"BRINKERHOFF-TURNER CO., LTD.","Sugar Land, TX 77478",
097400,BROONER EXPLORATION,"San Antonio, TX 78209",
097478,BROTHERS PRODUCTION COMPANY INC.,"Midland, TX 79708",
097520,"BROWN & MCKENZIE, INC.","Houston, TX 77063",
103564,"BRUINGTON OPERATING, L.L.C.","San Antonio, TX 78217",
106509,BULLDOG OILFIELD&SW SERVICES INC,"Garwood, TX 77442",
114125,"BUTLER, FARRELL G. JR.","Pearland, TX 77584",
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
120079,"C & E OPERATING, INC.","Hockley, TX 77447",
121930,CABOT CORP.,"Amarillo, TX 79105",
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
126834,"CAMDEN OIL & GAS, INC.","Farmers BRNCH, TX 75234",
126837,"CAMDEN RESOURCES, INC.","Farmers BRNCH, TX 75234",
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
127449,"CAMOIL, INC.","Columbus, TX 78934",
130830,CARDINAL WELL SERVICE INC.,"Conroe, TX 77305",
131880,"CARL, W. E.","Corpus Chrsti, TX 78471",
131881,"CARL, W. E.-HAWN BROS.","Corpus Chrsti, TX 78471",
138630,"CARTER-LANGHAM, INC.","Dallas, TX 75205",1
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",
139646,"CASTLE EXPLORATION COMPANY, INC","Blue Bell, PA 19422",
140541,CAVALRY RESOURCES LLC,"The Woodlands, TX 77380",
120060,CDE EXPLORATION COMPANY,"Houston, TX 77218",
141032,CENERGY EXPLORATION COMPANY,"Houston, TX 77068",
146832,"CHALK CREEK INVESTMENTS, LLC","El Campo, TX 77437",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144989,CHAPMAN OIL,"Houston, TX 77002",
146152,"CHAPMAN, ROGER INC.","Houston, TX 77002",
146654,CHART ROOM INVESTMENTS,"Houston, TX 77079",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148223,CHIEF OPERATING COMPANY,"Houston, TX 77070",
150790,CHRISTENSEN & MATTHEWS,"Houston, TX 77040",
150823,"CHRISTEVE OIL COMPANY, INC.","Houston, TX 77068",
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
