Operator Number,Operator Name,Location,Leases
953825,"100 C & H OIL AND GAS, LLC","San Antonio, TX 78248",1
953562,"1776 ENERGY OPERATORS, LLC","Houston, TX 77070",36
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
953755,3 W INVESTMENTS,"Charlotte, TX 78011",
953810,3 W INVESTMENTS LLC,"San Antonio, TX 78217",
953728,3-L DRILLING,"Abilene, TX 79605",
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",
000891,"AARONMARK SERVICES, LLC","New Braunfels, TX 78130",19
002611,"ABERNATHY AUTO, INC.","Abilene, TX 79604",
003575,"ACIETEROS, LTD.","Austin, TX 78761",
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003608,"ACORN OIL & GAS, INC.","Orchard, TX 77464",
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",10
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",
008528,"AERO-GEO ENERGY, INC.","San Antonio, TX 78216",
008571,AGAPE ENERGY INC.,"San Antonio, TX 78280",
008625,"AGERON ENERGY, LLC","San Antonio, TX 78209",27
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
010076,"ALAMO TRANSPORT, INC.","Tyler, TX 75710",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
011200,ALCO DRLG. CO.,"Freer, TX 78357",
014100,"ALLERCO, INC.","San Antonio, TX 78209",
014120,"ALLERKAMP, ERNEST E.","Cotulla, TX 78014",
014475,ALLIED PRODUCTION CORP.,"Houston, TX 77063",
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",
100434,Alvarado 2014 LLC,"Houston, TX 77027",4
016551,"AMAC ENERGY, L.L.C.","The Woodlands, TX 77381",1
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016881,"AMBASSADOR PETROLEUM, INC.","Katy, TX 77494",
016884,AMBERTON EXPLORATION COMPANY,"Pleasanton, TX 78064",
017995,"AMERICAN DISPOSAL SERVICES,LTD","Marble Falls, TX 78654",
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",
018060,AMERICAN HUNTER EXPLORATION LTD.,"Canada, 00100",
019754,AMERICANA FUEL TRUCKING,"Falfurrias, TX 78355",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
024342,ANDREWS OIL COMPANY,"Houston, TX 77279",
026460,ANTICOE OIL & DEVELOPMENT CO.,"San Antonio, TX 78247",
026810,AOP OPERATING CORPORATION,"Dallas, TX 75313",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",
029670,ARESCO OPERATING LLC,"Prosper, TX 75078",
029657,"ARETE OPERATING COMPANY, LLC","Austin, TX 78746",45
030575,"ARK ENERGY, INC.","Houston, TX 77056",
033060,"ARPEL, INC.","Oklahoma City, OK 73102",
033103,"ARRCO OPERATING, LLC","Carrizo SPGS, TX 78834",9
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",
033200,ARROW PETROLEUM COMPANY,"San Antonio, TX 78209",
034195,"ASHBY, ANDREW M.","Golden, CO 80401",
034240,ASHER PETROLEUM CORP.,"Dallas, TX 75214",
034241,ASHER RESOURCES,"Boerne, TX 78006",
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",
035450,ASPEN SERVICES,"Dallas, TX 75201",
035631,"ASTRO PRODUCTION, INC.","San Antonio, TX 78216",
035638,"ATASCO, INC.","Pleasanton, TX 78064",
036043,"ATERRA EXPLORATION, LLC","San Antonio, TX 78216",
036567,"ATLANTIS ENERGY, INCORPORATED","Dallas, TX 75374",
036574,ATLAS ENERGY CORPORATION (DEL.),"Oklahoma City, OK 73112",
036742,"AUBURN ENTERPRISES, INC.","Kyle, TX 78640",
037056,AUSTIN OIL COMPANY,"San Antonio, TX 78213",
037875,AV-TECH RESOURCES CORPORATION,"Kerrville, TX 78028",
038705,AVIGHNA ENERGY INC,"Sugar Land, TX 77487",
038889,AWP OPERATING COMPANY,"George West, TX 78022",35
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039807,B & B OIL AND GAS PARTNERS,"Carrizo SPGS, TX 78834",
041852,"B.T.E. OIL OPERATOR, INC.","Austin, TX 78731",
045806,"BAKER, JAMES A. III","Houston, TX 77002",
047157,"BALCONES OIL CO., INC.","Austin, TX 78711",
049772,"BAR-BELL, INC.","Midland, TX 79708",
049145,"BARBEE, R.L. OPERATING, INC.","Corpus Chrsti, TX 78427",
050340,"BARNES, LARRY PETROLEUM, INC.","Englewood, CO 80112",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
052969,BARON ENERGY INC.,"San Marcos, TX 78666",4
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054600,BASIN RESOURCES CORPORATION,"Dallas, TX 75230",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
058832,"BAYLOR OPERATING, LLC","Austin, TX 78766",10
058842,BAYSHORE OPERATING CO.,"Ingleside, TX 78362",
058902,"BAYSHORE OPERATING CORP., L.L.C.","Luling, TX 78648",
060049,"BEARD ENERGY GROUP, INC.","Houston, TX 77092",
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
064104,"BENCHMARK TEXAS PETROLEUM, LLC.","Tulsa, OK 74103",
064129,BEND PETROLEUM CORP.,"Muenster, TX 76252",
066993,BERENERGY CORPORATION,"Denver, CO 80217",
068184,BERRYMAN ENERGY CORPORATION,"San Antonio, TX 78232",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
070738,BIGFOOT OIL LLC,"Denver, CO 80206",2
072644,"BLACK GOLD OPERATING CO., INC.","San Antonio, TX 78209",
072744,"BLACK SABLE ENERGY, LLC","San Antonio, TX 78209",
073027,"BLACKBRUSH O & G, INC.","San Antonio, TX 78258",
073059,"BLACKBRUSH O & G, LLC","San Antonio, TX 78259",159
075693,"BLEDSOE, R.K. TRUST OIL OPERATOR","Jourdanton, TX 78026",
075784,"BLOCK ""T"" PETROLEUM, INC.","Tyler, TX 75707",59
