Operator Number,Operator Name,Location,Leases
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",
000555,"A.O.E. OPERATORS, INC.","Fulshear, TX 77441",
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
003526,"ACE FIELD SERVICES, INC.","Houston, TX 77036",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",10
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008390,ADOBE OIL CO.,"Unknown, XX 99999",
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010070,ALAMO PET. CO.,"Houston, TX 77042",
012464,"ALGOA OPERATING COMPANY, LLC","Houston, TX 77077",
014464,ALLIED OPERATING COMPANY,"Houston, TX 77006",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
017997,AMERICAN DISCOVERY ENERGY INC,"Graham, TX 76450",
018870,AMERICAN OPERATING COMPANY,"Kilgore, TX 75663",
018890,"AMERICAN PENN ENERGY, INC.","Canada, 00100",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019356,"AMERICAN RESOURCES, INC.","Houston, TX 77079",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020445,AMOCO PRODUCTION CO.-ALVIN,"Sweeny, TX 77480",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020538,"AMX ENERGY, INC.","Tyler, TX 75701",1
025490,ANGLO PRODUCTION COMPANY,"Dallas, TX 75201",
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",
028656,API OPERATING CO.,"Houston, TX 77036",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",
035452,ASPECT RESOURCES LLC,"Denver, CO 80202",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
039661,"AZIMUTH ENERGY, LLC","Denver, CO 80203",
046641,"BAKER, R. L.","West Columbia, TX 77486",
048153,"BALGOA, INC.","Beaumont, TX 77701",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
068190,BERTMAN DRILLING&PRODUCING CORP.,"Liberty, TX 77575",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
070373,BIG SANDY OIL INC.,"Manchaca, TX 78652",
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",
072485,BLACK WATER ENVIRONMENTAL L.L.C.,"Texas City, TX 77590",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
076776,"BLUE RIDGE OPERATING COMPANY,INC","Ashland, OR 97520",
082993,BORDER EXPLORATION CO.,"Houston, TX 77046",
085408,BPX OPERATING COMPANY,"Denver, CO 80202",1191
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
115750,BUTTES RESOURCES COMPANY,"Houston, TX 77056",
121217,"CA-TEX PETROLEUM, INC.","Houston, TX 77058",
121930,CABOT CORP.,"Amarillo, TX 79105",
124824,CALLON PETROLEUM CO.,"Natchez, MS 39120",
124828,CALLON PETROLEUM OPERATING CO,"Houston, TX 77042",
130342,"CAPCO OFFSHORE OF TEXAS, INC.","Houston, TX 77056",
130335,"CAPCO OFFSHORE, INC.","Irving, TX 75063",
130349,CAPCO OPERATING CORPORATION,"Irving, TX 75063",
130352,CAPCO RESOURCES CORPORATION,"Irving, TX 75016",
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",
140542,"CAVERN CONSULTANTS, INC.","Hattiesburg, MS 39402",
140700,CEDAR POINT OIL COMPANY,"Baytown, TX 77520",
142250,"CHAIN OIL & GAS, INC.","Houston, TX 77024",
142330,CHALLENGER OIL,"San Antonio, TX 78209",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144989,CHAPMAN OIL,"Houston, TX 77002",
145860,CHAPMAN OIL CO.,"Oakwood, GA 30566",
149427,CHILTON ENERGY,"Corpus Chrsti, TX 78401",
150655,"CHOICE EXPLORATION, INC.","Irving, TX 75063",
153205,CHRISTOPHER OIL & GAS INC,"Fulshear, TX 77441",
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
153446,CIMARRON ENGINEERING CORP.,"Kingsville, TX 78364",
155239,"CLARK RESOURCES, INC.","Houston, TX 77238",
158276,CLARON CORPORATION,"Houston, TX 77219",
158927,"CLAY EXPLORATION, INC.","Spring, TX 77387",
160606,CLIFFWOOD PRODUCTION CO.,"Houston, TX 77090",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
161671,"COASTAL PLAINS ENERGY, INC.","Oklahoma City, OK 73112",23
161949,"COASTLINE OPERATING, L.L.C.","Houston, TX 77027",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
163600,COCKBURN OIL CORPORATION,"Lubbock, TX 79493",
164301,COCKRELL OIL CORPORATION,"Houston, TX 77002",
168910,COLOGNE PRODUCTION COMPANY,"San Antonio, TX 78209",
169230,COLUMBIA GAS DEVELOPMENT CORP.,"Houston, TX 77251",
169313,"COLUMBUS ENERGY, LLC","Houston, TX 77046",234
169600,"COMET OIL & GAS, INC.","Conroe, TX 77305",
169662,COMET PRODUCTION,"Conroe, TX 77305",
169680,"COMETRA OIL AND GAS, INC.","Fort Worth, TX 76102",
172230,CONOCO INC.,"Houston, TX 77252",
173749,CONTINENTAL OPERATING CO.,"Houston, TX 77024",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
177902,CORAL PETROLEUM DEVELOPMENT INC.,"Houston, TX 77024",
179353,"CORONADO ENERGY E&P COMPANY, LLC","Houston, TX 77252",
179904,"CORTEX ENERGY, INC.","Wichita, KS 67217",
180197,CORUM PRODUCTION COMPANY,"Houston, TX 77002",
183345,"COX & PERKINS EXPLORATION, INC.","Houston, TX 77057",
184960,"COX, EDWIN L.","Dallas, TX 75202",
185263,"COX, EDWIN L. & COX, BERRY R.","Corpus Chrsti, TX 78470",
189900,CREST RESOURCES & EXPL. CORP.,"Houston, TX 77079",
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
190472,CROSS TIMBERS PRODUCTION COMPANY,"Fort Worth, TX 76102",
190673,CROSSROADS ENERGY L.P.,"Houston, TX 77064",
190668,"CROSSROADS ENERGY PARTNERS, LLC","Houston, TX 77070",
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",
192055,"CULBERSON WELL SERVICE, INC.","Victoria, TX 77902",
195818,CWOC,"Big Spring, TX 79721",
195826,CXY ENERGY INC.,"Dallas, TX 75251",
196194,D. G. OIL CO.,"Dennis, TX 76439",
