Operator Number,Operator Name,Location,Leases
953678,"3 W OIL, INC.","Pampa, TX 79065",
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",
953900,6A PRODUCTION,"Pampa, TX 79066",26
000139,A & B WELL SERVICE INC.,"Amarillo, TX 79159",
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",
006460,ADAMS & MCGAHEY,"Amarillo, TX 79114",
005920,"ADAMS, K. S. JR.","Houston, TX 77001",
007130,"ADAMS, R. W.","Amarillo, TX 79109",
007140,"ADAMS, R. W. & SON","Amarillo, TX 79109",
008391,ADOBE OPERATING COMPANY,"Pampa, TX 79066",
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",
015057,ALMAC OIL COMPANY,"Pampa, TX 79066",
015137,ALPINE OIL & GAS,"Amarillo, TX 79109",
016400,ALVEY PARTNERS,"Slaton, TX 79364",2
016515,"ALVEY, L. M.","Pampa, TX 79066",
016600,"AMAREX, INC.","Oklahoma City, OK 73101",
016810,"AMARILLO NATURAL GAS, INC.","Amarillo, TX 79119",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
020350,AMITY PETROLEUM,"Pampa, TX 79066",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020780,ANDCO OIL,"Pampa, TX 79066",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
025516,"ANISMAN, MELVIN OIL COMPANY INC.","Pampa, TX 79066",
027221,"APACHE GOLD, LLC","Pampa, TX 79065",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
033147,ARRINGTON PRODUCTION COMPANY,"Pampa, TX 79066",
035447,"ASPEN PETROLEUM, INC.","Pampa, TX 79065",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036817,AUDREY OIL & GAS LLC,"Pampa, TX 79066",10
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",
042325,BACK BROS.,"Amarillo, TX 79106",
042328,"BACK, NEVILE ETAL","Amarillo, TX 79106",
042330,"BACK, NEVILLE","McLean, TX 79057",
042360,"BACK, R. D.","Oklahoma City, OK 73115",
044224,"BAILEY, NEVA J.","Pampa, TX 79066",
043808,"BAILEY, THOMAS","McLean, TX 79057",
043810,"BAILEY, THOMAS ESTATE","Pampa, TX 79066",
049748,BAR L PRODUCERS,"Fritch, TX 79036",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
049508,BARKER PRODUCTION CO.,"Shamrock, TX 79079",
049453,"BARKER PRODUCTION CO., LP","San Angelo, TX 76904",1
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
058893,"BC OPERATING, INC.","Midland, TX 79710",
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
061609,BEDSTONE OPERATING CO.,"Pampa, TX 79065",
065846,BENSON-MCCOWN & COMPANY,"Amarillo, TX 79114",
068309,"BETA-TEX, AN OKLAHOMA CORP.","Oklahoma City, OK 73157",4
068580,BHB OPERATING INC.,"Fort Worth, TX 76137",
071210,"BINK, INC.","Pampa, TX 79065",
100503,BLACK RESOURCES,"Pampa, TX 79065",
072694,"BLACK SHEEP OPERATING, LLC","Amarillo, TX 79109",5
072614,BLACK'S OIL & GAS,"Pampa, TX 79066",9
073058,BLACKBIRD ENERGY HOLDINGS LLC,"Canada, 00100",
073375,"BLACKWELL, FRED","Lefors, TX 79054",
076743,"BLUE DARTER ENERGY, LLC","Sunnyvale, TX 75182",
076762,BLUE DOLPHIN PRODUCTION LLC,"Oklahoma City, OK 73142",
076788,"BLUE NORTHER OIL & GAS, LLC","Red Oak, TX 75154",
079570,"BOHR, BILL & LEON","Groom, TX 79039",
082385,BONDS OIL CO LLC,"Albuquerque, NM 87112",
083030,BORDERLINE PRODUCTION,"Bryson, TX 76427",
083051,BOREN BROTHERS,"Borger, TX 79008",
083236,BORGER RESOURCES 2 LLC,"Borger, TX 79007",24
083237,BORGER RESOURCES 4 LLC,"Borger, TX 79007",3
083292,BOSWELL ENERGY CORP.,"Oklahoma City, OK 73112",
