Operator Number,Operator Name,Location,Leases
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
811997,806 OPERATING LLC,"Canadian, TX 79014",2
003100,"ABRAHAM, MALOUF COMPANY, INC.","Canadian, TX 79014",
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
009101,"AIKMAN BROTHERS, LLC","Amarillo, TX 79109",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",
009120,"AIKMAN, WILLIAM H.","Midland, TX 79705",
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016802,"AMARILLO EXPLORATION, INC.","Dallas, TX 75360",26
016849,AMARILLO PRODUCTION COMPANY,"Amarillo, TX 79105",
016930,"AMEDAN RESOURCES, INC.","Chickasha, OK 73023",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
025645,AN-SON CORPORATION,"Nichols Hill, OK 73116",
020549,"ANA-TOK OPERATING CO., INC.","Pampa, TX 79066",
020545,"ANADARKO MINERALS, INC.","Oklahoma City, OK 73102",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",
020787,ANDERMAN/SMITH OPERATING COMPANY,"Tulsa, OK 74136",
025678,ANSON COMPANY,"Oklahoma City, OK 73124",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027465,"APEXCO, INC.*****","Tulsa, OK 74103",
028668,AQUILA ENERGY RESOURCES CORP.,"Houston, TX 77042",
032626,"ARNOLD OIL PROPERTIES, INC.","Oklahoma City, OK 73112",
032635,"ARNOLD OIL PROPERTIES, L.L.C.","Nichols Hill, OK 73116",
033134,"ARRINGTON CJM, INC.","Canadian, TX 79014",
034241,ASHER RESOURCES,"Boerne, TX 78006",
036051,"ATHENA ENERGY, INC.","Gallatin, TN 37066",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",
042158,"B & W OPERATING, L.L.C.","Nichols Hill, OK 73116",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
040792,"B M ENERGY, INC.","Hennessey, OK 73742",
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
048945,"BARBEE, BILL J.","Amarillo, TX 79101",
049155,BARBOUR ENERGY CORPORATION,"Oklahoma City, OK 73113",2
053051,BARRETT RESOURCES CORPORATION,"Denver, CO 80202",
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
040205,BCE-MACH II LLC,"Oklahoma City, OK 73134",246
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",862
100676,"BE Anadarko II, LLC","Austin, TX 78731",387
061100,BECK RESOURCES INCORPORATED,"Hennessey, OK 73742",
061606,BEDROCK PETROLEUM,"Dover, OK 73734",
064370,BENN OIL & GAS,"Perryton, TX 79070",
068426,BEVO PRODUCTION CO.,"Amarillo, TX 79101",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
068630,BHP PETROLEUM COMPANY INC.,"Houston, TX 77057",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
077686,BOBCAT OPERATING,"Stephenville, TX 76401",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085485,BRACKEN ENERGY COMPANY,"Oklahoma City, OK 73118",
085490,BRACKEN EXPLORATION COMPANY,"Oklahoma City, OK 73118",
085851,"BRACKEN OPERATING, L.L.C.","Perryton, TX 79070",130
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
089885,"BRAVO NATURAL RESOURCES, INC.","Oklahoma City, OK 73154",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093342,"BRIGHTON ENERGY, L.L.C.","Tulsa, OK 74170",
095340,BROCK OIL & GAS CORPORATION,"Tulsa, OK 74103",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
102292,BUFFALO CREEK SWD SYSTEM LLC,"Oklahoma City, OK 73114",
108575,"BURGESS, W. E.","Fort Worth, TX 76147",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
123133,"CAIRN ENERGY, USA, INC.","Houston, TX 77077",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",
129932,CANYON EXPLORATION CO.,"Amarillo, TX 79105",
130528,CAPSTONE CACTUS OPERATING COMP.,"Hennessey, OK 73742",
141691,"CENTURION RESOURCES, LLC","Tulsa, OK 74136",
142214,CH-SEON INC.,"Dallas, TX 75251",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
146669,"CHARTER OAK PRODUCTION CO., LLC","Oklahoma City, OK 73134",19
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
