Operator Number,Operator Name,Location,Leases
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",
016973,AMERAC ENERGY CORPORATION,"Tulsa, OK 74136",
018007,"AMERICAN COASTAL ENERGY, INC.","Houston, TX 77225",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018890,"AMERICAN PENN ENERGY, INC.","Canada, 00100",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
025637,ANR PRODUCTION COMPANY,"Houston, TX 77046",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
033181,ARRIOLA OPERATING & CONSLTG INC.,"Dallas, TX 75248",
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036561,ATLANTIC RICHFIELD COMPANY,"Plano, TX 75094",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
039801,B & B OPERATING COMPANY,"Odessa, TX 79760",
048940,"BARBEE & CO., INC.","Corpus Chrsti, TX 78413",
049170,BARCO OIL & GAS CO.,"Houston, TX 77098",
050340,"BARNES, LARRY PETROLEUM, INC.","Englewood, CO 80112",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
063265,"BELL, KELLY","Midland, TX 79701",
063270,"BELL, KELLY INC.","Midland, TX 79701",
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
063744,"BELLOWS, DEWEY OPER. CO., LTD.","Refugio, TX 78377",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
072550,"BISHOP, R. H.","Houston, TX 77002",
072523,"BISON ENERGY PARTNERS, INC.","Houston, TX 77060",
072519,"BISON ENERGY PARTNERS, LTD.","Houston, TX 77060",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
075784,"BLOCK ""T"" PETROLEUM, INC.","Tyler, TX 75707",59
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
076425,"BLUE AGAVE RESOURCES, LLC","McAllen, TX 78501",
076791,"BLUE WING ENERGY, INC.","Portland, TX 78374",1
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",
076855,"BLUESTONE NATURAL RESOURCES, LLC","Tulsa, OK 74114",
077570,BNP PETROLEUM CORPORATION,"Corpus Chrsti, TX 78478",
077577,"BNR OPERATING, LLC","Houston, TX 77269",
077686,BOBCAT OPERATING,"Stephenville, TX 76401",
082993,BORDER EXPLORATION CO.,"Houston, TX 77046",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
089660,"BRAUN, C F & CO.","Dallas, TX 75219",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",
093125,BRIGHT & CO.,"The Colony, TX 75056",
097475,"BROONER, FRANK I. JR.","San Antonio, TX 78209",
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",13
097520,"BROWN & MCKENZIE, INC.","Houston, TX 77063",
097940,"BROWN, C. DOUGLAS, LLC","Dallas, TX 75209",
103564,"BRUINGTON OPERATING, L.L.C.","San Antonio, TX 78217",
106371,BUFFALO OIL CORP.,"Cotulla, TX 78014",
042191,"BXP OPERATING, LLC","Houston, TX 77079",1
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
121812,CABOT OIL & GAS PRODUCTION CORP.,"Houston, TX 77060",
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
101557,CAL-TEX EXPLORATION & PRODUCTION COMPANY LLC,"San Antonio, TX 78228",19
126780,CAMBRIDGE OIL COMPANY,"Euless, TX 76040",
129692,"CANTERA OPERATING, LLC","The Woodlands, TX 77380",
130426,"CAPITAL STAR OIL & GAS, INC.","Houston, TX 77027",115
131880,"CARL, W. E.","Corpus Chrsti, TX 78471",
131881,"CARL, W. E.-HAWN BROS.","Corpus Chrsti, TX 78471",
131882,"CARL, WILLIAM E.","Corpus Chrsti, TX 78471",
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",
136850,CARTER EXPLORATION COMPANY,"Corpus Chrsti, TX 78413",
141023,"CENIZA PETROLEUM, INC.","Portland, TX 78374",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144989,CHAPMAN OIL,"Houston, TX 77002",
146621,"CHARRO OPERATING, L.L.C.","Englewood, CO 80112",14
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
149423,CHINN EXPLORATION COMPANY,"Longview, TX 75605",
153205,CHRISTOPHER OIL & GAS INC,"Fulshear, TX 77441",
153257,"CHROMA OPERATING, INC.","Washington, DC 20036",
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153446,CIMARRON ENGINEERING CORP.,"Kingsville, TX 78364",
156910,CLARK FUEL PRODUCING COMPANY,"McAllen, TX 78502",
160606,CLIFFWOOD PRODUCTION CO.,"Houston, TX 77090",
161325,CLOVER ENERGY CORPORATION,"Houston, TX 77002",
161397,CNG PRODUCING COMPANY,"New Orleans, LA 70112",
161428,CO ENERGY,"Benbrook, TX 76126",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
161700,COASTAL STATES GAS PROD. CO.,"San Antonio, TX 78296",
162005,COATES ENERGY TRUST,"San Antonio, TX 78209",
162025,"COATES, GEORGE H. ESTATE OF","San Antonio, TX 78205",
162950,COBBS BROTHERS OIL & GAS,"Corpus Chrsti, TX 78476",
164301,COCKRELL OIL CORPORATION,"Houston, TX 77002",
164455,CODY ENERGY LLC,"Houston, TX 77024",
164464,"CODY ENERGY, INC.","Houston, TX 77077",
168907,"COLO EXPLORATION COMPANY, INC.","Benbrook, TX 76126",
170040,"COMSTOCK OIL & GAS, LP","Frisco, TX 75034",
170141,CONCHO EXPLORATION INC,"Oklahoma City, OK 73154",
172230,CONOCO INC.,"Houston, TX 77252",
173749,CONTINENTAL OPERATING CO.,"Houston, TX 77024",
173881,"CONTRACT ENERGY, L.L.C.","Houston, TX 77057",
178030,CORDELE DEVELOPMENT CORPORATION,"San Antonio, TX 78205",15
178273,"CORDILLERA TEXAS, L.P.","Greenwood VLG, CO 80111",
179353,"CORONADO ENERGY E&P COMPANY, LLC","Houston, TX 77252",
179785,"CORPUS CHRISTI LEASEHOLDS, INC.","Corpus Chrsti, TX 78403",
179825,CORPUS CHRISTI OIL & GAS CO.,"Dallas, TX 75206",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
