Operator Number,Operator Name,Location,Leases
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",7
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",
003606,"ACOMA OPERATING, LLC","Lubbock, TX 79424",32
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",
020213,AMINOIL INC.,"Denver, CO 80237",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020435,AMOCO PRODUCTION CO.-LEVELLAND,"Brownfield, TX 79316",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
022547,"ANDERSON PETROLEUM, INC.","Denver, CO 80203",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
027000,"AP&E CO., INC.","Los Angeles, CA 90048",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027465,"APEXCO, INC.*****","Tulsa, OK 74103",
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
028631,"AQUEOUS OPERATING, LLC","Lubbock, TX 79408",
028703,"AQUINNAH RESOURCES, LLC","Midland, TX 79701",
030129,"ARIES OPERATING, LLC","Houston, TX 77010",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
035633,ATAPCO,"Houston, TX 77040",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
039802,"B & B OPERATING CO, INC.","Levelland, TX 79336",
040756,B. & M. FAMILY OIL COMPANY,"Midland, TX 79708",
039768,"B.A.R. TREATING SERVICE, INC.","Austin, TX 78746",2
048175,BANAM CORPORATION,"Midland, TX 79702",
049511,"BARKER, LAWRENCE JR.","San Francisco, CA 94111",
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054430,"BASIN OIL & GAS OPERATING, LLC","Fort Worth, TX 76107",110
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
058893,"BC OPERATING, INC.","Midland, TX 79710",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
061739,BEE-JAY ENERGY,"Whiteface, TX 79379",
061747,"BEE-JAY PETRO, INC.","Levelland, TX 79336",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
066002,BENT SPUR OIL CORPORATION,"Levelland, TX 79336",
066722,"BEPCO, L.P.","Fort Worth, TX 76102",
068209,"BERYL OIL AND GAS, LP","Midland, TX 79710",3
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
072651,BLACK GOLD PROPERTIES,"Lubbock, TX 79424",
101595,Blackflat Oil Company LLC,"Lubbock, TX 79424",9
074003,BLAIR ENERGY JOINT VENTURE,"Midland, TX 79702",
074115,"BLAIR, JACK N. & METCALFE, TOM","Midland, TX 79702",
075355,BLANKS ENERGY CORPORATION,"Midland, TX 79702",
075774,"BLM BLACK GOLD PROPERTIES, LTD.","Lubbock, TX 79423",2
076382,BLOWING SAND OPERATING L.L.C.,"Levelland, TX 79336",
078032,"BOAZ ENERGY II OPERATING, LLC","Midland, TX 79705",93
082967,"BOPCO, L.P.","Midland, TX 79701",
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",5
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
093125,BRIGHT & CO.,"The Colony, TX 75056",
094871,BROADWAY OPERATING COMPANY INC.,"Lubbock, TX 79401",
098194,"BROWN, C. L. INC.","Corsicana, TX 75110",
099752,"BROWN, FRED G. INC.","Midland, TX 79703",
100268,"BROWN, H. L., JR.","Midland, TX 79702",
100263,"BROWN, H.L. OPERATING, L.L.C.","Midland, TX 79702",14
103274,BRUCE OGLETREE LLC,"Grapevine, TX 76051",
104755,BRYANT & TUBB OIL CO.,"Levelland, TX 79336",
104820,BRYANT & WHITE OIL CO.,"Whiteface, TX 79379",
104600,BRYANT OIL,"Levelland, TX 79336",
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
106531,"BULLIN, R. E. OPERATING INC.","Levelland, TX 79336",20
106530,"BULLIN, R.E.","Levelland, TX 79336",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
109255,"BURLESON PETROLEUM, INC.","Midland, TX 79702",32
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
114040,"BUTLER, KEVIN O.","Midland, TX 79702",
114050,"BUTLER, KEVIN O. & ASSOC., INC.","Midland, TX 79702",
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
121055,C & S OPERATING,"Whiteface, TX 79379",
123854,"CALICO OPERATING CO., INC.","Dallas, TX 75205",
126764,CAMBRIAN MANAGEMENT LTD,"Midland, TX 79702",
126758,"CAMBRIAN MANAGEMENT, LTD.","McCaulley, TX 79534",8
127707,"CAMPAIGN PRODUCTION, INC.","San Angelo, TX 76902",
128100,"CAMPBELL, GEORGE M.","Lubbock, TX 79490",
129008,"CANAN MOWREY OPERATING, LLC","Wichita Falls, TX 76308",29
129003,"CANDLERIDGE OIL, INC.","Fort Worth, TX 76109",
130345,CAPALI ENERGY LLC,"Midland, TX 79701",
130354,"CAPATAZ OPERATING, INC.","Midland, TX 79702",
130852,CARDWELL OIL CORPORATION,"Midland, TX 79710",1
139836,"CAT TREE OPERATING, L.L.C.","Bledsoe, TX 79314",
140090,CATOILAN CORPORATION,"Midland, TX 79702",
141233,"CENTRAL RESOURCES, INC.","Denver, CO 80203",
141255,"CENTRAL TEXAS OPERATING, INC.","Breckenridge, TX 76424",1
141835,"CENTURY RESOURCES, INC.","Houston, TX 77056",
142214,CH-SEON INC.,"Dallas, TX 75251",
142637,"CHAMBERS OPERATING, INC.","Westbrook, TX 79565",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
147862,"CHEVRON MIDCONTINENT, L.P.","Midland, TX 79706",29
148112,CHEVRON SERV.CO.DRLG.TECH.CENTER,"Houston, TX 77210",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
153447,"CIMA PRODUCTION, INC.","Sugar Land, TX 77487",
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
157711,CLARK OIL PROD. CO.,"Milwaukee, WI 53201",
159655,CLEARY PETROLEUM CORP.,"Unknown, XX 99999",
159750,CLEERE OPERATING COMPANY,"San Angelo, TX 76902",
