Operator Number,Operator Name,Location,Leases
988752,9K INVESTMENTS LLC,"Cisco, TX 76437",6
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
015133,ALPHA PETROLEUM CORP.,"Dallas, TX 75379",
033055,"ARP BARNETT, LLC","Fort Worth, TX 76102",
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033500,ARROWHEAD ENERGY CO.,"Fort Worth, TX 76185",
033762,"ARUBA PETROLEUM, INC.","Dallas, TX 75379",
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",1
036556,"ATLAS BARNETT, LLC","Fort Worth, TX 76102",
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",
048379,BANDERA EXPLORATION COMPANY,"Dallas, TX 75225",
051292,"BARNETT ENVIRO MGMT SVCS, LLC","Bedford, TX 76095",
050861,BARNETT SHALE OPERATING LLC,"Fort Worth, TX 76102",
052965,"BARON CO., THE","Houston, TX 77027",
053975,BASAL CORPORATION,"Cleburne, TX 76033",
054650,"BASIN, FRANKE EXPLORATION CO INC","Tulsa, OK 74110",
057830,BAY PRODUCTION INC.,"Cleburne, TX 76033",
058869,"BAY STATE ENERGY CO, INC","Fort Worth, TX 76107",
058904,BC WILSON AND COMPANY,"Aurora, CO 80013",
059101,BEACON ENERGY CORPORATION (1),"Fredericksbrg, TX 78624",
061620,"BEDROCK PRODUCTION, LLC","Houston, TX 77002",935
065851,"BEN-CO OPERATING CO., LLC","Graham, TX 76450",
070450,"BIG STATE INDUSTRIES, INC.","Houston, TX 77010",
100345,"BKV North Texas, LLC","Fort Worth, TX 76106",1732
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
073325,BLACKWATER OIL & GAS CORPORATION,"Colleyville, TX 76034",
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
100639,Brazos Operating LLC,"Midland, TX 79710",34
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
103900,"BRUNER OIL & GAS, INC.","Fischer, TX 78623",
103935,"BRUNER, CURTIS L.","Houston, TX 77069",
105190,"BUCHANAN, WAYMAN W.","San Antonio, TX 78212",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
120531,C&J ENERGY SERVICES,"Houston, TX 77042",
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",
138900,"CASCO ENERGY, INC.","Denison, TX 75020",
139599,"CASTEEL, HOYT F.","Graham, TX 76450",
139913,"CATE, W. E.","Newark, TX 76071",
140607,CEDAR BLUFF DEVELOPMENT CORP.,"Granbury, TX 76048",
141999,CERTIFIED PETROLEUM INC.,"Mineral Wells, TX 76067",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148216,CHIEF OIL & GAS LLC,"Dallas, TX 75225",
148219,CHIEF OIL & GAS LLC *,"Dallas, TX 75225",
148227,CHIEF OPERATING LLC,"Dallas, TX 75225",
153458,"CIMMARON OIL CO., INC.","Granbury, TX 76048",
155220,CLARION RESOURCES INC.,"Dallas, TX 75240",
161428,CO ENERGY,"Benbrook, TX 76126",
