Operator Number,Operator Name,Location,Leases
623407,1836 ENERGY LLC,"El Campo, TX 77437",
953637,1988 INDEXGEO JV,"Houston, TX 77002",
857537,2S RESOURCES LLC,"Boerne, TX 78006",
914236,911 CLAIMS CORP,"El Campo, TX 77437",4
000133,A T M CORPORATION,"Mathis, TX 78368",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003539,ACE PRODUCTIONS,"Beaumont, TX 77707",
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
003605,ACOMA OIL CORPORATION,"Saint Paul, MN 55102",2
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
010070,ALAMO PET. CO.,"Houston, TX 77042",
011285,ALCORN PROD CO.,"Victoria, TX 77902",
100397,"Aldine Oil and Gas, LP","Houston, TX 77060",112
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
012450,"ALFORD-SIGNOR PET. CO., INC.","Conroe, TX 77301",
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",48
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
015610,ALS PRODUCTION CO.,"Tomball, TX 77375",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016881,"AMBASSADOR PETROLEUM, INC.","Katy, TX 77494",
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",
018007,"AMERICAN COASTAL ENERGY, INC.","Houston, TX 77225",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019356,"AMERICAN RESOURCES, INC.","Houston, TX 77079",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020569,"ANAQUA OIL & GAS, INC.","Corpus Chrsti, TX 78401",
024090,"ANDRAU, WILLIAM E.","Houston, TX 77057",
101344,Angel Operating LLC,"Metairie, LA 70033",
025513,"ANHUR RESOURCES, INC.","Houston, TX 77002",
025514,ANICO SIX SIXTY SIX,"San Antonio, TX 78247",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",
025690,ANTARES OIL CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028656,API OPERATING CO.,"Houston, TX 77036",
028668,AQUILA ENERGY RESOURCES CORP.,"Houston, TX 77042",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030300,"ARISTA NOVELTY, INC.","Houston, TX 77256",
030820,ARLEDGE PETROLEUM CORP.,"Weatherford, TX 76086",
031288,"ARMOUR RESOURCE HOLDINGS, LTD.","Houston, TX 77046",
031290,"ARMOUR-RICHARDS HOLDINGS, LTD","Houston, TX 77046",
035520,ASSOCIATED MINERALS INTEREST,"Conroe, TX 77301",
035626,ASTRO ENERGY CORPORATION,"Houston, TX 77082",
035633,ATAPCO,"Houston, TX 77040",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036548,ATLANTIC & GULF-WESTERN PET CORP,"Houston, TX 77036",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036642,ATWOOD EXPLORATION COMPANY,"Houston, TX 77057",
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
038889,AWP OPERATING COMPANY,"George West, TX 78022",35
039761,"B & B ACQUISITIONS, L.L.C.","Refugio, TX 78377",
041700,B & T OIL COMPANY,"Corpus Chrsti, TX 78410",
040190,"B D PRODUCTION CO., INC.","Corpus Chrsti, TX 78401",11
040797,B.P. PRODUCTIONS INC.,"Victoria, TX 77904",
041864,"B.W.O.C., INC.","Plano, TX 75026",
049170,BARCO OIL & GAS CO.,"Houston, TX 77098",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
060051,"BEARD OIL COMPANY, LLC","Edna, TX 77957",8
061150,"BECKER, B. A.","Houston, TX 77257",
061815,"BEGEMAN, ROBERT L. INC.","San Antonio, TX 78209",
062680,BELCO PETROLEUM CORPORATION,"Midland, TX 79702",
069160,"BIG ""6"" DRILLING COMPANY","Houston, TX 77063",
069342,BIG CREEK OPERATING COMPANY LLC,"Houston, TX 77065",6
072550,"BISHOP, R. H.","Houston, TX 77002",
072523,"BISON ENERGY PARTNERS, INC.","Houston, TX 77060",
072519,"BISON ENERGY PARTNERS, LTD.","Houston, TX 77060",
101501,Black Draw Energy LLC,"Cypress, TX 77433",1
073302,"BLACKSTONE PETRO ENERGY, LP","Austin, TX 78759",
076395,"BLUCO PRODUCTION CO., INC.","Austin, TX 78716",3
076791,"BLUE WING ENERGY, INC.","Portland, TX 78374",1
077562,BNP OPERATING LLC,"Corpus Chrsti, TX 78471",
077570,BNP PETROLEUM CORPORATION,"Corpus Chrsti, TX 78478",
081286,"BOLING PRODUCTION COMPANY, INC.","Boling, TX 77420",8
082443,BONFIRE OPERATING LLC,"Cresson, TX 76035",16
083237,BORGER RESOURCES 4 LLC,"Borger, TX 79007",3
083285,BOSTON OIL LIMITED 1972,"Dallas, TX 75240",
088234,BRADY PRODUCTION COMPANY,"McAllen, TX 78501",
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",
089936,BRAYTON OPERATING CORP.,"Corpus Chrsti, TX 78476",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093455,"BRISCOE, GUY","Amarillo, TX 79109",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
097400,BROONER EXPLORATION,"San Antonio, TX 78209",
097520,"BROWN & MCKENZIE, INC.","Houston, TX 77063",
103700,"BRUMMETT, J. O.","Houston, TX 77098",
104965,BSE PRODUCTION CO.,"Victoria, TX 77903",
105195,"BUCHANAN, WAYMAN W. INC.","San Antonio, TX 78212",
106398,BUFFALO RESOURCES CO.,"Rosenberg, TX 77471",
106449,"BULL OPERATING, LLC","Houston, TX 77010",2
108843,"BURKE, HARRY PETROLEUM","Houston, TX 77080",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
114087,BUTEO ENTERPRISES,"Longview, TX 75604",
042191,"BXP OPERATING, LLC","Houston, TX 77079",1
120079,"C & E OPERATING, INC.","Hockley, TX 77447",
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
122135,"CACTUS GAS & OIL, INC.","San Antonio, TX 78259",
125948,CALPINE NATURAL GAS COMPANY,"Houston, TX 77002",
125946,CALPINE NATURAL GAS COMPANY L.P.,"Houston, TX 77002",
125944,CALPINE NATURAL GAS L.P.,"Houston, TX 77002",
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
127449,"CAMOIL, INC.","Columbus, TX 78934",
129910,"CANUS PETROLEUM, INC.","Denver, CO 80290",
100317,CANVAS ENERGY LLC,"Oklahoma City, OK 73142",
130779,"CARBONIT EXPLORATION, INC.","Houston, TX 77067",
132335,CARLSON PETROLEUM COMPANY,"Houston, TX 77010",
132805,CARNES EXPLORATION COMPANY,"Corpus Chrsti, TX 78476",
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",
136850,CARTER EXPLORATION COMPANY,"Corpus Chrsti, TX 78413",
137340,"CARTER RESOURCES, INC.","Corpus Chrsti, TX 78411",
138785,CARTHAY LAND COMPANY,"Unknown, XX 99999",
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",
141255,"CENTRAL TEXAS OPERATING, INC.","Breckenridge, TX 76424",1
141701,CENTURY ASSETS CORPORATION,"Houston, TX 77056",
