Operator Number,Operator Name,Location,Leases
953759,"39 CRUDE, L.C.","Houston, TX 77002",
002987,"ABLEREADY, INC.","Houston, TX 77269",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",48
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
013953,"ALLEN, MABEL F.","Corpus Chrsti, TX 78412",
014000,"ALLEN, T. M.","Corpus Chrsti, TX 78413",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
015724,"ALTA VISTA EXPLORATION, INC.","Corpus Chrsti, TX 78471",
100111,Altalay STX LLC,"San Juan, PR 00968",3
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",1
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020566,"ANACONDA CO., THE","Denver, CO 80202",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020569,"ANAQUA OIL & GAS, INC.","Corpus Chrsti, TX 78401",
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
033895,"ASCEND OIL & GAS, L.L.C.","Kilgore, TX 75663",
033892,"ASCENDANCE ENERGY PARTNERS, LLC","Hebbronville, TX 78361",
034241,ASHER RESOURCES,"Boerne, TX 78006",
035410,"ASPEN EXPLORATION, INC.","Houston, TX 77002",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
056381,"BATTLECAT OIL & GAS, LLC","Houston, TX 77082",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
058860,"BAYOU RESOURCES, INC.","Houston, TX 77002",
064140,BENDIX FIELD ENGINEERING CORP.,"Grand JCT, CO 81502",
068433,"BETTIS & SNYDER, LLC","Houston, TX 77063",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
074004,"BLAIR EXPLORATION, INC.","Midland, TX 79702",
075380,"BLOUNT, S. W. III","San Antonio, TX 78209",
076425,"BLUE AGAVE RESOURCES, LLC","McAllen, TX 78501",
076850,"BLUEHOUSE ENERGY GROUP, INC.","Mesquite, TX 75150",
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",
076855,"BLUESTONE NATURAL RESOURCES, LLC","Tulsa, OK 74114",
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085370,BP PROD. CORP.,"Richardson, TX 75083",
088045,"BRADSHAW, RAY E.","Tyler, TX 75713",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
093125,BRIGHT & CO.,"The Colony, TX 75056",
097400,BROONER EXPLORATION,"San Antonio, TX 78209",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
111030,BURNS PRODUCTION CORPORATION,"Midland, TX 79701",
120119,"C & G OPERATING, LLC","San Antonio, TX 78209",1
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
125952,"CALSTAR ENERGY CONSULTANTS, LLC","Palm Desert, CA 92260",
126780,CAMBRIDGE OIL COMPANY,"Euless, TX 76040",
126834,"CAMDEN OIL & GAS, INC.","Farmers BRNCH, TX 75234",
136850,CARTER EXPLORATION COMPANY,"Corpus Chrsti, TX 78413",
140557,"CAVALIER OIL & GAS, INC.","Buchanan Dam, TX 78609",4
119856,"CB ENERGY, LLC","Houston, TX 77024",
141023,"CENIZA PETROLEUM, INC.","Portland, TX 78374",
100403,Central Gulf Petroleum Inc,"The Woodlands, TX 77380",3
141835,"CENTURY RESOURCES, INC.","Houston, TX 77056",
120067,CET ENERGY CORPORATION,"Spring, TX 77391",
146621,"CHARRO OPERATING, L.L.C.","Englewood, CO 80112",14
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
150481,"CHOCTAW II OIL & GAS, LTD.","Houston, TX 77002",
153471,"CIMARRON ENGINEERING, LLC","Kingsville, TX 78364",22
160060,"CLEMENTS ENERGY, INC.","Vancouver, WA 98662",
161337,"CLS INTERESTS, INCORPORATED","Austin, TX 78734",
161397,CNG PRODUCING COMPANY,"New Orleans, LA 70112",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
161945,"COASTLINE EXPLORATION, INC.","Stafford, TX 77477",
162005,COATES ENERGY TRUST,"San Antonio, TX 78209",
162025,"COATES, GEORGE H. ESTATE OF","San Antonio, TX 78205",
164455,CODY ENERGY LLC,"Houston, TX 77024",
164464,"CODY ENERGY, INC.","Houston, TX 77077",
169313,"COLUMBUS ENERGY, LLC","Houston, TX 77046",234
172230,CONOCO INC.,"Houston, TX 77252",
179785,"CORPUS CHRISTI LEASEHOLDS, INC.","Corpus Chrsti, TX 78403",
179825,CORPUS CHRISTI OIL & GAS CO.,"Dallas, TX 75206",
182070,"COTTON, W. L.","Hebbronville, TX 78361",
182069,"COTTON, W.L. GEMS & MINERALS LTD","Hebbronville, TX 78361",
