Operator Number,Operator Name,Location,Leases
953633,2 W PETROLEUM,"Brownwood, TX 76804",
953627,20TH CENTURY PIPE & EQUIP.CO.INC,"Midland, TX 79702",
953664,"3 S OIL & GAS, INC.","Garland, TX 75046",
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",61
953728,3-L DRILLING,"Abilene, TX 79605",
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
033570,3-M PRODUCTION,"Breckenridge, TX 76424",
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
953636,4-M OPERATING COMPANY,"Abilene, TX 79601",
953801,4S OIL,"Albany, TX 76430",
271292,5 SCHKADE,"Albany, TX 76430",
953770,5L PROPERTIES,"Breckenridge, TX 76424",
953778,"5L PROPERTIES, INC.","Breckenridge, TX 76424",14
955001,86-OIL & GAS,"Hamlin, TX 79520",
000146,"A.D.S. RESOURCES, INC.","Lubbock, TX 79413",
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",
000137,"ABBOTT, JOHN OPERATING","Abilene, TX 79605",
002557,ABERDEEN PETROLEUM (USA) INC.,"Abilene, TX 79608",
002627,"ABILENE AMERICAN ENERGY, LLC","Abilene, TX 79602",7
002630,"ABILENE DRILLING, INC.","Abilene, TX 79605",
002633,"ABILENE EXPLORATION, INC.","Lubbock, TX 79401",
002635,ABILENE OIL & GAS CO.,"Abilene, TX 79604",
002636,"ABILENE OIL & GAS COMPANY, INC.","Abilene, TX 79604",
002753,ABILENE PETROLEUM LAND SER. CO.,"Abilene, TX 79601",
002987,"ABLEREADY, INC.","Houston, TX 77269",
003201,"ABTEX ENERGY, INC.","Abilene, TX 79608",
003646,"ABX OIL & GAS, INC.","Dallas, TX 75240",
003590,ACME PRODUCTION CO. OF ABILENE,"Abilene, TX 79606",
000183,"ACR EXPLORATION, INC.","Fort Worth, TX 76112",
003975,ADAMS BRANCH EXPLORATION COMPANY,"Abilene, TX 79608",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
000834,"AEON OPERATING, INC.","Fate, TX 75132",
008574,AGARITA OIL AND GAS,"Midland, TX 79710",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
010548,ALBANY CEMENTING COMPANY,"Albany, TX 76430",
010600,ALBANY WELL SERVICE,"Albany, TX 76430",
011100,"ALBERT, DAVID OIL & GAS","Dallas, TX 75240",
011085,ALBERT-BISHOP EXPLORATION CO INC,"Dallas, TX 75240",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",
014997,ALL STAR PUMP & SUPPLY,"Cross Plains, TX 76443",
013425,ALLEGIANCE OPERATING INC.,"Wichita Falls, TX 76307",1
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",
014054,ALLENERGY CORPORATION,"Abilene, TX 79604",
015098,"ALON USA, LP","Big Spring, TX 79720",
015107,ALPHA ENERGY,"Anson, TX 79501",
015138,ALPINE PETROLEUM,"Abilene, TX 79608",
016564,AMANDA OIL CO.,"Abilene, TX 79603",
016879,"AMBASSADOR OIL COMPANY, LLC","Abilene, TX 79604",
016899,"AMBLE PETROLEUM CO., INC.","Tuscola, TX 79562",6
016944,AMEN OIL LLC,"Graham, TX 76450",
016973,AMERAC ENERGY CORPORATION,"Tulsa, OK 74136",
017967,"AMERICAN EAGLE OPERATING, INC.","Spring, TX 77386",
017985,AMERICAN ENERGY,"Abilene, TX 79604",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020545,"ANADARKO MINERALS, INC.","Oklahoma City, OK 73102",
020581,"ANATHEMA, INC.","Abilene, TX 79601",
022275,"ANDERSON, JAMES K. INC.","Abilene, TX 79608",2
022925,"ANDERSON, ROGER W. CORP.","Clyde, TX 79510",
026200,"ANTHONY EXPLORATION, INC.","Abilene, TX 79604",
026704,"ANVIL OPERATING, INC.","Abilene, TX 79604",
026705,ANVIL PETROLEUM CORPORATION,"Houston, TX 77005",
026708,"ANVIL PETROLEUM, INC. (TLT)","Abilene, TX 79604",
028692,"ARABELLA PETROLEUM COMPANY, LLC","Austin, TX 78701",
028882,ARCHER PETROLEUM,"Frisco, TX 75034",
030127,"ARIES OPERATING, INC.","Abilene, TX 79604",
030130,"ARIES PETROLEUM, INC.","Abilene, TX 79604",
030806,"ARLEDGE & YOUNG, INC.","Weatherford, TX 76086",
030820,ARLEDGE PETROLEUM CORP.,"Weatherford, TX 76086",
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",
033000,"ARNOT, W. G., JR.","Breckenridge, TX 76424",
033181,ARRIOLA OPERATING & CONSLTG INC.,"Dallas, TX 75248",
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",12
034234,ASHER GROUP L.L.C.,"Abilene, TX 79601",
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",
035400,"ASORA, INC.","Abilene, TX 79601",
035410,"ASPEN EXPLORATION, INC.","Houston, TX 77002",
035601,ASTIN CORP.,"Dallas, TX 75229",
036056,"ATHENA RESOURCES, INC.","Dallas, TX 75248",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036592,ATMOS ENERGY CORPORATION,"Lubbock, TX 79408",
036603,"ATMOS ENERGY,WEST TEXAS DIVISION","Lubbock, TX 79424",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
036615,"ATOKA OPERATING, INC. (I)","Abilene, TX 79604",
036630,"ATWELL OIL CO., INC.","Cross Plains, TX 76443",
036856,AUGUSTA OIL & GAS,"Abilene, TX 79604",
036858,AUGUSTA OIL & GAS INC,"Abilene, TX 79604",
036855,"AUGUSTA OIL & GAS, INC.","San Antonio, TX 78280",
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",
038715,"AVIPS PETROLEUM, INC.","Abilene, TX 79605",
040403,B & G ENERGY CORPORATION,"Dallas, TX 75214",
040776,B P OPERATING COMPANY,"Abilene, TX 79604",
014804,"B.O.L.D. OIL AND GAS, LLC","Graham, TX 76450",29
040857,"B.R.H. INVESTMENTS, INC.","Abilene, TX 79608",
042700,"BAGLEY, W. H.","Abilene, TX 79604",
048162,BALL PRODUCTION CO.,"Breckenridge, TX 76424",
048353,BAM PRODUCTION COMPANY,"Granbury, TX 76048",
049763,BAR OPERATING PRODUCTION CO.,"Abilene, TX 79604",
048943,"BARBEE, INC.","Abilene, TX 79604",
050800,BARNETT & DENNIS,"Abilene, TX 79605",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
052969,BARON ENERGY INC.,"San Marcos, TX 78666",4
052968,"BARON ENERGY, INC.","Arlington, TX 76011",
054614,BASIN WELL SERVICE,"Albany, TX 76430",
054820,BASS OPERATING COMPANY,"Breckenridge, TX 76424",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
058851,"BAYOU OPERATING COMPANY, INC.","Abilene, TX 79608",41
058834,BAYRIDGE TEXAS CORP.,"Big Spring, TX 79720",
059777,"BEAIRD, R.A. OIL OPERATING CO.","Merkel, TX 79536",2
100259,Beasley Well Service Inc.,"Tuscola, TX 79562",13
060200,"BEASLEY WELL SERVICE, INC.","Hawley, TX 79525",
060205,"BEASLEY, J. L. & JUANITA","Hawley, TX 79525",
061183,"BECKER, STEVEN A.","Andrews, TX 79714",
061746,BEEDA OIL COMPANY,"Merkel, TX 79536",
063255,"BELL, JOHNNY INC.","Abilene, TX 79604",
063400,"BELL, O. M.","Merkel, TX 79536",
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",
066005,BENTLEY & LAING,"Wichita Falls, TX 76308",
066010,"BENTLEY, CHARLES H.","Wichita Falls, TX 76307",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068405,BETWELL OIL & GAS COMPANY,"Hialeah, FL 33002",5
068490,BFP OIL COMPANY,"Frisco, TX 75034",
069225,"BIG COUNTRY EXP., INC.","Abilene, TX 79601",
070450,"BIG STATE INDUSTRIES, INC.","Houston, TX 77010",
070786,BILBO OPERATING,"Abilene, TX 79603",
070788,"BILBO WIRELINE SERVICE, INC.","Abilene, TX 79603",
072587,BITTER CREEK PETROLEUM CO.,"Knox City, TX 79529",
072506,BLACK BANDANA LLC,"Santo, TX 76472",1
074345,"BLAKE RESOURCES, INC.","Fort Worth, TX 76112",
075370,BLOUNT PETROLEUM INC.,"San Antonio, TX 78209",
076765,"BLUE OIL, INC.","Burnet, TX 78611",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
076767,BLUE RIVER INC.,"Abilene, TX 79608",
076859,"BLUFF CREEK PETROLEUM, LLC","Abilene, TX 79603",38
077587,"BO DUNAGIN OPERATING, LLC","Merkel, TX 79536",
078034,"BOAZ ENERGY, LLC","Midland, TX 79710",
077629,BOB & TED'S OPERATING,"Lewisville, TX 75067",
081550,"BOMAR OIL & GAS, INC.","Dallas, TX 75206",
082597,BOONDOCKS SOLUTIONS LLC,"Tomball, TX 77375",
082968,"BOOTSTRAP EXPLORATION, INC.","Aledo, TX 76008",
082992,"BORDEN, ROLAND","Abilene, TX 79606",
082982,"BORDEN, ROLAND INC.","Abilene, TX 79608",
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",28
084411,"BOWMAN, WESLEY","Kopperl, TX 76652",
084640,"BOYD, JOHN F.","Trent, TX 79561",
088567,"BRALEY, WILLIAM R.","Gage, OK 73843",
089930,"BRAYMER, W. M. INC.","Abilene, TX 79604",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090853,"BREWER, TIM","Giddings, TX 78942",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
094170,BRITTANY DRILLING CO.,"Abilene, TX 79604",
094350,BRITTON DRILLING COMPANY,"Olney, TX 76374",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
101395,BROWN OWL OIL CO.,"Abilene, TX 79606",
100534,"BROWN, J. R. JR.","Odessa, TX 79768",
102911,BROWNING & TERRY,"Archer City, TX 76351",
104227,BRUSH OIL,"Albany, TX 76430",
104277,"BRYANS, LEONARD","Dallas, TX 75206",
105970,"BUCKEYE ENERGY, INC.","Midland, TX 79702",
106343,"BUD OIL, INC.","Duncan, OK 73534",24
106449,"BULL OPERATING, LLC","Houston, TX 77010",2
106512,BULLDOG EXPLORATION COMPANY,"Houston, TX 77090",
106515,"BULLDOG EXPLORATION, LP","Houston, TX 77090",
106513,"BULLET DEVELOPMENT, LLC","Abilene, TX 79601",19
108069,"BURGER, F.W. INC.","Abilene, TX 79604",
108575,"BURGESS, W. E.","Fort Worth, TX 76147",
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
112691,BUSTAMANTE OIL CO,"Midland, TX 79710",
112685,BUSTAMANTE OIL COMPANY,"Midland, TX 79710",24
119795,BYRNE OIL COMPANY,"Lubbock, TX 79424",10
120568,C & L OPERATING COMPANY,"Abilene, TX 79603",
121085,"C. W. RESOURCES, INC.","Longview, TX 75604",9
119843,"C.A.S. SERVICES, INC.","Eastland, TX 76448",
121220,CABANA OIL CORP.,"Abilene, TX 79608",
122110,CACHE OIL CO.,"Albany, TX 76430",
122588,"CAG EXPLORATION, INC.","Dallas, TX 75225",
123555,CALBRO OIL & GAS INC.,"Abilene, TX 79605",
123690,CALHOUN & ELLISON OIL CO.,"San Antonio, TX 78248",
124795,"CALLINCO, INC.","Abilene, TX 79601",
125940,"CALOCO ENERGY, INC.","Dallas, TX 75218",
126090,CALUMET CORP.,"Dallas, TX 75206",
127247,"CAMINAR OIL & GAS, LLC","Abilene, TX 79602",
127250,"CAMINO INTERNATIONAL, INC.","Farmers BRNCH, TX 75234",
129675,CAN-TEX ENERGY CORP.,"Dallas, TX 75231",
129223,CANNON OPERATING COMPANY LLC,"Garland, TX 75043",
130455,"CAPPS, RANDALL","Midland, TX 79702",
130793,CARDINAL OIL COMPANY,"Lubbock, TX 79413",
130828,CARDINAL PRODUCING CO.,"Abilene, TX 79606",
131835,CARL OIL & GAS CO.,"Bakersfield, CA 93309",
135210,CARR EXPLORATION CORP.,"Dallas, TX 75225",
135810,CARRLAND OIL & GAS INC.,"Prosper, TX 75078",1
135844,"CARROLL OPERATING, LLC","Abilene, TX 79608",
138090,CARTER OIL & GAS,"Abilene, TX 79605",
140582,CAYCE ENTERPRISES,"Fort Worth, TX 76109",
120043,CD CONSULTING & OPERATING CO.,"Bridgeport, TX 76426",9
140598,CDJ OIL CO.,"Albany, TX 76430",7
140599,CEDAR OIL COMPANY,"Abilene, TX 79608",17
140622,"CEDAR RIDGE ENERGY, INC.","Coleman, TX 76834",4
141030,CENTAUR PETROLEUM CORPORATION,"Fort Worth, TX 76101",2
141147,"CENTEX OPERATING, INC.","Austin, TX 78746",
141188,CENTRAL BASIN OIL INV. INC.,"Southlake, TX 76092",
141995,"CERCO PETROLEUM, INC.","Abilene, TX 79604",
142205,"CEWARCO, INC.","Dallas, TX 75229",
142590,CHALMERS & WORSHAM,"Abilene, TX 79605",
142425,CHALMERS EXPLORATION COMPANY,"Abilene, TX 79608",
142450,"CHALMERS OPERATING CO., INC.","Abilene, TX 79601",
142485,"CHALMERS, JOHN H.","Abilene, TX 79605",
143000,"CHAMBERS, JACKIE","Clyde, TX 79510",
143550,"CHAMBERS, R. H.","Abilene, TX 79606",
144179,CHAN WEST OIL CORPORATION,"Irving, TX 75016",
144200,"CHANCELLOR, EARL SALES CO., INC.","Sweetwater, TX 79556",
147849,"CHESTNUT MOUNTAIN ENERGY, LLC","Fort Worth, TX 76101",12
149451,CHISHOLM EXPLORATION,"Abilene, TX 79604",
149454,"CHISHOLM OPERATING, INC.","Abilene, TX 79606",11
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
150825,"CHRISTI CO., INC. THE","Abilene, TX 79602",
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
153433,"CIGNA ENERGY RESOURCES, INC.","Englewood, CO 80155",
153970,"CIRCLE RIDGE PRODUCTION, INC.","Graham, TX 76450",
154780,"CKG ENERGY, INC.","Austin, TX 78726",
159600,CLEAR FORK OIL CO.,"Fort Worth, TX 76121",
159500,"CLEAR FORK, INCORPORATED","Abilene, TX 79604",31
160560,"CLICK, B. D. CO., INC.","Abilene, TX 79608",
161330,"CLOVER OIL & GAS, INC.","Richardson, TX 75081",
120681,"CMS FIELD SERVICES, INC.","Greenwood VLG, CO 80111",
161428,CO ENERGY,"Benbrook, TX 76126",
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
167035,"COLA PETROLEUM, INC.","Midland, TX 79701",
167272,COLEMAN & JOHNSON OIL COMPANY,"Brownwood, TX 76801",
168905,"COLO CONSTRUCTION CO., INC.","Abilene, TX 79602",
168907,"COLO EXPLORATION COMPANY, INC.","Benbrook, TX 76126",
169119,COLT OIL & GAS CO.,"Abilene, TX 79601",
169397,"COMANCHE OIL EXPLORATION, INC.","Aurora, CO 80012",
170055,"COMPUTECH ENERGY & EXPLOR., INC.","Abilene, TX 79605",
170163,"CONCHO OILFIELD SERVICE, INC.","Albany, TX 76430",
170513,CONDOR PETROLEUM COMPANY,"Houston, TX 77052",
173790,"CONTINUAL OIL & GAS, INC.","Abilene, TX 79602",
176300,"COPA OPERATING, INC","Abilene, TX 79605",
177870,"CORAL E&P, LLC","Adkins, TX 78101",
177900,CORAL OIL CO.,"Abilene, TX 79604",
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
182075,COTTONWOOD PETROLEUM CO.,"Abilene, TX 79603",
182165,"COUCH OIL & GAS, INC.","Dallas, TX 75229",
186141,"COX ENGINEERING, LLC","Abilene, TX 79605",
188584,CREGO EXPLORATION,"Dallas, TX 75243",
189449,CRESCENT EXPLORATION COMPANY,"Austin, TX 78767",
189720,CRESLENN OIL COMPANY,"Dallas, TX 75201",
189960,"CREW ENERGY U.S.A., INC.","Clyde, TX 79510",
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",
191534,CROWN EQUIPMENT CO.,"Weatherford, TX 76086",36
191535,CROWN EXPLORATION COMPANY,"Abilene, TX 79605",
191571,"CRT'S, INC.","Abilene, TX 79605",
191905,CUATRO OIL AND GAS CORPORATION,"Abilene, TX 79603",
194820,"CURD, W. P. JR. & SONS","Knox City, TX 79529",
194831,CURRAN-KIEL INC.,"Abilene, TX 79603",
195792,"CVM SERVICES, LLC","Allegan, MI 49010",
195838,"CWIC, INC.","Granbury, TX 76049",
195776,"CWO ENERGY, LLC","Midland, TX 79705",
196193,D & H OPERATING,"Round Rock, TX 78680",
196151,"D-BAR LEASING, INC.","Abilene, TX 79604",
196859,D-S PIPE LINE CORP.,"San Antonio, TX 78269",
195866,"D. A. B. OIL SERVICE, INC.","Abilene, TX 79608",
195925,"D. W. R. OIL CO., INC.","Merkel, TX 79536",14
196227,D.J. & T. ENERGY,"Abilene, TX 79601",22
196279,"D.J.F. SERVICES, INC.","Holdenville, OK 74848",4
196285,D.K.D.,"Merkel, TX 79536",
196980,"DAF OPERATING, LLC","Houston, TX 77005",
197416,"DAKOTA RESOURCES, INC. (I)","Midland, TX 79707",
197634,DALEN RESOURCES OIL & GAS CO.,"Dallas, TX 75206",
