Operator Number,Operator Name,Location,Leases
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
953636,4-M OPERATING COMPANY,"Abilene, TX 79601",
000136,A.B.C. ENERGY CO.,"Midland, TX 79702",
002635,ABILENE OIL & GAS CO.,"Abilene, TX 79604",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",10
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",
014984,"ALLMON OPERATING CO., INC.","Lubbock, TX 79452",
018026,AMERICAN ENERGY DEVELOPMENT CO.,"Midland, TX 79701",
019789,"AMES, ADRIAN","Aransas Pass, TX 78336",
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
020581,"ANATHEMA, INC.","Abilene, TX 79601",
020591,"ANCHOR PETROLEUM, INC.","Lubbock, TX 79464",
020920,"ANDERSON, CARL T.","Wichita Falls, TX 76301",
025440,"ANGELO, ERNEST, JR.","Midland, TX 79701",
026705,ANVIL PETROLEUM CORPORATION,"Houston, TX 77005",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028667,"AQUILA PETROLEUM, INC.","Wichita Falls, TX 76307",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
034380,ASHFORD OIL & GAS COMPANY,"Houston, TX 77282",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036603,"ATMOS ENERGY,WEST TEXAS DIVISION","Lubbock, TX 79424",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
036596,"ATNIPP, H. L.","Midland, TX 79701",
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",20
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",
037877,"AVAD OPERATING, LLC","Dallas, TX 75201",
040391,B & F OIL COMPANY,"Seymour, TX 76380",
039885,B. B. & B.,"Abilene, TX 79608",
044261,"BAIR-LEE OIL CO., INC.","Wichita Falls, TX 76301",
048943,"BARBEE, INC.","Abilene, TX 79604",
048970,"BARBEE, JOHN W.","Abilene, TX 79604",
050854,"BARNETT OPERATING, INC.","Wichita Falls, TX 76308",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
058891,BBE PRODUCTION CO.,"Haskell, TX 79521",
058928,"BBE PRODUCTION, LLC","Haskell, TX 79521",1
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",
065847,"BENSON MINERAL GROUP, INC.","Denver, CO 80202",
066010,"BENTLEY, CHARLES H.","Wichita Falls, TX 76307",
068287,"BEST PETROLEUM EXPLORATIONS,INC.","Jacksboro, TX 76458",26
