Operator Number,Operator Name,Location,Leases
953747,3-G OPERATING COMPANY,"Houston, TX 77244",
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",
003385,ACC EXPLORATION COMPANY,"Houston, TX 77005",
003387,ACC OPERATING COMPANY,"Baytown, TX 77522",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003735,ADA BELLE OIL & GAS COMPANY,"Sourlake, TX 77659",
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",
009534,"AJ'S PUMP TRUCK SERVICE, INC.","Odessa, TX 79760",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",4
015145,"ALPINE EXPLORATION CO, INC.","Dallas, TX 75360",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018044,"AMERICAN ENERGY OP. CORP.,THE","Houston, TX 77099",
019959,AMICUS ENERGY INC.,"Houston, TX 77002",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
022547,"ANDERSON PETROLEUM, INC.","Denver, CO 80203",
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
020845,"ANDERSON, ARNOLD","Arlington, TX 76012",
025490,ANGLO PRODUCTION COMPANY,"Dallas, TX 75201",
025637,ANR PRODUCTION COMPANY,"Houston, TX 77046",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027344,APB OIL CORPORATION,"Houston, TX 77052",
027210,APD COMPANY,"Houston, TX 77210",
028734,"ARCADIA OPERATING, LLC","Dallas, TX 75219",46
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029348,ARCO OIL & GAS CO.-SILSBEE,"Lafayette, LA 70505",
030300,"ARISTA NOVELTY, INC.","Houston, TX 77256",
032940,"ARNOLD, JERRY W.","Humble, TX 77338",
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",12
034241,ASHER RESOURCES,"Boerne, TX 78006",
035311,"ASHWORTH ENERGY, INC.","Humble, TX 77346",
035452,ASPECT RESOURCES LLC,"Denver, CO 80202",
035633,ATAPCO,"Houston, TX 77040",
035642,ATASCOCITA OIL CORPORATION,"Houston, TX 77055",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036563,ATLANTIC RICHFIELD CO.-SILSBEE,"Silsbee, TX 77656",
036579,ATLAS PETRO LTD. L.C.,"Houston, TX 77290",
036612,ATP OIL & GAS CORPORATION,"Houston, TX 77027",
036795,AUDEN OIL INC.,"Hardin, TX 77561",
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039791,"B & B OIL, INC.","Kerrville, TX 78028",
040403,B & G ENERGY CORPORATION,"Dallas, TX 75214",
042390,"B A C O, LTD.","Hardin, TX 77561",
040778,"B-J ENERGY ENTERPRISES, INC.","Houston, TX 77074",
040830,B.O. OIL COMPANY,"Houston, TX 77089",
042685,"BAGLEY, ROY","Magnolia, TX 77354",
