Operator Number,Operator Name,Location,Leases
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
003100,"ABRAHAM, MALOUF COMPANY, INC.","Canadian, TX 79014",
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",
003990,ADAMS PETROLEUM ENTERPRISES CORP,"Tulsa, OK 74155",
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016802,"AMARILLO EXPLORATION, INC.","Dallas, TX 75360",26
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020591,"ANCHOR PETROLEUM, INC.","Lubbock, TX 79464",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027465,"APEXCO, INC.*****","Tulsa, OK 74103",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
033134,"ARRINGTON CJM, INC.","Canadian, TX 79014",
033146,"ARRINGTON OIL CO., INC.","Canadian, TX 79014",
033147,ARRINGTON PRODUCTION COMPANY,"Pampa, TX 79066",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
036051,"ATHENA ENERGY, INC.","Gallatin, TN 37066",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
040377,"B&E EXPLORATION, INC.","Perryton, TX 79070",
047175,BALCONES PRODUCTION COMPANY,"Houston, TX 77002",
048163,BALL OIL FIELD SERVICE,"Eastland, TX 76448",
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",
049155,BARBOUR ENERGY CORPORATION,"Oklahoma City, OK 73113",2
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
040205,BCE-MACH II LLC,"Oklahoma City, OK 73134",246
100676,"BE Anadarko II, LLC","Austin, TX 78731",387
061609,BEDSTONE OPERATING CO.,"Pampa, TX 79065",
065846,BENSON-MCCOWN & COMPANY,"Amarillo, TX 79114",
066995,BEREXCO INC.,"Wichita, KS 67208",
072614,BLACK'S OIL & GAS,"Pampa, TX 79066",9
072597,"BLACK, FRANK J. ESTATE","Overland Park, KS 66213",
077905,"BOBWHITE PRODUCTION COMPANY, INC","Tulsa, OK 74112",
083292,BOSWELL ENERGY CORP.,"Oklahoma City, OK 73112",
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
085485,BRACKEN ENERGY COMPANY,"Oklahoma City, OK 73118",
085490,BRACKEN EXPLORATION COMPANY,"Oklahoma City, OK 73118",
085851,"BRACKEN OPERATING, L.L.C.","Perryton, TX 79070",130
087885,BRADMAR PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093342,"BRIGHTON ENERGY, L.L.C.","Tulsa, OK 74170",
095340,BROCK OIL & GAS CORPORATION,"Tulsa, OK 74103",
097498,"BROWN & BORELLI, INC.","Kingfisher, OK 73750",2
102550,"BROWN, TOM INC.","Dallas, TX 75240",
105558,BUCK PRODUCTION CO LLC,"Bristow, OK 74010",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",
121225,CABEEN EXPLORATION CORPORATION,"Los Angeles, CA 90049",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
122891,"CAGO, INC.","College Sta, TX 77845",2
123133,"CAIRN ENERGY, USA, INC.","Houston, TX 77077",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
129932,CANYON EXPLORATION CO.,"Amarillo, TX 79105",
130545,CAPTUREPOINT LLC,"Allen, TX 75013",12
136042,CARSON BUCKLES EXPLORATION LLC,"Midland, TX 79710",9
139611,CASS ENERGY CORP,"Dallas, TX 75225",
141255,"CENTRAL TEXAS OPERATING, INC.","Breckenridge, TX 76424",1
142283,CHALKER OPERATING INC.,"Richmond, TX 77406",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
146669,"CHARTER OAK PRODUCTION CO., LLC","Oklahoma City, OK 73134",19
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
153438,CIMAREX ENERGY CO.,"Midland, TX 79706",575
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
153696,CIRCLE M ROYALTY CO.,"Fort Worth, TX 76106",
153675,"CIRCLE M ROYALTY CO., INC.","Weatherford, TX 76087",
154107,"CISCO OPERATING, LLC","Plano, TX 75024",
154540,CITRUS ENERGY CORPORATION,"Castle Rock, CO 80104",
120600,"CJD DISPOSALS, LLC","Perryton, TX 79070",
161372,CMS NOMECO OIL & GAS CO.,"Jackson, MI 49201",
161397,CNG PRODUCING COMPANY,"New Orleans, LA 70112",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
167278,"COLEMANITE, INC.","Abilene, TX 79606",3
169685,COMINCO AMERICAN INC.,"Spokane, WA 99220",
169785,"COMPLETE ENERGY SERVICES, INC.","Mustang, OK 73064",
170054,"COMSTOCK OIL & GAS, INC.","Frisco, TX 75034",
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",119
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",
100222,"Contango Resources, LLC","Houston, TX 77002",433
173649,"CONTINENTAL EXPLORATION, L.L.C.","Lufkin, TX 75915",
173749,CONTINENTAL OPERATING CO.,"Houston, TX 77024",
173783,"CONTINENTAL TREND RESOURCES, INC","Oklahoma City, OK 73126",
175105,"COOP ENERGY, INC.","Perryton, TX 79070",
178270,"CORDILLERA ENERGY PARTNERS, LLC","Greenwood VLG, CO 80111",
178273,"CORDILLERA TEXAS, L.P.","Greenwood VLG, CO 80111",
178450,CORLENA OIL COMPANY,"Amarillo, TX 79101",26
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
182692,"COUROIL, INC.","Perryton, TX 79070",
182785,"COURSON OIL & GAS, INC.","Perryton, TX 79070",181
182770,"COURSON, HAROLD D.","Perryton, TX 79070",
185263,"COX, EDWIN L. & COX, BERRY R.","Corpus Chrsti, TX 78470",
185980,"COX, JOHN L.","Midland, TX 79702",
186937,CRAWLEY PETROLEUM CORPORATION,"Oklahoma City, OK 73102",4
188560,CREDO PETROLEUM CORPORATION,"Denver, CO 80202",
188550,"CREEDE ENERGY COMPANY, L.P.","Oklahoma City, OK 73118",
189451,"CRESCENDO RESOURCES, L.P.","Amarillo, TX 79188",
189901,"CREST RESOURCES, INC.","Tulsa, OK 74103",13
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
191628,CRUSADER ENERGY CORPORATION,"Oklahoma City, OK 73102",
191624,CRUSADER ENERGY GROUP INC.,"Austin, TX 78746",
191621,"CRUSADER ENERGY GROUP, LLC","Oklahoma City, OK 73142",
191627,"CRUSADER ENERGY II, LLC","Oklahoma City, OK 73102",
191683,CRYSTAL RIVER OIL & GAS LLC,"Snowmass VLG., CO 81615",
196131,D & E OIL CO.,"Perryton, TX 79070",
196079,"D C ENERGY, INC.","Oklahoma City, OK 73134",
196263,D M H PRODUCTION COMPANY,"Pampa, TX 79065",
196640,D. M. H. PRODUCERS,"Pampa, TX 79066",
196927,D.W.P. PRODUCTION,"Perryton, TX 79070",
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",
198395,"DANIEL, D. A. INC.","Perryton, TX 79070",
199450,DANIELS ENERGY,"Pampa, TX 79066",
199550,"DANIELS, EARLENE","Follett, TX 79034",
199606,"DANIELS, J.C. ENERGY","Pampa, TX 79066",
199613,DANLEE PRODUCTION,"Perryton, TX 79070",
205800,DAVIS OIL COMPANY,"New Orleans, LA 70130",
209650,DEEP REEF INDUSTRIES,"Amarillo, TX 79101",
215330,"DENALI EXPLORATION, INC.","Amarillo, TX 79109",
