Operator Number,Operator Name,Location,Leases
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
953535,31 OPERATING LLC,"Kilgore, TX 75663",
000017,A + INVESTMENTS A TEXAS LLC,"George West, TX 78022",
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
008578,AGARITA OIL CO.,"Beeville, TX 78102",
008610,AGENA OIL & GAS,"San Antonio, TX 78209",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
008725,"AGOIL, INC.","Victoria, TX 77901",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
010070,ALAMO PET. CO.,"Houston, TX 77042",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
014000,"ALLEN, T. M.","Corpus Chrsti, TX 78413",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
015724,"ALTA VISTA EXPLORATION, INC.","Corpus Chrsti, TX 78471",
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",1
020215,AMINOIL USA INC.,"Midland, TX 79701",
020419,AMOCO MINERALS COMPANY,"Englewood, CO 80155",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020566,"ANACONDA CO., THE","Denver, CO 80202",
020569,"ANAQUA OIL & GAS, INC.","Corpus Chrsti, TX 78401",
022497,ANDERSON OIL CORPORATION,"Corpus Chrsti, TX 78403",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
022548,"ANDERSON PETRO-EQUIPMENT, INC.","Montgomery, TX 77356",
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027424,"APEX ENERGY, INC.","Corpus Chrsti, TX 78413",
028671,ARANSAS DRLG & WORKOVER CO INC,"Corpus Chrsti, TX 78409",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029585,ARENA OIL & GAS COMPANY,"Tyler, TX 75713",
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033895,"ASCEND OIL & GAS, L.L.C.","Kilgore, TX 75663",
035449,"ASPEN ENERGY, INC.","Seguin, TX 78156",
035410,"ASPEN EXPLORATION, INC.","Houston, TX 77002",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036073,"ATKINSON, CLIFFORD III","San Antonio, TX 78217",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036642,ATWOOD EXPLORATION COMPANY,"Houston, TX 77057",
036742,"AUBURN ENTERPRISES, INC.","Kyle, TX 78640",
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
036928,"AURORA USA DEVELOPMENT, LLC","Houston, TX 77002",
