Operator Number,Operator Name,Location,Leases
857550,3 $ OIL COMPANY,"Lubbock, TX 79413",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
020435,AMOCO PRODUCTION CO.-LEVELLAND,"Brownfield, TX 79316",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
026802,"AOCO OPERATING COMPANY, L.L.C.","Houston, TX 77008",
026760,"AOCO OPERATING, L.P.","Houston, TX 77008",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
028631,"AQUEOUS OPERATING, LLC","Lubbock, TX 79408",
029860,ARGO PETROLEUM CORPORATION,"Midland, TX 79708",
030791,"ARKLAND PRODUCING CO., INC.","Midland, TX 79701",
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036592,ATMOS ENERGY CORPORATION,"Lubbock, TX 79408",
036603,"ATMOS ENERGY,WEST TEXAS DIVISION","Lubbock, TX 79424",
039802,"B & B OPERATING CO, INC.","Levelland, TX 79336",
048175,BANAM CORPORATION,"Midland, TX 79702",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
049400,BARKER EXPLORATION CO.,"Denver, CO 80293",
049511,"BARKER, LAWRENCE JR.","San Francisco, CA 94111",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
058975,"BEACH, WILLIAM N.","Midland, TX 79702",
065846,BENSON-MCCOWN & COMPANY,"Amarillo, TX 79114",
067630,"BERNAL OIL & GAS, INC.","Midland, TX 79705",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
094871,BROADWAY OPERATING COMPANY INC.,"Lubbock, TX 79401",
100268,"BROWN, H. L., JR.","Midland, TX 79702",
100263,"BROWN, H.L. OPERATING, L.L.C.","Midland, TX 79702",14
102550,"BROWN, TOM INC.","Dallas, TX 75240",
106531,"BULLIN, R. E. OPERATING INC.","Levelland, TX 79336",20
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
111463,BURTCO,"Lubbock, TX 79407",1
121930,CABOT CORP.,"Amarillo, TX 79105",
129675,CAN-TEX ENERGY CORP.,"Dallas, TX 75231",
130455,"CAPPS, RANDALL","Midland, TX 79702",
130475,CAPROCK OIL CO.,"Ralls, TX 79357",
132340,CARLOW CORP.,"Midland, TX 79702",
141030,CENTAUR PETROLEUM CORPORATION,"Fort Worth, TX 76101",2
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
144625,"CHAPMAN EXPLORATION, INC.","Tulsa, OK 74136",
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
159639,CLEARFORK PETROLEUM INC. (A),"Lubbock, TX 79408",
159642,"CLEARFORK PETROLEUM, INC","Lubbock, TX 79417",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
170181,CONCHO RESOURCES INC.,"Oklahoma City, OK 73154",
170765,CONE & PETREE OIL & GAS EXP. INC,"Lubbock, TX 79453",
170775,"CONE, S. E. JR.","Lubbock, TX 79408",
172236,CONQUEST OIL COMPANY,"Big Spring, TX 79721",
172740,"CONSOLIDATED OIL & GAS, INC.","Denver, CO 80202",
180351,"CORY, KENNETH W. LTD.","Bellaire, TX 77401",2
182787,COVE PETROLEUM CORPORATION,"Shreveport, LA 71101",
