Operator Number,Operator Name,Location,Leases
000480,A & P OIL & GAS,"Leona, TX 75850",
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
012443,ALFORD PETROLEUM CORP.,"The Woodlands, TX 77380",
013237,ALL AMERICAN OPERATING,"Conroe, TX 77305",
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",4
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
102055,AMERICAN ENERGY TEXAS INC,"Mineral Wells, TX 76067",2
019809,AMF PRODUCTION COMPANY,"Houston, TX 77090",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
041864,"B.W.O.C., INC.","Plano, TX 75026",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
049170,BARCO OIL & GAS CO.,"Houston, TX 77098",
050370,BARNES OIL & GAS LLC,"Nashville, TN 37221",
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
058893,"BC OPERATING, INC.","Midland, TX 79710",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
076855,"BLUESTONE NATURAL RESOURCES, LLC","Tulsa, OK 74114",
077541,"BMG HOLDINGS, LLC","Bryan, TX 77805",
083990,BOW VALLEY PETROLEUM INC.,"Houston, TX 77002",
093342,"BRIGHTON ENERGY, L.L.C.","Tulsa, OK 74170",
093621,"BRITNIC OIL & GAS, INC.","College Sta, TX 77845",
097323,BROOKS PETROLEUM COMPANY,"Tyler, TX 75703",
100525,"BROWN, J. K. INC.","Denver, CO 80202",
103700,"BRUMMETT, J. O.","Houston, TX 77098",
100330,"Buffalo XXII Operating, LLC","The Woodlands, TX 77380",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
115750,BUTTES RESOURCES COMPANY,"Houston, TX 77056",
117237,"BVX OPERATING, INC.","Boerne, TX 78006",5
120529,"C&E PRODUCTION, LLC","Bryan, TX 77808",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
122891,"CAGO, INC.","College Sta, TX 77845",2
123581,CAJUN PETROLEUM CO.,"College Sta, TX 77841",
126996,"CAMERON EXPLORATION, INC.","Longview, TX 75604",9
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
130830,CARDINAL WELL SERVICE INC.,"Conroe, TX 77305",
138630,"CARTER-LANGHAM, INC.","Dallas, TX 75205",1
140718,CEI OPERATING LLC,"Katy, TX 77449",
142195,"CH4 ENERGY II, LLC","Fort Worth, TX 76109",
142295,"CHALLENGE OPERATING, INC.","Tulsa, OK 74103",
142874,"CHAMBERS & BEST PETROLEUM, INC","Stafford, TX 77477",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
152910,CHRISTICO PETROLEUM COMPANY,"San Antonio, TX 78216",
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
153478,"CINCO OPERATING COMPANY, LLC","Austin, TX 78746",
155231,"CLARK PETROLEUM & LAND, INC.","Dallas, TX 75252",
160606,CLIFFWOOD PRODUCTION CO.,"Houston, TX 77090",
120648,"CML EXPLORATION, LLC","Austin, TX 78746",177
166061,"COFFMAN, THOMAS D. INC.","Austin, TX 78767",
169600,"COMET OIL & GAS, INC.","Conroe, TX 77305",
169662,COMET PRODUCTION,"Conroe, TX 77305",
172230,CONOCO INC.,"Houston, TX 77252",
173206,"CONTANGO RESOURCES, INC.","Houston, TX 77002",
100222,"Contango Resources, LLC","Houston, TX 77002",433
178278,"CORDILLERA ENERGY PRTNRS III,LLC","Houston, TX 77056",
179353,"CORONADO ENERGY E&P COMPANY, LLC","Houston, TX 77252",
180350,"CORY, KENNETH W.","Bellaire, TX 77401",
180351,"CORY, KENNETH W. LTD.","Bellaire, TX 77401",2
186715,CRAWFORD ENERGY OPERATING CO,"Houston, TX 77056",
186953,"CRD OPERATING, LLC","Fort Worth, TX 76116",
189981,CRIMSON EXPLORATION INC.,"Houston, TX 77060",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",
