Operator Number,Operator Name,Location,Leases
100327,1859 OPERATING LLC,"San Antonio, TX 78205",12
954960,"21ST FOX ENERGY TEXAS, INC.","Brookshire, TX 77423",
396050,"338 OIL & GAS, INC.","Devine, TX 78016",
953578,3B RANCH,"Houston, TX 77035",2
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",
000148,AAA OIL COMPANY,"Castroville, TX 78009",1
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003583,"ACKERMAN, ALBERT C.","Boerne, TX 78006",
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",10
003673,"ACTIVA RESOURCES, LTD.","San Antonio, TX 78205",
004041,"ADAMS, A. G., THE ESTATE OF","Houston, TX 77251",
004020,"ADAMS, A.G.","Houston, TX 77251",
007915,ADJ COMPANY,"San Antonio, TX 78217",
009795,ALAMO ENERGY,"San Antonio, TX 78232",
011115,"ALBERTA ENERGY RECOVERY, LTD.","Montgomery, TX 77356",
012465,ALHANCO ENERGY CORPORATION,"Midland, TX 79701",
015630,"ALRICH OIL & GAS, INC.","Corpus Chrsti, TX 78410",
016943,AMELIA EXPLORATION LLC,"Rowlett, TX 75088",1
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",
020106,"AMINEX USA, INC.","Somerset, TX 78069",
020564,ANACACHO ENERGY PRODUCTION CO.,"Coppell, TX 75019",
020557,ANACACHO PRODUCTION COMPANY,"Austin, TX 78723",
025355,"ANDY'S OIL COMPANY, INC.","Bowie, TX 76230",
025380,"ANGERMILLER, ROY L.","Hondo, TX 78861",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
026680,"ANTONIO CRUDE OIL CO., INC.","Escondido, CA 92027",
033200,ARROW PETROLEUM COMPANY,"San Antonio, TX 78209",
036073,"ATKINSON, CLIFFORD III","San Antonio, TX 78217",
037850,"AUTREY, D. W.","Unknown, XX 99999",
039682,"AZTEC DRILLING & OPERATING, LLC","Houston, TX 77056",
040397,"B & F OPERATING COMPANY, INC.","Houston, TX 77040",
040553,B & H OIL COMPANY,"Devine, TX 78016",
040734,B & L PRODUCTION CO.,"Dallas, TX 75219",
041863,B.T.H. INVESTMENTS,"Corpus Chrsti, TX 78403",
042453,"BAGBY, J. THOMAS, JR.","Houston, TX 77221",
049753,BAR M PETROLEUM CO.,"Universal Cty, TX 78148",
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
049953,BARNES PRODUCTION,"La Coste, TX 78039",
050300,"BARNES, K. A.","Somerset, TX 78069",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
056550,"BAXTER, D. B. INC.","Midland, TX 79708",
058862,"BAYPORT EXPLORATION, INC.","Houston, TX 77253",
063728,"BELLIS-WEAVER RESOURCES, INC.","Aurora, CO 80014",
064104,"BENCHMARK TEXAS PETROLEUM, LLC.","Tulsa, OK 74103",
064230,"BENGAIL, INC","Del Rio, TX 78840",
064335,"BENKE, MALVERN","D'Hanis, TX 78850",
068314,BETA OIL CORPORATION,"San Antonio, TX 78232",7
070897,"BINGHAM, CLARK","Devine, TX 78016",
072562,BISON ENERGY CORPORATION,"Giddings, TX 78942",
072620,"BLACK CREEK OIL COMPANY, LLC","Yancey, TX 78886",2
072706,"BLACK JACK WELL SERVICE, INC.","Somerset, TX 78069",
072693,"BLACK MAC OIL, INC.","Hondo, TX 78861",
073057,"BLACKBIRD OIL & GAS, LLC.","San Antonio, TX 78209",
076852,"BLUEWATER ENERGY, INC.","Houston, TX 77027",
078370,"BOEKEN, CLARK E.","San Antonio, TX 78216",
084535,"BOYCE OIL CO., INC.","Utopia, TX 78884",
085365,"BP OPERATING, INC.","Denver, CO 80202",
090876,BRIAR HOLLOW ENERGY COMPANY,"Portland, TX 78374",
