Operator Number,Operator Name,Location,Leases
953617,"3PGM, LTD.","Albuquerque, NM 87103",
000940,ABBA RESOURCES CORP,"Dallas, TX 75204",
001506,"ABEL, M.D. CO.","Lampasas, TX 76550",
007911,ADINO EXPLORATION,"Denham SPGS, LA 70726",
008504,"ADVANCED EIGHT EXPLORATION, LLC","Texarkana, AR 71854",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
102197,ALLISON LEASE SERVICES LLC,"San Angelo, TX 76904",1
016537,"ALWAYS CONSULTING, INC.","Richardson, TX 75080",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
022275,"ANDERSON, JAMES K. INC.","Abilene, TX 79608",2
026200,"ANTHONY EXPLORATION, INC.","Abilene, TX 79604",
030575,"ARK ENERGY, INC.","Houston, TX 77056",
033563,"ARROYO DRILLING & EXPLOR., INC.","San Angelo, TX 76903",
036546,"ATLANTIC OPERATING, INC.","Midland, TX 79702",
039715,"AZTEC OIL & GAS COMPANY ""A""","Wichita Falls, TX 76309",
039784,"B&B ACEITE, INC","Friendswood, TX 77546",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
059689,"BEACON PETROLEUM MGMT.,INC.","Dallas, TX 75244",
064792,"BENNETT, M. BRAD & R. HILLIN NRM","Midland, TX 79701",
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
072538,BIT WELL SERVICE & CEMENTERS,"Ballinger, TX 76821",
072730,"BLACK RESOURCES, INC.","Granbury, TX 76049",
074006,BLAIR OPERATING COMPANY,"Menard, TX 76859",
076385,"BLS PRODUCTION CO., INC.","Wichita Falls, TX 76308",63
078050,"BOB HUGHES OIL COMPANY, LLC","San Angelo, TX 76901",28
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",
084081,BOWERMAN ENERGY COMPANY,"Arlington, TX 76004",
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",5
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
093125,BRIGHT & CO.,"The Colony, TX 75056",
094868,"BROADWAY PETROLEUM COMPANY, LLC","New York, NY 10152",
096693,BROOKER-TSE OPERATIONS,"Levelland, TX 79336",
099750,"BROWN, FRED G.","Midland, TX 79701",
099752,"BROWN, FRED G. INC.","Midland, TX 79703",
100530,"BROWN, J. R.","Houston, TX 77063",
112579,BUSH EXPLORATION COMPANY,"Midland, TX 79702",
118748,BYRD OPERATING COMPANY,"Midland, TX 79702",15
122588,"CAG EXPLORATION, INC.","Dallas, TX 75225",
123912,"CALLAN OPERATING COMPANY, LLC","Magnolia, TX 77354",
134550,"CARPENTER, WALTER G.","Kerrville, TX 78028",
140612,CAZAR ENERGY INC,"Austin, TX 78734",13
120105,"CFO RESOURCES, INC.","Corpus Chrsti, TX 78412",
152379,CHALLENGER OIL INC,"San Antonio, TX 78209",
142450,"CHALMERS OPERATING CO., INC.","Abilene, TX 79601",
