Operator Number,Operator Name,Location,Leases
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",
953786,"5H OIL CO., LLC","Dallas, TX 75225",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
001506,"ABEL, M.D. CO.","Lampasas, TX 76550",
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003589,"ACME ENERGY SERVICES, INC.","Midland, TX 79701",
003606,"ACOMA OPERATING, LLC","Lubbock, TX 79424",32
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",
008493,"ADVENTURE EXPLORATION PTRS, LLC","Midland, TX 79702",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
013296,ALLEDER INC.,"Midland, TX 79702",9
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",
015098,"ALON USA, LP","Big Spring, TX 79720",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015744,"ALTMAN ENERGY, INC.","Tulsa, OK 74114",
015741,"ALTO MINERALS, INC.","Midland, TX 79708",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020479,"AMRICH OPERATING, LLC","Midland, TX 79702",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
026415,"ANTHONY, BOB G. INC.","Brookhaven, MS 39601",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
028618,"AQUA TERRA PERMIAN, LLC","Houston, TX 77056",
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
029700,ARGEE OIL COMPANY,"Midland, TX 79702",
030791,"ARKLAND PRODUCING CO., INC.","Midland, TX 79701",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",
034500,"ASHLAND OIL, INC.","Lexington, KY 40512",
036047,ATHLON ENERGY OPERATING LLC,"Denver, CO 80202",
036048,ATHLON FE OPERATING LLC,"Fort Worth, TX 76102",
036067,ATHLON HOLDINGS LP,"Denver, CO 80202",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
