Operator Number,Operator Name,Location,Leases
101981,314 OPERATING,"Rotan, TX 79546",6
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
004585,"ADAMS, DAVID","Mountainburg, AR 72946",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",
014984,"ALLMON OPERATING CO., INC.","Lubbock, TX 79452",
015134,ALPHA TWENTY-ONE PRODUCTION CO.,"Midland, TX 79701",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",20
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
025698,"ANTELOPE ENERGY COMPANY, LLC","Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
030808,"ARKOMA PROD CO OF TEXAS, INC.","Dallas, TX 75225",
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",
033860,ASAMERA OIL (U.S.) INC.,"Denver, CO 80201",
035601,ASTIN CORP.,"Dallas, TX 75229",
035633,ATAPCO,"Houston, TX 77040",
036573,ATLAS ENERGY CORP.,"Dallas, TX 75231",
036574,ATLAS ENERGY CORPORATION (DEL.),"Oklahoma City, OK 73112",
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",
040138,B-B PRODUCTION,"Ira, TX 79527",
040655,B-J OILFIELD ENTERPRISES INC.,"Levelland, TX 79336",
039890,B. B. & C.,"Big Spring, TX 79720",
048175,BANAM CORPORATION,"Midland, TX 79702",
048945,"BARBEE, BILL J.","Amarillo, TX 79101",
048943,"BARBEE, INC.","Abilene, TX 79604",
048970,"BARBEE, JOHN W.","Abilene, TX 79604",
049136,"BARBER, DAN L.","Corpus Chrsti, TX 78401",
049163,BARBSCO,"Corpus Chrsti, TX 78412",
049397,"BARKER BROWN INVESTMENTS, LLC.","Midland, TX 79701",
050400,BARNES-POMEROY OIL COMPANY,"Pasadena, TX 77504",
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
058832,"BAYLOR OPERATING, LLC","Austin, TX 78766",10
058827,BAYSWATER OPERATING COMPANY LLC,"Denver, CO 80202",52
058873,"BAYTECH, INC.","Midland, TX 79702",
039997,BBI ENERGY,"Midland, TX 79701",
058893,"BC OPERATING, INC.","Midland, TX 79710",
058898,BDJ OIL & GAS,"Midland, TX 79708",
060181,"BEASLEY OILFIELD SERVICES, INC.","Colorado City, TX 79512",
060210,"BEASLEY, KENNETH","Abilene, TX 79602",2
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",
061745,BEEKAY COMPANY,"Dallas, TX 75219",
066718,"BEP OPERATING, LLC","Houston, TX 77084",
068144,BERRY ENERGY COMPANIES,"Abilene, TX 79608",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
069344,BIG D ENERGY COMPANY,"New Braunfels, TX 78132",
070435,"BIG SPRINGS INVESTMENTS, INC.","Oklahoma City, OK 73102",
070445,"BIG STAR OIL & GAS, LLC","Midland, TX 79710",
072480,"BISHOP, D. L.","Midland, TX 79702",
072538,BIT WELL SERVICE & CEMENTERS,"Ballinger, TX 76821",
072577,"BIZZELL, J. R.","Big Spring, TX 79720",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
075770,BLJ & ASSOCIATES,"Midland, TX 79703",
076775,"BLUE RIDGE OIL & GAS EXP., INC.","Belleville, MI 48111",
076847,"BLUESTAR ENERGY, INC.","Dallas, TX 75204",
082443,BONFIRE OPERATING LLC,"Cresson, TX 76035",16
083273,BOSS SERVICES,"Ira, TX 79527",
083272,"BOSS SERVICES, L.L.C.","Ira, TX 79527",
089961,BRAZOS PETROLEUM CO.,"Midland, TX 79702",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",38
093125,BRIGHT & CO.,"The Colony, TX 75056",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
097478,BROTHERS PRODUCTION COMPANY INC.,"Midland, TX 79708",
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
105157,BUCCANEER OPERATING LLC,"Kilgore, TX 75663",9
105190,"BUCHANAN, WAYMAN W.","San Antonio, TX 78212",
107501,"BURCHAM, L. R.","Big Spring, TX 79721",
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
111020,"BURNS, R. L. CORPORATION","Dallas, TX 75270",
112200,BURT OIL COMPANY,"Colorado City, TX 79512",
112691,BUSTAMANTE OIL CO,"Midland, TX 79710",
119820,"BYROM, W. K.","Hobbs, NM 88240",
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
121055,C & S OPERATING,"Whiteface, TX 79379",
120531,C&J ENERGY SERVICES,"Houston, TX 77042",
121214,"CAB RESOURCES, LLC","Odessa, TX 79762",2
121220,CABANA OIL CORP.,"Abilene, TX 79608",
122585,CAG PETROLEUM CORP.,"Dallas, TX 75382",
122892,CAIN OPERATING CORPORATION,"Westbrook, TX 79565",
124560,CALLEY & FOWLER,"Ira, TX 79527",
126848,CAMELBACK ENERGY CORPORATION,"Lubbock, TX 79464",
127700,CAMPANA PETROLEUM COMPANY,"Midland, TX 79705",
129800,CANTRELL CORP.,"Midland, TX 79705",
130454,"CAPPS, R. OIL CORP.","Midland, TX 79704",
134445,CARPENTER SERVICES,"Colorado City, TX 79512",
134447,"CARPENTER SERVICES, LTD. CO.","Colorado City, TX 79512",
135810,CARRLAND OIL & GAS INC.,"Prosper, TX 75078",1
139586,CASS OIL COMPANY,"Dallas, TX 75225",
140608,CEDAR BEND OIL COMPANY,"Colorado City, TX 79512",8
140795,CEILO VERDE CORPORATION,"Coahoma, TX 79511",
140903,"CELERO ENERGY, L.P.","Midland, TX 79701",
142219,"CGW OPERATING OIL & GAS, L.L.C.","Graham, TX 76450",
142290,"CHALK, OTIS, ESTATE","Big Spring, TX 79721",
142637,"CHAMBERS OPERATING, INC.","Westbrook, TX 79565",
143550,"CHAMBERS, R. H.","Abilene, TX 79606",
143549,"CHAMBERS, R. H. LLC","Abilene, TX 79606",10
144200,"CHANCELLOR, EARL SALES CO., INC.","Sweetwater, TX 79556",
144339,"CHANDLER & ASSOCIATES, INC.","Denver, CO 80202",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148980,"CHIMERA OIL & GAS, INC","Big Lake, TX 76932",
149451,CHISHOLM EXPLORATION,"Abilene, TX 79604",
150480,CHOCTAW PETROLEUM CORP.,"Unknown, XX 99999",
153385,CIBOLA OIL & GAS CORP.,"Tyler, TX 75710",
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
153656,CIRCLE H OIL COMPANY,"Big Spring, TX 79721",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
100746,CJT Oil Company LLC,"Snyder, TX 79549",
161453,COALINGA CORPORATION,"Houston, TX 77002",
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
162729,"COBATA ENERGY, INC","Lampasas, TX 76550",
164305,"COCKRELL PRODUCTION CO., INC.","Irving, TX 75014",
165040,"COFFEE, JOHN A.","Big Spring, TX 79720",
165072,"COFFEE, JOHN R.","Big Spring, TX 79720",
166150,COG OPERATING LLC,"Midland, TX 79701",1312
167009,"COKE OIL, INC.","Bangs, TX 76823",
167087,"COLE, JOHN OTIS","Big Spring, TX 79721",
167890,COLLIER OPERATING CO.,"Graham, TX 76450",
170037,"COMSTOCK ENERGY, LLC","Wichita Falls, TX 76301",16
170164,CONCHO OILFIELD SERV & OPER CO.,"Eden, TX 76837",10
170181,CONCHO RESOURCES INC.,"Oklahoma City, OK 73154",
173785,"CONTINENTAL U S EXPLORATION, INC","Dallas, TX 75220",
175330,"COOPER, J. L. ESTATE","MC Camey, TX 79752",
176232,"COOPER, M. A., OPERATOR","MC Camey, TX 79752",
179330,"CORONA EXPLORATION, INC.","Midland, TX 79702",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182937,COWBOYS RESOURCES CORP.,"New Braunfels, TX 78132",
186120,"COX OIL & GAS, INC.","Dallas, TX 75201",
185263,"COX, EDWIN L. & COX, BERRY R.","Corpus Chrsti, TX 78470",
186155,"COX, ROBERT G.","Farmers BRNCH, TX 75234",
186160,"COX, ROBERT G. & ASSOCIATES,INC.","Dallas, TX 75225",
188584,CREGO EXPLORATION,"Dallas, TX 75243",
189962,CREWS OIL COMPANY,"Big Spring, TX 79720",
190687,CROSSROADS EQUIPMENT,"Big Spring, TX 79721",
191554,"CROWNQUEST OPERATING, LLC","Midland, TX 79710",7
191574,"CRS OIL AND GAS, LLC","Colorado City, TX 79512",
195818,CWOC,"Big Spring, TX 79721",
195848,"CY CO. ENERGY, INC.","San Angelo, TX 76904",
196172,D. & H. ENTERPRISES,"Midland, TX 79701",
196279,"D.J.F. SERVICES, INC.","Holdenville, OK 74848",4
196704,D.O.E. ENERGY,"Palestine, TX 75801",
198190,DAMSON OIL CORP.,"Midland, TX 79702",
201242,DAS OPERATORS,"Westbrook, TX 79565",
209380,"DECLEVA, PAUL","Wichita Falls, TX 76302",
209434,DEDICA ENERGY CORPORATION,"Mattoon, IL 61938",
214225,DEMINEX U. S. OIL CO.,"Midland, TX 79702",
216418,"DENTON EXPLORATION, INC.","Dallas, TX 75219",11
216556,"DESERT PRODUCTION, INC.","Midland, TX 79702",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
216738,"DEVON SFS OPERATING, INC.","Oklahoma City, OK 73102",
216799,"DEXTRA SERVICES, L.L.C.","Westbrook, TX 79565",
216859,DIAMOND BIT OIL LLC,"Westbrook, TX 79565",
217012,DIAMONDBACK E&P LLC,"Midland, TX 79701",2214
220630,"DILLINGHAM ENERGY RESOURCES, INC","Houston, TX 77079",
220841,DISCOVERY ENERGY CORP. CC,"Corpus Chrsti, TX 78403",
220865,"DISCOVERY OPERATING, INC.","Midland, TX 79705",125
221877,DOC PRODUCTION,"Snyder, TX 79549",
221954,"DODSON, WAYNE","Snyder, TX 79549",
221953,"DODSON, WAYNE CONSULTANTS, INC.","Snyder, TX 79549",
224383,DOOLIES PRODUCTION,"Sterling City, TX 76951",
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",
227700,DOYLE OIL COMPANY,"Fort Worth, TX 76102",
227877,"DRAGON OPERATING, LLC","Tulsa, OK 74137",
232050,DUNCAN DRILLING CO.,"Big Spring, TX 79721",1
233895,"DUNIGAN OPERATING COMPANY, INC.","Austin, TX 78755",1
234325,"DUNN PETROLEUM, INC.","Hollywood, FL 33021",
237500,DYAD ASSOCIATES,"Midland, TX 79701",
237970,"DYSON, J.A. & SONS PRODUCTION CO","Lubbock, TX 79424",
239725,"EASTLAND OIL COMPANY, THE","Midland, TX 79702",5
240125,"ECHO PRODUCTION, INC.","Graham, TX 76450",46
245862,"EGI, INC.","Big Lake, TX 76932",3
247762,"ELKHORN OIL & GAS, LLC","Midland, TX 79701",
250600,"ELLPEN, INC.","Houston, TX 77060",
251726,ENDEAVOR ENERGY RESOURCES L.P.,"Midland, TX 79701",1182
252002,ENERGEN RESOURCES CORPORATION,"Midland, TX 79701",
252017,ENERGY TRANSFER COMPANY,"Houston, TX 77002",
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
252120,"ENEXCO U.S.A., LTD.","Dallas, TX 75219",
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
253145,ENTERPRISE PRODUCTS TEXAS OP LLC,"Houston, TX 77210",
255101,"ETL HYDROCARBONS, INC.","Andrews, TX 79714",2
257062,EXTEX OPERATING COMPANY,"Houston, TX 77057",486
257097,EXXON CORP.,"Houston, TX 77210",
257282,F & M OIL & GAS COMPANY,"Midland, TX 79702",
257123,"F Y B INVESTMENTS, INC.","Midland, TX 79711",
257750,FAIRCHILD PETROLEUM CORPORATION,"Midland, TX 79709",
259845,"FALCON-COLORADO EXPLORATION, INC","Odessa, TX 79762",
261362,"FANG OPERATORS, INC.","Colorado City, TX 79512",
264227,"FEDERAL OIL, INC.","Big Spring, TX 79721",
265140,FELDERHOFF PRODUCTION COMPANY,"Muenster, TX 76252",150
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",
268316,FINA PIPE LINE CO.,"Dallas, TX 75221",
268602,"FINLEY RESOURCES, INC.","Fort Worth, TX 76113",17
