Operator Number,Operator Name,Location,Leases
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",
000139,A & B WELL SERVICE INC.,"Amarillo, TX 79159",
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",7
006460,ADAMS & MCGAHEY,"Amarillo, TX 79114",
003978,"ADAMS AFFILIATES, INC.","Tulsa, OK 74121",
005310,ADAMS ENERGY CO. (TX),"Tulsa, OK 74121",
005920,"ADAMS, K. S. JR.","Houston, TX 77001",
008391,ADOBE OPERATING COMPANY,"Pampa, TX 79066",
008710,AGGIE OIL,"Pampa, TX 79066",
012467,ALIBATES OPERATORS,"Amarillo, TX 79114",
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",
014573,ALLISON/HOBBS INC.,"Alba, TX 75410",
016536,"ALYAHA ENERGY, LLC","Dumas, TX 79029",5
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028650,APX CORPORATION,"Houston, TX 77251",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
030804,"ARKOMA, SANDRA","Pampa, TX 79066",
033134,"ARRINGTON CJM, INC.","Canadian, TX 79014",
033183,"ARROW ENERGY, INCORPORATED","Houston, TX 77008",
034241,ASHER RESOURCES,"Boerne, TX 78006",
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",
042422,"BADGER OPERATIONS, LLC","Perryton, TX 79070",
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",
049748,BAR L PRODUCERS,"Fritch, TX 79036",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
054333,"BASICS OIL & GAS, INC.","Dallas, TX 75225",
056525,"BAUMAN, RALPH H.","San Antonio, TX 78218",
066750,BEREN CORPORATION,"Wichita, KS 67206",12
067175,BEREXCO LLC,"Wichita, KS 67206",3
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
071349,"BIRD CREEK RESOURCES, INC.","Tulsa, OK 74121",
072564,BISON PETROLEUM CORPORATION,"Amarillo, TX 79121",
082986,BOR-TEX MINERAL & LEASING INC.,"Borger, TX 79007",
083233,BORGER RESOURCES 3 LLC,"Borger, TX 79007",6
083237,BORGER RESOURCES 4 LLC,"Borger, TX 79007",3
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",
088619,"BRANDY OPERATING, LLC","Borger, TX 79008",
088628,BRANDY PRODUCTION,"Borger, TX 79007",
089887,"BRAVO NATURAL GAS, LLC","Tulsa, OK 74136",
089923,BRAWLEY PETROLEUM CORPORATION,"Lubbock, TX 79424",
092500,BRIERCREST OIL CO.,"Dalhart, TX 79022",
092545,"BRIERCREST OIL COMPANY, LTD.","Amarillo, TX 79159",
103450,"BRUCE, W. L.","Pampa, TX 79065",
100179,"Buffalo Raider Consulting, LLC","Midland, TX 79705",5
119988,C & C OIL CO.,"Borger, TX 79008",
119962,C & C OIL PRODUCERS,"Borger, TX 79008",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",
130459,"CAPROCK ENERGY, INC.","Denton, TX 76205",
130477,"CAPROCK ENGINEERING, INC.","Pampa, TX 79066",
140905,CELERON OIL & GAS CO.,"Houston, TX 77002",
143558,CHAMP OPERATING COMPANY,"Dallas, TX 75208",
144183,CHANCE ENERGY CO. INC.,"Amarillo, TX 79114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
146270,CHAPTER PETROLEUM,"Borger, TX 79008",
146271,"CHAPTER PETROLEUM, INC.","Borger, TX 79008",
146320,"CHAR-WILL CORPORATION, INC.","Lewisville, TX 75029",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
120485,"CIG EXPLORATION, INC.","Houston, TX 77046",
154645,CITY OF DUMAS,"Dumas, TX 79029",2
154770,CITY OF SUNRAY UTILITIES,"Sunray, TX 79086",4
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
168948,COLORADO INTERSTATE GAS COMPANY,"Houston, TX 77252",
169785,"COMPLETE ENERGY SERVICES, INC.","Mustang, OK 73064",
170054,"COMSTOCK OIL & GAS, INC.","Frisco, TX 75034",
172230,CONOCO INC.,"Houston, TX 77252",
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",119
173735,"CONTINENTAL NATURAL GAS, INC.","Tulsa, OK 74121",
186595,"CRAIG, WOOD B. & BETTIE","Sunray, TX 79086",
189451,"CRESCENDO RESOURCES, L.P.","Amarillo, TX 79188",
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
196187,"D. J. PRODUCTION, INC.","Amarillo, TX 79159",
237972,D10 ENERGY LLC,"Stinnett, TX 79083",20
197405,DAKAR OPERATING COMPANY,"Pampa, TX 79066",
197408,"DAKAR OPERATING COMPANY, INC.","Pampa, TX 79066",
197412,DAKKAR PRODUCTION COMPANY,"Pampa, TX 79066",
202200,"DAVENPORT, VERNON PROD. CO.","Dumas, TX 79029",
208080,"DAWSON OPERATING CO., INC.","Amarillo, TX 79109",
195918,"DCP MIDSTREAM, LP","Denver, CO 80202",
195959,"DCP OPERATING COMPANY, LP","Houston, TX 77042",
216735,DEVON ENERGY CORPORATION(NEVADA),"Oklahoma City, OK 73102",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
216990,DIAMOND CHEMICALS COMPANY,"Amarillo, TX 79173",
217005,DIAMOND S ENERGY COMPANY,"Fort Worth, TX 76132",90
